year,lgid,tmid,hw,hl,ht,hotl,rw,rl,rt,rotl,sepw,sepl,sept,sepol,octw,octl,octt,octol,novw,novl,novt,novol,decw,decl,dect,decol,janw,janl,jant,janol,febw,febl,febt,febol,marw,marl,mart,marol,aprw,aprl,aprt,aprol
1934,NHL,NYR,11,8,5.0,,11,12,1.0,,,,,,,,,,2,4,0,,4,6,1,,8.0,1.0,3.0,,7.0,4.0,1.0,,1,5,1,,,,,
2009,NHL,PHO,29,10,,2,21,15,,5,,,,,9,4,,0,6,7,,1,10,2,,3,8.0,5.0,,1,4.0,3.0,,0,10,4,,1,3,0,,1
2010,NHL,BOS,22,13,,6,24,12,,5,,,,,6,2,,0,6,6,,2,8,3,,3,8.0,4.0,,2,8.0,4.0,,0,7,4,,4,3,2,,0
2011,NHL,CAL,23,12,,6,14,17,,10,,,,,4,4,,1,6,8,,0,8,4,,4,5.0,6.0,,1,5.0,2.0,,5,7,5,,5,2,0,,0
2001,NHL,PHI,20,13,5.0,3,22,14,5.0,0,,,,,6,3,3,0,4,4,2,1,11,4,0,0,10.0,3.0,1.0,1,4.0,1.0,0.0,1,5,7,3,0,2,5,1,0
2007,NHL,ATL,19,19,,3,15,21,,5,,,,,4,8,,0,7,5,,0,8,7,,1,5.0,5.0,,3,5.0,6.0,,1,4,8,,3,1,1,,0
1969,NHL,NYR,22,8,8.0,,16,14,8.0,,,,,,4,3,2,,10,1,3,,6,3,3,,7.0,3.0,2.0,,7.0,3.0,3.0,,2,8,3,,2,1,0,
1976,NHL,BUF,27,8,5.0,,21,16,3.0,,,,,,5,4,1,,8,2,2,,11,2,0,,4.0,7.0,3.0,,10.0,4.0,0.0,,9,5,1,,1,0,1,
2006,NHL,CAR,21,16,,4,19,18,,4,,,,,5,5,,2,9,5,,1,7,6,,1,5.0,5.0,,2,6.0,6.0,,1,6,5,,1,2,2,,0
1982,NHL,NYI,26,11,3.0,,16,15,9.0,,,,,,11,2,0,,4,7,5,,4,6,2,,9.0,2.0,1.0,,4.0,5.0,3.0,,9,3,1,,1,1,0,
1954,NHL,MTL,26,5,4.0,,15,13,7.0,,,,,,7,3,1,,8,4,2,,7,2,3,,7.0,4.0,2.0,,7.0,2.0,1.0,,5,3,2,,,,,
1935,NHL,DET,14,5,5.0,,10,11,3.0,,,,,,,,,,1,2,4,,6,3,2,,6.0,4.0,0.0,,7.0,2.0,1.0,,4,5,1,,,,,
1959,NHL,MTL,23,4,8.0,,17,14,4.0,,,,,,7,2,3,,10,0,1,,5,4,3,,9.0,3.0,2.0,,5.0,4.0,2.0,,4,5,1,,,,,
2006,NHL,PHO,18,20,,3,13,26,,2,,,,,3,9,,0,6,6,,0,6,5,,2,8.0,6.0,,0,4.0,7.0,,1,2,11,,2,2,2,,0
1993,NHL,WAS,17,16,9.0,,22,19,1.0,,,,,,6,7,0,,4,6,1,,7,4,2,,5.0,7.0,1.0,,9.0,2.0,2.0,,4,6,4,,4,3,0,
2002,NHL,SJS,17,16,5.0,3,11,21,4.0,5,,,,,3,6,0,1,5,6,2,1,7,3,2,1,4.0,6.0,2.0,2,5.0,7.0,0.0,0,4,9,0,3,0,0,3,0
1971,NHL,TOR,21,11,7.0,,12,20,7.0,,,,,,2,3,5,,6,4,3,,9,5,0,,3.0,8.0,2.0,,6.0,7.0,1.0,,6,3,3,,1,1,0,
1974,WHA,PHR,23,11,5.0,,16,20,3.0,,,,,,2,4,1,,5,5,1,,10,4,1,,7.0,7.0,3.0,,6.0,5.0,0.0,,8,4,2,,1,2,0,
1922,NHL,TRS,10,1,1.0,,3,9,0.0,,,,,,,,,,,,,,2,3,0,,4.0,4.0,1.0,,5.0,3.0,0.0,,2,0,0,,,,,
2009,NHL,FLO,16,16,,9,16,21,,4,,,,,4,7,,1,6,5,,3,6,6,,3,8.0,4.0,,2,0.0,5.0,,1,6,7,,2,2,3,,1
2011,NHL,FLO,21,9,,11,17,17,,7,,,,,6,4,,1,7,3,,3,7,5,,3,2.0,3.0,,4,8.0,5.0,,1,7,5,,4,1,1,,2
1926,NHL,MTL,15,5,2.0,,13,9,0.0,,,,,,,,,,1,4,0,,7,2,1,,5.0,5.0,0.0,,6.0,2.0,1.0,,9,1,0,,,,,
2006,NHL,TBL,22,18,,1,22,15,,4,,,,,5,6,,0,8,5,,2,5,8,,0,9.0,4.0,,0,9.0,2.0,,2,7,7,,0,1,1,,1
1973,NHL,PHI,28,6,5.0,,22,10,7.0,,,,,,6,3,0,,7,3,2,,8,2,2,,9.0,3.0,2.0,,5.0,3.0,4.0,,12,1,2,,3,1,0,
1975,NHL,NYR,16,16,8.0,,13,26,1.0,,,,,,4,5,1,,5,9,1,,6,4,2,,3.0,8.0,2.0,,5.0,8.0,1.0,,5,7,2,,1,1,0,
1986,NHL,PHI,29,9,2.0,,17,17,6.0,,,,,,8,2,0,,9,2,2,,8,7,0,,9.0,3.0,2.0,,3.0,5.0,1.0,,8,5,3,,1,2,0,
1990,NHL,BUF,15,13,12.0,,16,17,7.0,,,,,,3,5,4,,6,4,2,,5,7,3,,7.0,5.0,1.0,,3.0,4.0,6.0,,7,5,3,,,,,
1975,NHL,PIT,23,11,6.0,,12,22,6.0,,,,,,4,2,1,,6,8,1,,5,7,2,,4.0,7.0,3.0,,8.0,2.0,4.0,,7,6,1,,1,1,0,
1996,NHL,EDM,21,16,4.0,,15,21,5.0,,,,,,7,5,0,,6,7,1,,4,7,3,,8.0,3.0,1.0,,4.0,6.0,2.0,,6,7,0,,1,2,2,
1918,NHL,MTL,7,2,0.0,,3,6,0.0,,,,,,,,,,,,,,2,1,0,,5.0,4.0,0.0,,3.0,3.0,0.0,,,,,,,,,
