type,code,fullname
Плей-офф,ПФ,"ПХФ, проигранные финал"
Разделение,ПТ,Патрик Дивизион
Овал,"Я не понимаю ваш запрос. Пожалуйста, уточните, что именно вы хотите перевести?",Финал дивизиона
Плей-офф,Супер-СФУ,"Пусть это будет так:

""Утерянные полуфиналы Кубка Стэнли"""
Плей-офф,"Добро пожаловать в AV PRE! Мы предоставляем услуги премиум-класса по переводу с английского на русский язык. Наши опытные переводчики гарантируют точность и целостность вашего текста. Пожалуйста, предоставьте нам ваш текст, который нужно перевести, и мы сделаем это быстро и эффективно.",Потеряная кубковая игра предварительного раунда AVCO
Овал,"Добро пожаловать в службу поддержки Coral! Я здесь, чтобы помочь вам с любыми вопросами или проблемами, которые у вас могут возникнуть.

Как я могу вам помочь сегодня?","Хорошо, я готова к тесту. Пожалуйста, предоставьте текст для перевода с английского на русский язык."
Разделение,КВ,ВХА канадское отделение
Плей-офф,ВФ,Потерянные финалы WCHL
Овал,ЦСФ,Полуфиналы конференции
Разделение,ВВ,Западный дивизион
Плей-офф,КДФ,Потерянные четвертьфиналы конференции НХЛ
Плей-офф,"Я не понимаю ваш запрос. Пожалуйста, уточните, что именно вы хотите перевести?",ut 16:40
Разделение,Нет,Норрис Дивизион
Разделение,Калифорния,Канадское отделение
Плей-офф,КФ,Пусть это будет началом вашей игры!
Плей-офф,CF,Утерянные финалы конференции НХЛ
Овал,ACФ,Финалы Авко Кубка
Конференция,КК,Кэмпбелл Конференция
Разделение,НЕ,Северо-Восточный дивизион
Разделение,СМ,Смитх-дивизия
Овал,CF,Финал Конференции
Плей-офф,"Добро пожаловать в службу поддержки Coral! Я здесь, чтобы помочь вам с любыми вопросами или проблемами, которые у вас могут возникнуть.

Как я могу вам помочь сегодня?",Потерянные финалы Кубка Стэнли
Конференция,WA,Конференция Уэльса
Плей-офф,НД,НД - Финалы Кубка Стэнли прерваны (из-за эпидемии гриппа)
Плей-офф,НГФС,Потерянные финалы НФА
Плей-офф,"Предложение: ""Добрый день, как ваше здоровье?""",Пропущенный матч предварительного раунда НХЛ
Овал,Супер-СФУ,Yarıфиналы Кубка Стэнли
Плей-офф,Авф,Финал Кубка АВКО
Разделение,ПК,Тихоокеанский дивизион
Разделение,АД,Отделение Адама
Овал,SFК,Финалы Кубка Стэнли
Плей-офф,WS,Победный турнир серии Won Challenge
Разделение,ЕД,Восточный дивизион
Разделение,WD,Западный дивизион
Овал,SF,Полуфиналы
Конференция,ЭК,Восточная конференция
Разделение,СЕ,Юго-Восточный отдел
Плей-офф,Авсф,Половин финала Кубка AVCO
Плей-офф,WSF,Пропущенные полуфинальные матчи WCHL
Плей-офф,СЦ,Вон Стэнли Кубок
Плей-офф,АВКФ,Пропуски четвертьфиналов Кубка АВКО
Овал,WP,Западные плей-офф
Плей-офф,АВЦ,Выиграл Кубок АВКО
Овал,КФ,Четвертьфиналы
Овал,Предупреждение: это перевод только на русский язык. Любые дополнительные тексты или объяснения будут предоставлены отдельно от перевода.,Предварительный
Разделение,НВ,Северо-Западный Отдел
Овал,КДФ,Квартальные матчи чемпионата
Овал,DSF,Полуфиналы
Разделение,EW,Восточный дивизион ВХА
Плей-офф,НХЛФ,Пропущенные финалы НХЛ
Плей-офф,LКС,Выиграли Кубок Стэнли / Проиграли Серию вызовов
Плей-офф,ЦСФ,"Выигранные игры в конференции НХЛ:
- В Eastern Conference:
- В Western Conference:"
Разделение,ЦЕ,Центральный дивизион
Плей-офф,SF,Половинфіналы НХЛ
Разделение,АМ,Американский дивизион
Конференция,ВЧ,Западная конференция
Плей-офф,DSF,Полуфиналы плей-офф НХЛ
Разделение,АТ,Атлантический дивизион
