coachid,year,tmid,lgid,stint,won,lost,post_wins,post_losses
hartedi01,1989,CHH,NBA,1,8,32,0,0
schaufr01,1960,LAL,NBA,1,36,43,6,6
lapchjo01,1955,NYK,NBA,1,26,25,0,0
rileypa01,1983,LAL,NBA,1,54,28,14,7
dunlemi01,2003,LAC,NBA,1,28,54,0,0
brownla01,1995,IND,NBA,1,52,30,2,3
nissato01,1978,HOU,NBA,1,47,35,0,2
attleal01,1974,GSW,NBA,1,48,34,12,5
brownla01,1989,SAS,NBA,1,56,26,6,4
karlge01,1998,MIL,NBA,1,28,22,0,3
willima05,1969,DLC,ABA,2,23,18,2,4
robersc01,1978,CHI,NBA,2,11,15,0,0
attleal01,1982,GSW,NBA,1,30,52,0,0
mccarba01,1968,NOB,ABA,1,46,32,4,7
chanedo01,1994,DET,NBA,1,28,54,0,0
bassbo01,1967,DNR,ABA,1,45,33,2,3
fitzsco01,1977,BUF,NBA,1,27,55,0,0
gregoed01,1987,GSW,NBA,2,4,14,0,0
carliri01,2003,IND,NBA,1,61,21,10,6
vanguje01,1998,NYK,NBA,1,27,23,12,8
hanzlbi01,1997,DEN,NBA,1,11,71,0,0
ramsefr01,1970,KEN,ABA,3,32,35,11,8
reisech01,1952,BLB,NBA,1,0,3,0,0
mussebi01,1975,SDS,ABA,1,3,8,0,0
brownhu01,1986,NYK,NBA,1,4,12,0,0
vogelfr01,2010,IND,NBA,2,20,18,1,4
hagancl01,1969,DLC,ABA,1,22,21,0,0
fitchbi01,1976,CLE,NBA,1,43,39,1,2
lucasjo01,2001,CLE,NBA,1,29,53,0,0
shuege01,1973,PHI,NBA,1,25,57,0,0
cliffro01,1946,CLR,NBA,2,13,10,1,2
silaspa01,1999,CHH,NBA,1,49,33,1,3
loughke01,1974,NYA,ABA,1,58,26,1,4
gentral01,2011,PHO,NBA,1,33,33,0,0
wilkele01,2002,TOR,NBA,1,24,58,0,0
