id,year,round,series,tmidwinner,lgidwinner,tmidloser,lgidloser,w,l
5,1946,SF,"Да, конечно! Я всегда рад помочь с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",CHS,NBA,WSC,NBA,4,2
26,1949,DSF,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст для перевода.",NYK,NBA,WSC,NBA,2,0
31,1949,DSF,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст для перевода.",AND,NBA,TRI,NBA,2,1
44,1951,DF,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",MNL,NBA,ROC,NBA,3,1
80,1956,ДТ,А,STL,NBA,FTW,NBA,1,0
143,1968,DSF,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст для перевода.",BOS,NBA,PHI,NBA,4,1
155,1970,ЧФ,"Да, конечно! Я всегда рад помочь с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",BAL,NBA,NYK,NBA,4,3
220,1977,Кodeξ федеральных правил,"Добро пожаловать в «Корпорацию Риск» - ведущую мировую компанию по управлению рисками и страхованию. Наша миссия - помогать людям и компаниям справляться с неопределенностью и защищаться от финансовых последствий непредвиденных событий.

«Корпорация Риск» предлагает широкий спектр услуг, включая страхование имущества, ответственность, жизни и здоровья, а также специализированные решения для управления рисками. Наши эксперты работают над тем, чтобы обеспечить наших клиентов индивидуальными решениями, которые соответствуют их уникальным потребностям и целям.

Мы гордимся своей репутацией надежного партнера, который всегда на стороне своих клиентов. Наша сеть офисов и агентов по всему миру обеспечивает круглосуточную поддержку и быстрый отклик на любые возникающие проблемы.

Если вы ищете надежное решение для защиты своего бизнеса или личной жизни от непредвиденных финансовых рисков, «Корпорация Риск» готова предложить вам свои услуги. Свяжитесь с нами сегодня, чтобы узнать больше о наших продуктах и услугах, и давайте вместе сделаем ваш мир более безопасным местом.",SEA,NBA,LAL,NBA,2,1
320,1985,КФП,"Мне нужно, чтобы вы перевели текст на русский язык. Пожалуйста, предоставьте текст, который необходимо перевести.",HOU,NBA,DEN,NBA,4,2
322,1986,ЧФ,"Да, конечно! Я всегда рад помочь с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",BOS,NBA,DET,NBA,4,3
357,1988,КФП,"Мне нужно, чтобы вы перевели текст на русский язык. Пожалуйста, предоставьте текст, который необходимо перевести.",CHI,NBA,NYK,NBA,4,2
379,1989,КФП,"Мне нужно, чтобы вы перевели текст на русский язык. Пожалуйста, предоставьте текст, который необходимо перевести.",POR,NBA,SAS,NBA,4,3
381,1990,Кodeξ федеральных правил,"Добро пожаловать в «Корпорацию Риск» - ведущую мировую компанию по управлению рисками и страхованию. Наша миссия - помогать людям и компаниям справляться с неопределенностью и защищаться от финансовых последствий непредвиденных событий.

«Корпорация Риск» предлагает широкий спектр услуг, включая страхование имущества, ответственность, жизни и здоровья, а также специализированные решения для управления рисками. Наши эксперты работают над тем, чтобы обеспечить наших клиентов индивидуальными решениями, которые соответствуют их уникальным потребностям и целям.

Мы гордимся своей репутацией надежного партнера, который всегда на стороне своих клиентов. Наша сеть офисов и агентов по всему миру обеспечивает круглосуточную поддержку и быстрый отклик на любые возникающие проблемы.

Если вы ищете надежное решение для защиты своего бизнеса или личной жизни от непредвиденных финансовых рисков, «Корпорация Риск» готова предложить вам свои услуги. Свяжитесь с нами сегодня, чтобы узнать больше о наших продуктах и услугах, и давайте вместе сделаем ваш мир более безопасным местом.",CHI,NBA,NYK,NBA,3,0
388,1990,ЧФ,"Да, конечно! Я всегда рад помочь с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",LAL,NBA,POR,NBA,4,2
401,1991,КФП,"Мне нужно, чтобы вы перевели текст на русский язык. Пожалуйста, предоставьте текст, который необходимо перевести.",CLE,NBA,BOS,NBA,4,3
454,1994,КФП,"Мне нужно, чтобы вы перевели текст на русский язык. Пожалуйста, предоставьте текст, который необходимо перевести.",HOU,NBA,PHO,NBA,4,3
508,1998,ЧФ,"Да, конечно! Я всегда рад помочь с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",SAS,NBA,POR,NBA,4,0
529,1999,КФП,"Мне нужно, чтобы вы перевели текст на русский язык. Пожалуйста, предоставьте текст, который необходимо перевести.",POR,NBA,UTA,NBA,4,1
