id,year,coachid,award,lgid,note
5,1966,kerrjo01,Тренер года НБА,NBA,
6,1967,cazzevi01,Тренер года АБА,ABA,
9,1968,shuege01,Тренер года НБА,NBA,
10,1969,sharmbi01,Тренер года АБА,ABA,вязание
13,1970,biancal01,Тренер года АБА,ABA,
14,1970,mottadi01,Тренер года НБА,NBA,
18,1972,heinsto01,Тренер года НБА,NBA,
19,1973,mccarba01,Тренер года АБА,ABA,вязание
20,1973,mullajo01,Тренер года АБА,ABA,вязание
21,1973,scottra01,Тренер года НБА,NBA,
22,1974,brownla01,Тренер года АБА,ABA,
23,1974,johnsph01,Тренер года НБА,NBA,
29,1979,fitchbi01,Тренер года НБА,NBA,
30,1980,mckinja01,Тренер года НБА,NBA,
33,1983,laydefr01,Тренер года НБА,NBA,
34,1984,nelsodo01,Тренер года НБА,NBA,
35,1985,fratemi01,Тренер года НБА,NBA,
44,1994,harride01,Тренер года НБА,NBA,
45,1995,jacksph01,Тренер года НБА,NBA,
47,1997,birdla01,Тренер года НБА,NBA,
48,1998,dunlemi01,Тренер года НБА,NBA,
49,1999,riverdo01,Тренер года НБА,NBA,
51,2001,carliri01,Тренер года НБА,NBA,
55,2005,johnsav01,Тренер года НБА,NBA,
56,2006,mitchsa01,Тренер года НБА,NBA,
61,2011,popovgr01,Тренер года НБА,NBA,
