charge_no,member_no,provider_no,category_no,charge_dt,charge_amt,statement_no,charge_code
1,8842,484,2,1999-09-22 10:43:38,3263.0,28842,
2,5561,434,10,14.07.1999 10:43,336.0,5561,
3,4426,500,2,"14 сентября 1999 г., вторник, 10:43",1216.0,24426,
4,9939,497,8,1999-09-28 10:43:38,3770.0,29939,
5,7992,439,9,1999-10-09 10:43:38,4610.0,27992,
6,9663,386,2,11.08.1999 10:43,2087.0,9663,
7,5629,450,4,13.10.1999 10:43,2403.0,0,
8,5269,243,8,12.07.1999 10:43,3845.0,5269,
9,7894,283,2,16.09.1999 10:43,4152.0,27894,
10,8283,488,10,1999-09-28 10:43:38,1004.0,28283,
11,2184,406,8,1999-10-08 10:43:38,633.0,22184,
12,8864,424,8,27.06.1999 10:43:38,4563.0,8864,
13,8258,454,5,1999-07-26 10:43:38,4470.0,8258,
14,9593,489,2,30.09.1999 10:43,174.0,29593,
15,3186,494,9,"25.07.1999 г., 10:43",753.0,3186,
16,9036,498,6,1999-10-04 10:43:38,3777.0,29036,
17,2079,468,4,09.09.1999 10:43,2674.0,12079,
18,9092,464,5,1999-10-06 10:43:38,2216.0,29092,
19,9869,500,3,18.07.1999 10:43,2139.0,9869,
20,6763,211,4,1999-06-29 10:43:38,3872.0,6763,
21,7218,498,10,1999-10-04 10:43:38,405.0,27218,
22,9286,199,6,16 июля 1999 г.,4280.0,9286,
23,5893,432,6,1999-09-06 10:43:38,3697.0,15893,
24,6128,492,4,1999-06-21 10:43:38,1761.0,6128,
25,9640,292,4,10.10.1999 10:43:38,3837.0,29640,
26,6169,491,2,1999-09-08 10:43:38,3045.0,16169,
27,8781,429,9,1999-10-03 10:43:38,3867.0,28781,
28,8873,490,3,1999-06-24 10:43:38,3892.0,8873,
29,4364,482,10,1999-09-20 10:43:38,3675.0,24364,
30,6019,322,2,1999-06-29 10:43:38,4724.0,6019,
31,4388,500,6,1999-08-04 10:43:38,619.0,4388,
32,9914,349,7,15.08.1999 10:43,1243.0,19914,
33,9894,500,3,"31 июля 1999 г., суббота, 10:43",153.0,9894,
34,6772,472,6,1999-10-07 10:43:38,61.0,26772,
35,6159,474,7,1999-08-26 10:43:38,1453.0,16159,
36,9187,457,9,1999-08-29 10:43:38,4323.0,19187,
37,3449,289,3,1999-08-24 10:43:38,3039.0,13449,
38,8877,431,10,12.08.1999 10:43,4331.0,8877,
39,9537,324,5,1999-09-25 10:43:38,3403.0,29537,
40,6633,438,8,1999-09-05 10:43:38,3172.0,16633,
41,9520,436,6,1999-07-19 10:43:38,1631.0,9520,
42,5543,498,9,1999-10-06 10:43:38,2339.0,25543,
43,9426,262,3,16 августа 1999 г. в 10:43:38 утра,3032.0,19426,
44,9714,301,10,1999-10-01 10:43:38,2361.0,29714,
45,9838,500,9,23 июля 1999 года в 10:43 утра,4758.0,9838,
46,8162,449,2,18 августа 1999 года в 10:43 утра,3423.0,18162,
47,7184,399,5,1999-10-05 10:43:38,1434.0,27184,
48,7969,439,3,11.08.1999 10:43,993.0,7969,
49,7390,499,5,14.08.1999 10:43,781.0,17390,
50,9686,485,5,1999-08-07 10:43:38,1450.0,9686,
51,6475,427,3,21:43:38 1 сентября 1999 г.,4238.0,6475,
52,9119,453,3,21.08.1999 10:43,2703.0,19119,
53,9965,444,10,1999-08-26 10:43:38,2591.0,19965,
54,9885,479,5,19 сентября 1999 года в 10:43 утра,4821.0,29885,
55,7133,445,4,1999-07-02 10:43:38,1598.0,7133,
56,8098,499,2,1999-07-19 10:43:38,655.0,8098,
