yearid,teamid,lgid,playerid,g_all,g_batting,g_defense,g_p,g_c,g_1b,g_2b,g_3b,g_ss,g_lf,g_cf,g_rf,g_of,g_dh,g_ph,g_pr
1930,PHA,AL,cramedo01,30,,30,30,0,0,0,0,0,1,6,13,2,21,,
1909,PHI,NL,osborfr02,58,,58,58,0,0,0,0,0,0,0,54,0,54,,
1910,CHA,AL,messebo01,9,,9,9,0,0,0,0,0,0,8,0,0,8,,
1969,SLN,NL,carltst01,32,,32,32,31,0,0,0,0,0,0,0,0,0,,
1993,ML4,AL,thondi01,85,59.0,85,63,0,0,0,22,25,28,0,0,0,0,10.0,19.0
1887,LS2,AA,collihu01,130,,130,130,0,0,8,10,1,4,109,0,0,109,,
2010,SFN,NL,garcija01,52,0.0,49,52,52,0,0,0,0,0,0,0,0,0,0.0,0.0
1999,KCA,AL,byrdati01,33,0.0,2,33,33,0,0,0,0,0,0,0,0,0,0.0,0.0
2000,COL,NL,shumpte01,115,55.0,115,82,0,0,6,23,15,7,40,0,0,40,1.0,50.0
1902,SLA,AL,kahoemi01,55,,55,55,0,53,0,0,0,0,0,0,0,0,,
1911,NYA,AL,daniebe01,131,,131,131,0,0,0,0,0,0,8,86,26,120,,
1956,CHA,AL,niemabo01,14,,14,14,0,0,0,0,0,0,0,0,10,10,,
1975,MIN,AL,alburvi01,33,0.0,2,32,32,0,0,0,0,0,0,0,0,0,0.0,0.0
1988,SFN,NL,davisro02,9,0.0,9,9,9,0,0,0,0,0,0,0,0,0,0.0,0.0
1893,PIT,NL,gillesa01,3,,3,3,0,0,0,0,0,3,0,0,0,0,,
1914,DET,AL,veachbo01,149,,149,149,0,0,0,0,0,0,145,0,0,145,,
1892,CIN,NL,harrije01,22,,22,22,0,22,1,0,0,0,0,0,0,0,,
1979,SLN,NL,dennyjo01,31,31.0,31,31,31,0,0,0,0,0,0,0,0,0,0.0,0.0
1983,CIN,NL,housepa02,123,95.0,123,112,0,0,0,0,0,0,6,35,81,112,0.0,21.0
1914,PHA,AL,cruthpr01,4,,4,4,0,0,0,4,0,0,0,0,0,0,,
1990,TEX,AL,russeje01,27,0.0,0,27,27,0,0,0,0,0,0,0,0,0,0.0,0.0
1973,CLE,AL,kilkemi01,0,,0,0,5,0,0,0,0,0,0,0,0,0,,
1946,BOS,AL,doerrbo01,151,,151,151,0,0,0,151,0,0,0,0,0,0,,
1963,WS2,AL,blasido01,69,,69,69,0,0,0,64,0,0,0,0,0,0,,
1927,PHI,NL,nixonal01,54,,54,54,0,0,0,0,0,0,0,43,1,44,,
1908,PIT,NL,mccarto02,4,,4,4,2,0,0,0,0,0,0,0,0,0,,
1902,CIN,NL,hoydu01,72,,72,72,0,0,0,0,0,0,0,72,0,72,,
1976,CAL,AL,briggda01,77,66.0,77,73,0,0,44,0,0,0,2,32,9,40,0.0,3.0
1919,BOS,AL,caldwra02,33,,33,33,18,0,0,0,0,0,2,0,0,2,,
1956,NY1,NL,thompha02,83,,83,83,0,0,0,0,44,1,8,0,3,10,,
1993,PHI,NL,incavpe01,116,86.0,116,97,0,0,0,0,0,0,89,0,8,97,0.0,27.0
1962,PHI,NL,malkmbo01,8,,8,8,0,0,0,0,0,1,0,0,0,0,,
1997,CHA,AL,phillto02,36,34.0,36,36,0,0,0,0,9,0,0,0,28,28,0.0,2.0
1959,CIN,NL,joneswi01,72,,72,72,0,0,0,0,68,0,0,0,0,0,,
1933,PHA,AL,cochrmi01,130,,130,130,0,128,0,0,0,0,0,0,0,0,,
1916,SLA,AL,koober01,33,,33,33,33,0,0,0,0,0,0,0,0,0,,
1987,SDN,NL,mitchke01,62,53.0,62,54,0,0,0,0,51,0,3,0,0,3,0.0,9.0
1921,CHA,AL,sheelea01,154,,154,154,0,0,154,0,0,0,0,0,0,0,,
2006,ATL,NL,boyerbl01,2,0.0,2,2,2,0,0,0,0,0,0,0,0,0,0.0,0.0
1928,CLE,AL,uhlege01,55,,55,55,31,0,0,0,0,0,0,0,0,0,,
1887,DTN,NL,thompsa01,127,,127,127,0,0,0,0,0,0,0,0,127,127,,
1971,CHN,NL,jenkife01,39,,39,39,39,0,0,0,0,0,0,0,0,0,,
1886,BR3,AA,harkijo01,41,,41,41,34,0,0,0,0,0,1,1,6,8,,
2001,BOS,AL,mirabdo01,54,43.0,54,52,0,52,0,0,0,0,0,0,0,0,0.0,4.0
1994,CLE,AL,perryhe01,4,3.0,4,4,0,0,2,0,2,0,0,0,0,0,0.0,0.0
1941,CHN,NL,schmijo01,6,,6,6,5,0,0,0,0,0,0,0,0,0,,
2006,ATL,NL,renteed01,149,147.0,149,146,0,0,0,0,0,146,0,0,0,0,1.0,2.0
1938,BSN,NL,moranhi01,1,,1,1,1,0,0,0,0,0,0,0,0,0,,
1884,TL1,AA,olinfr01,26,,26,26,0,0,0,0,0,0,26,0,0,26,,
1906,CIN,NL,harpeja01,5,,5,5,5,0,0,0,0,0,0,0,0,0,,
2003,CLE,AL,garcika01,24,23.0,24,23,0,0,0,0,0,0,0,7,17,23,1.0,0.0
2006,TOR,AL,towerjo01,15,2.0,2,15,15,0,0,0,0,0,0,0,0,0,0.0,0.0
1971,CLE,AL,harreke01,52,,52,52,0,0,40,0,0,0,5,0,2,7,,
