playerid,yearid,stint,glf,gcf,grf
martijo01,1903,2,4.0,0.0,34.0
gilbech01,1946,2,8.0,16.0,46.0
glennjo01,1872,2,0.0,1.0,0.0
fosteel01,1891,1,0.0,4.0,0.0
strikjo01,1886,1,0.0,0.0,1.0
mccormo01,1913,1,0.0,2.0,13.0
muellhe01,1926,2,10.0,38.0,35.0
lazzeto01,1938,1,1.0,0.0,0.0
malonfe01,1876,1,0.0,0.0,3.0
colmafr01,1942,1,0.0,0.0,8.0
brodist01,1898,1,0.0,42.0,0.0
mathebo01,1884,1,0.0,0.0,1.0
speaktr01,1910,1,0.0,140.0,0.0
jethrsa01,1952,1,1.0,150.0,0.0
mannija01,1878,1,0.0,3.0,56.0
cullero01,1940,1,0.0,0.0,19.0
milleel01,1922,1,7.0,41.0,3.0
mcivoot01,1911,1,3.0,6.0,8.0
corcola01,1886,1,0.0,0.0,1.0
ricesa01,1932,1,10.0,14.0,48.0
doschhe01,1873,1,0.0,1.0,0.0
wardjo01,1884,1,0.0,59.0,0.0
reichdi01,1922,1,0.0,6.0,0.0
gilliba01,1887,1,0.0,1.0,0.0
johnsbo01,1945,1,140.0,1.0,0.0
addybo01,1876,1,3.0,0.0,29.0
merribi01,1893,1,2.0,0.0,0.0
delahji01,1906,1,2.0,0.0,0.0
wilsole01,1911,1,2.0,0.0,1.0
aberscl01,1948,1,8.0,0.0,0.0
luffhe01,1884,2,3.0,1.0,1.0
ryanjo03,1884,1,2.0,3.0,2.0
richmjo01,1885,1,0.0,8.0,3.0
puccige01,1930,1,3.0,0.0,1.0
olsonka01,1951,1,2.0,0.0,3.0
marshfr01,1954,1,0.0,0.0,1.0
leinhbi01,1912,1,0.0,0.0,0.0
seymocy01,1908,1,0.0,155.0,0.0
kirkpen01,1914,1,2.0,0.0,1.0
tayloda01,1934,1,89.0,21.0,0.0
tiernmi01,1894,1,0.0,0.0,111.0
kleinch01,1939,1,0.0,0.0,11.0
coangi01,1954,1,36.0,32.0,0.0
harledi01,1901,1,133.0,0.0,0.0
krehmch01,1885,1,1.0,0.0,1.0
vanhage01,1893,1,0.0,111.0,0.0
willito01,1892,1,,,
kellyjo03,1914,1,0.0,139.0,0.0
edench01,1884,1,0.0,31.0,0.0
prattde01,1914,1,2.0,0.0,3.0
gonzami01,1917,1,0.0,0.0,1.0
smithph01,1890,1,3.0,0.0,0.0
dingeva01,1945,1,16.0,18.0,33.0
grothjo01,1955,1,0.0,26.0,0.0
lemonbo01,1947,1,0.0,1.0,1.0
donovbi01,1912,1,0.0,0.0,2.0
lelivja01,1912,1,0.0,36.0,0.0
youngba01,1942,1,0.0,54.0,0.0
tiernmi01,1890,1,2.0,131.0,1.0
campaco01,1888,1,0.0,0.0,70.0
rhodedu01,1954,1,33.0,2.0,1.0
mountbi01,1885,2,0.0,1.0,0.0
willicy01,1920,1,0.0,147.0,0.0
abramca01,1952,2,31.0,18.0,0.0
eversho01,1949,1,81.0,42.0,2.0
bladera01,1926,1,105.0,0.0,0.0
johnsro02,1935,1,142.0,0.0,0.0
barrysh01,1904,1,11.0,6.0,15.0
ricesa01,1923,1,0.0,0.0,147.0
crabtes01,1944,1,15.0,3.0,1.0
gainede01,1914,2,0.0,1.0,0.0
walkege02,1938,1,50.0,0.0,57.0
bradlhu01,1915,1,0.0,0.0,15.0
kellejo01,1899,1,143.0,0.0,0.0
richada01,1884,1,11.0,7.0,37.0
richaha01,1892,1,7.0,0.0,0.0
koenele01,1932,1,35.0,0.0,0.0
prattal01,1872,1,0.0,0.0,6.0
russeji01,1947,1,1.0,102.0,19.0
carlfr01,1889,1,2.0,4.0,12.0
smithha04,1910,1,0.0,5.0,11.0
colemra01,1951,2,23.0,29.0,12.0
sheckji01,1902,2,0.0,4.0,0.0
robinwi01,1892,1,0.0,0.0,1.0
kingsi01,1890,1,0.0,0.0,1.0
dunnja01,1902,1,1.0,3.0,40.0
galvipu01,1885,2,1.0,0.0,0.0
cruiswa01,1922,1,37.0,0.0,64.0
collizi01,1917,1,1.0,0.0,4.0
millebi02,1931,1,0.0,0.0,137.0
hinesmi01,1883,1,0.0,2.0,5.0
hoppjo01,1940,1,12.0,27.0,0.0
hemphch01,1899,1,0.0,10.0,0.0
barrsc01,1908,1,1.0,1.0,0.0
