playerid,yearid,round,teamid,lgid,w,l,g,gs,cg,sho,sv,ipouts,h,er,hr,bb,so,baopp,era,ibb,wp,hbp,bk,bfp,gf,r,sh,sf,gidp
cranddo01,1911,WS,NY1,NL,1,0,2,0,0,0,0,12,2,0,0,0,2,0.0,0.0,0.0,1.0,0.0,0.0,14.0,2,0,0.0,0.0,0.0
ruffire01,1937,WS,NYA,AL,1,0,1,1,1,0,0,27,7,1,0,3,8,0.0,1.0,0.0,0.0,0.0,0.0,37.0,0,1,0.0,0.0,0.0
proctsc01,2005,ALDS2,NYA,AL,0,0,2,0,0,0,0,6,3,0,0,0,1,0.0,0.0,0.0,1.0,0.0,0.0,8.0,2,0,0.0,0.0,0.0
madsory01,2008,NLCS,PHI,NL,1,0,4,0,0,0,0,15,4,0,0,1,4,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0,0,1.0,0.0,0.0
marteda01,2009,ALCS,NYA,AL,0,0,3,0,0,0,0,4,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0,0,1.0,0.0,0.0
mcnalda01,1974,ALCS,BAL,AL,0,1,1,1,0,0,0,17,6,1,1,2,2,0.0,1.0,0.0,1.0,0.0,0.0,23.0,0,2,1.0,0.0,2.0
johnto01,1978,WS,LAN,NL,1,0,2,2,0,0,0,44,14,5,1,4,6,0.0,3.0,0.0,0.0,0.0,0.0,61.0,0,8,0.0,0.0,1.0
guerrma02,2009,ALDS1,MIN,AL,0,0,2,0,0,0,0,6,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0,0,0.0,0.0,0.0
clemero02,2001,ALCS,NYA,AL,0,0,1,1,0,0,0,15,1,0,0,4,7,0.0,0.0,0.0,1.0,0.0,0.0,20.0,0,0,0.0,0.0,0.0
blantjo01,2009,NLCS,PHI,NL,0,0,1,1,0,0,0,18,6,3,1,2,2,0.0,4.0,0.0,0.0,0.0,0.0,27.0,0,4,0.0,0.0,0.0
neibaga01,1969,NLCS,ATL,NL,0,0,1,0,0,0,0,3,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1,0,0.0,0.0,0.0
labincl01,1956,WS,BRO,NL,1,0,2,1,1,1,0,36,8,0,0,3,7,0.0,0.0,2.0,0.0,0.0,0.0,47.0,1,1,0.0,0.0,1.0
papeljo01,2009,ALDS2,BOS,AL,0,1,2,0,0,0,0,6,4,3,0,2,1,0.0,13.0,1.0,0.0,0.0,0.0,10.0,1,3,0.0,0.0,0.0
