playerid,yearid,teamid,lgid,round,pos,g,gs,innouts,po,a,e,dp,tp,pb,sb,cs
lopezau01,1986,HOU,NL,NLCS,P,2,0,10.0,0,1,0,0,0,,1.0,0.0
garresc01,1989,SFN,NL,NLCS,P,2,2,35.0,0,1,0,0,0,,2.0,0.0
ryanno01,1969,NYN,NL,NLCS,P,1,0,21.0,1,0,0,0,0,,0.0,0.0
maxvida01,1972,OAK,AL,ALCS,2B,1,0,6.0,0,1,0,0,0,,,
fernasi01,1986,NYN,NL,WS,P,3,0,20.0,0,0,0,0,0,,0.0,0.0
lohseky01,2007,PHI,NL,NLDS2,P,1,0,4.0,1,0,0,0,0,,0.0,0.0
mabryjo01,2002,OAK,AL,ALDS2,RF,1,0,3.0,0,0,0,0,0,,,
gaettga01,1987,MIN,AL,WS,3B,7,7,180.0,6,15,0,2,0,,,
garvest01,1981,LAN,NL,WS,1B,6,6,156.0,45,3,0,6,0,,,
duncada01,1971,OAK,AL,ALCS,C,2,2,48.0,15,0,0,0,0,0.0,0.0,0.0
wettejo01,1999,TEX,AL,ALDS2,P,1,0,3.0,0,0,0,0,0,,0.0,0.0
yorkru01,1945,DET,AL,WS,1B,7,7,197.0,67,8,1,3,0,,,
snowjt01,2002,SFN,NL,NLDS1,1B,5,5,132.0,42,7,0,6,0,,,
spencsh01,1998,NYA,AL,ALCS,LF,3,3,81.0,7,1,0,0,0,,,
justida01,2000,NYA,AL,WS,LF,5,5,126.0,8,1,0,0,0,,,
mclaide01,1968,DET,AL,WS,P,3,3,50.0,0,3,1,0,0,,2.0,0.0
schumsk01,2012,SLN,NL,NLCS,2B,1,0,3.0,0,0,0,0,0,0.0,0.0,0.0
oleartr01,1999,BOS,AL,ALDS1,LF,5,5,130.0,7,0,0,0,0,,,
willige02,1999,ATL,NL,WS,LF,4,4,105.0,6,0,0,0,0,,,
romerjc01,2002,MIN,AL,ALCS,P,4,0,6.0,0,0,0,0,0,,0.0,0.0
finlech01,2002,SLN,NL,NLCS,P,1,1,15.0,1,0,0,0,0,,0.0,0.0
oliveda02,2006,NYN,NL,NLDS1,P,1,0,4.0,1,2,0,1,0,,0.0,0.0
sprinru01,1999,ATL,NL,NLDS1,P,1,0,3.0,0,0,0,0,0,,0.0,0.0
stanked01,1948,BSN,NL,WS,2B,6,6,153.0,8,13,0,2,0,,,
cabrefr01,1993,ATL,NL,NLCS,C,1,0,3.0,1,0,0,0,0,0.0,0.0,0.0
wellsda01,1998,NYA,AL,WS,P,1,1,21.0,0,0,0,0,0,,0.0,0.0
oroscje01,1997,BAL,AL,ALDS2,P,2,0,4.0,0,0,0,0,0,,0.0,0.0
klingjo01,1910,CHN,NL,WS,C,3,3,75.0,11,7,0,0,0,0.0,3.0,6.0
olearch01,1909,DET,AL,WS,3B,1,0,21.0,1,1,0,0,0,,,
cowenal01,1978,KCA,AL,ALCS,RF,4,4,102.0,5,0,0,0,0,,,
brownbo04,1981,NYA,AL,WS,CF,1,0,6.0,1,0,0,0,0,,,
mcdonjo03,2011,ARI,NL,NLDS2,SS,2,0,,0,1,0,0,0,,,
hadlebu01,1937,NYA,AL,WS,P,1,1,4.0,0,0,0,0,0,,0.0,0.0
carpech01,2009,SLN,NL,NLDS1,P,1,1,15.0,1,0,0,0,0,,0.0,0.0
