playerid,yearid,stint,teamid,lgid,pos,g,gs,innouts,po,a,e,dp,pb,wp,sb,cs,zr
milleor01,1997,1,DET,AL,1B,3,0.0,24.0,6.0,0.0,0.0,0.0,,,,,
schilcu01,1988,1,BAL,AL,P,4,4.0,44.0,0.0,0.0,1.0,0.0,,,,,
olsoniv01,1916,1,BRO,NL,2B,3,,,7.0,4.0,1.0,0.0,,,,,
ostrojo01,1949,1,CHA,AL,3B,8,,,4.0,9.0,1.0,0.0,,,,,
fitzped01,1917,1,BSN,NL,2B,22,,,33.0,46.0,6.0,2.0,,,,,
terwiwa01,1954,1,WS1,AL,SS,3,1.0,53.0,3.0,7.0,2.0,1.0,,,,,
pierema01,1947,1,WS1,AL,P,23,,,4.0,14.0,5.0,0.0,,,,,
tasbywi01,1960,1,BAL,AL,OF,36,22.0,648.0,47.0,1.0,1.0,0.0,,,,,
rincoju01,2005,1,MIN,AL,P,75,0.0,231.0,5.0,12.0,1.0,0.0,,,,,
reynocr01,1983,1,HOU,NL,SS,8,5.0,168.0,10.0,11.0,0.0,6.0,,,,,
klimclo01,1961,1,KC1,AL,RF,3,3.0,78.0,1.0,0.0,0.0,0.0,,,,,
wyattwh01,1941,1,BRO,NL,P,38,,,11.0,47.0,2.0,5.0,,,,,
phillmi01,1980,1,SLN,NL,3B,8,2.0,89.0,1.0,7.0,3.0,1.0,,,,,
oldisbo01,1963,1,PHI,NL,C,43,19.0,621.0,170.0,15.0,4.0,4.0,3.0,9.0,19.0,5.0,0.0
husonje01,1998,1,SEA,AL,OF,1,0.0,3.0,1.0,0.0,0.0,0.0,,,,,
johnsla02,1977,1,CHA,AL,1B,45,38.0,1064.0,346.0,32.0,4.0,31.0,,,,,
schmara01,1918,1,BRO,NL,2B,34,,,79.0,90.0,12.0,8.0,,,,,
nichosi01,1908,1,PHA,AL,SS,120,,,221.0,370.0,56.0,26.0,,,,,
riconha01,1924,1,PHA,AL,SS,2,,,2.0,0.0,0.0,0.0,,,,,
