franchid,franchname,active,naassoc
NYP,New York Metropolitans,N,
KEK,Fort Wayne Kekiongas,,
ROK,Rockford Forest Citys,,
BRA,Brooklyn Atlantics,,
PRO,Providence Grays,N,
KCR,Kansas City Royals,Y,
NYI,New York Giants,N,
TRT,Troy Trojans,N,
TOR,Toronto Blue Jays,Y,
BNA,Boston Red Stockings,,ATL
BFL,Buffalo Bisons,N,
BFB,Buffalo Bisons,N,
FLA,Florida Marlins,Y,
OLY,Washington Olympics,,
CHP,Chicago Pirates,N,
BUF,Buffalo Bisons,N,
COR,Cincinnati Outlaw Reds,N,
CKK,Cincinnati Kelly's Killers,N,
BLC,Baltimore Canaries,,
CIN,Cincinnati Reds,Y,
CNA,Chicago White Stockings,,CHC
SYR,Syracuse Stars,N,
IHO,Indianapolis Hoosiers,N,
PNA,Philadelphia Athletics,,ATH
CLE,Cleveland Indians,Y,
PHQ,Philadelphia Athletics,N,
MAR,Baltimore Marylands,,
COL,Colorado Rockies,Y,
SLR,St. Louis Red Stockings,,
BLT,Baltimore Terrapins,N,
LGR,Louisville Grays,N,
SYS,Syracuse Stars,N,
BWW,Brooklyn Ward's Wonders,N,
MIL,Milwaukee Brewers,Y,
TEX,Texas Rangers,Y,
BOS,Boston Red Sox,Y,
PIT,Pittsburgh Pirates,Y,
ARI,Arizona Diamondbacks,Y,
DTN,Detroit Wolverines,N,
SEA,Seattle Mariners,Y,
MLU,Milwaukee Brewers,N,
CLV,Cleveland Spiders,N,
WBL,Washington Blue Legs,,
PBS,Pittsburgh Rebels,N,
ECK,Brooklyn Eckfords,,
WST,Washington Statesmen,N,
LOU,Louisville Colonels,N,
PHA,Philadelphia Athletics,N,
KCN,Kansas City Cowboys,N,
TLM,Toledo Maumees,N,
KCU,Kansas City Cowboys,N,
HNA,Hartford Dark Blues,,HAR
SDP,San Diego Padres,Y,
TRO,Troy Haymakers,,
NYY,New York Yankees,Y,
WNT,Washington Nationals,,
KCC,Kansas City Cowboys,N,
BAL,Baltimore Orioles,Y,
ROC,Rochester Broncos,N,
CLI,Cleveland Infants,N,
MIN,Minnesota Twins,Y,
CHH,Chicago Whales,N,
SLM,St. Louis Maroons,N,
TBD,Tampa Bay Rays,Y,
RIC,Richmond Virginians,N,
STP,St. Paul Apostles,N,
BRG,Brooklyn Gladiators,N,
IND,Indianapolis Hoosiers,N,
MAN,Middletown Mansfields,,
PHI,Philadelphia Phillies,Y,
BLO,Baltimore Orioles,N,
IBL,Indianapolis Blues,N,
WNA,Washington Nationals,N,
PHK,Philadelphia Keystones,N,
NYM,New York Mets,Y,
PBB,Pittsburgh Burghers,N,
NAT,Washington Nationals,,
CBL,Cleveland Blues,N,
CPI,Chicago/Pittsburgh (Union League),N,
SNA,St. Louis Brown Stockings,,SBS
CHC,Chicago Cubs,Y,CNA
PWS,Philadelphia White Stockings,,
WSN,Washington Nationals,Y,
CLS,Columbus Solons,N,
CFC,Cleveland Forest Citys,,
WOR,Worcester Ruby Legs,N,
DET,Detroit Tigers,Y,
STL,St. Louis Cardinals,Y,
ATH,Philadelphia Athletics,N,PNA
WAS,Washington Senators,N,
WIL,Wilmington Quicksteps,N,
BLU,Baltimore Monumentals,N,
SBS,St. Louis Brown Stockings,N,SNA
NHV,New Haven Elm Citys,,
MLA,Milwaukee Brewers,N,
CBK,Columbus Buckeyes,N,
NEW,Newark Pepper,N,
SLI,St. Louis Terriers,N,
CNR,Cincinnati Reds,N,
WNL,Washington Nationals,N,
CEN,Philadelphia Centennials,,
CHW,Chicago White Sox,Y,
NNA,New York Mutuals,,NYU
MLG,Milwaukee Grays,N,
LAD,Los Angeles Dodgers,Y,
HOU,Houston Astros,Y,
OAK,Oakland Athletics,Y,
WES,Keokuk Westerns,,
KCP,Kansas City Packers,N,
TOL,Toledo Blue Stockings,N,
BRD,Boston Reds,N,
ANA,Los Angeles Angels of Anaheim,Y,
BTT,Brooklyn Tip-Tops,N,
HAR,Hartford Dark Blues,N,HNA
NYU,New York Mutuals,N,NNA
RES,Elizabeth Resolutes,,
BRS,Boston Reds,N,
ALT,Altoona Mountain City,N,
ATL,Atlanta Braves,Y,BNA
SFG,San Francisco Giants,Y,
