id,lgid,teamid,franchid,name,park
290,NL,WAS,WAS,Washington Senators,Boundary Field
47,AL,CAL,ANA,California Angels,Anaheim Stadium
195,NL,CIN,CIN,Cincinnati Reds,Crosley Field
283,NL,SLN,STL,St. Louis Cardinals,Sportsman's Park IV
203,NL,CL4,CLV,Cleveland Spiders,League Park I
193,NL,CIN,CIN,Cincinnati Redlegs,Crosley Field
111,AL,WS1,MIN,Washington Senators,American League Park I
75,AL,LAA,ANA,Los Angeles Angels of Anaheim,Angel Stadium of Anaheim
29,AA,RC2,ROC,Rochester Broncos,Culver Field I
98,AL,SEA,SEA,Seattle Mariners,Safeco Field
247,NL,PHI,PHI,Philadelphia Blue Jays,Shibe Park
117,FL,BLF,BLT,Baltimore Terrapins,
308,UA,KCU,KCU,Kansas City Cowboys,
240,NL,NY1,SFG,New York Giants,Polo Grounds III/Polo Grounds IV
182,NL,CHN,CHC,Chicago Colts,South Side Park I
126,FL,PTF,PBS,Pittsburgh Rebels,
271,NL,SFN,SFG,San Francisco Giants,Candlestick Park
69,AL,KCA,KCR,Kansas City Royals,Kauffman Stadium
130,NA,BR1,ECK,Brooklyn Eckfords,Union Grounds
191,NL,CHN,CHC,Chicago White Stockings,Lake Front Park II
58,AL,CLE,CLE,Cleveland Indians,League Park II
164,NL,BRO,LAD,Brooklyn Bridegrooms,Washington Park III
97,AL,SEA,SEA,Seattle Mariners,Kingdome / Safeco Field
295,PL,BFP,BFB,Buffalo Bisons,
7,AA,BR3,LAD,Brooklyn Grays,Washington Park I
147,NA,RC1,ROK,Rockford Forest Citys,Agricultural Society Fair Grounds
197,NL,CIN,CIN,Cincinnati Reds,Great American Ball Park
312,UA,SPU,STP,St. Paul White Caps,
222,NL,IN3,IND,Indianapolis Hoosiers,Athletic Park II
15,AA,CN3,CKK,Cincinnati Kelly's Killers,East End Park
313,UA,WIL,WIL,Wilmington Quicksteps,
286,NL,SR1,SYR,Syracuse Stars,Newell Park
43,AL,BOS,BOS,Boston Americans,Huntington Avenue Grounds
216,NL,HOU,HOU,Houston Astros,Astrodome
230,NL,MIL,MIL,Milwaukee Brewers,County Stadium
217,NL,HOU,HOU,Houston Astros,Enron Field
268,NL,SDN,SDP,San Diego Padres,Qualcomm Stadium
27,AA,PT1,PIT,Pittsburg Alleghenys,Exposition Park I
17,AA,KC2,KCC,Kansas City Cowboys,Association Park I
289,NL,TRN,TRT,Troy Trojans,Troy Ball Club Grounds
306,UA,CHU,CPI,Chicago/Pittsburgh (Union League),
106,AL,TEX,TEX,Texas Rangers,The Ballpark at Arlington
302,PL,PTP,PBB,Pittsburgh Burghers,
215,NL,HAR,HAR,Hartford Dark Blues,Union Grounds (Brooklyn)
293,NL,WOR,WOR,Worcester Ruby Legs,Worcester Driving Park Grounds
