playerid,yearid,stint,teamid,lgid,g,g_batting,ab,r,h,2b,3b,hr,rbi,sb,cs,bb,so,ibb,hbp,sh,sf,gidp,g_old
guerrju01,1992,1,HOU,NL,79,79.0,125.0,8.0,25.0,4.0,2.0,1.0,14.0,1.0,0.0,10.0,32.0,2.0,1.0,1.0,2.0,0.0,79.0
minosmi01,1960,1,CHA,AL,154,154.0,591.0,89.0,184.0,32.0,4.0,20.0,105.0,17.0,13.0,52.0,63.0,2.0,13.0,5.0,9.0,16.0,154.0
benchjo01,1983,1,CIN,NL,110,110.0,310.0,32.0,79.0,15.0,2.0,12.0,54.0,0.0,1.0,24.0,38.0,1.0,0.0,0.0,0.0,13.0,110.0
dixonso01,1956,1,NYA,AL,3,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0
deanha01,1941,1,WS1,AL,2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
tiptoer01,1942,1,CIN,NL,63,63.0,207.0,22.0,46.0,5.0,5.0,4.0,18.0,1.0,,25.0,14.0,,1.0,7.0,,8.0,63.0
rojekst01,1950,1,PIT,NL,76,76.0,230.0,28.0,59.0,12.0,1.0,0.0,17.0,2.0,,18.0,13.0,,1.0,4.0,,4.0,76.0
clymebi01,1891,1,PH4,AA,3,3.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,1.0,2.0,,1.0,,,,3.0
hermadu01,1995,1,SDN,NL,26,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0
brancal01,1945,1,PHA,AL,10,10.0,34.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,,0.0,0.0,,0.0,10.0
hollida02,2004,1,ATL,NL,7,7.0,22.0,3.0,8.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,7.0
gerbewa01,1927,1,SLA,AL,142,142.0,438.0,44.0,98.0,13.0,9.0,0.0,45.0,3.0,6.0,35.0,25.0,,2.0,23.0,,,142.0
gwynnto01,1983,1,SDN,NL,86,86.0,304.0,34.0,94.0,12.0,2.0,1.0,37.0,7.0,4.0,23.0,21.0,5.0,0.0,4.0,3.0,9.0,86.0
whitede04,1998,2,COL,NL,9,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,9.0
millebi04,1954,1,NYA,AL,2,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,2.0
leecl02,2006,1,CLE,AL,33,2.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,33.0
milleno01,1974,1,ATL,NL,42,42.0,41.0,1.0,7.0,1.0,0.0,1.0,5.0,0.0,0.0,7.0,9.0,1.0,0.0,0.0,0.0,0.0,42.0
myersha01,1911,2,SLA,AL,11,11.0,37.0,4.0,11.0,1.0,0.0,0.0,1.0,0.0,,1.0,,,0.0,2.0,,,11.0
quinnja01,1922,1,BOS,AL,40,40.0,91.0,5.0,9.0,3.0,0.0,1.0,5.0,0.0,0.0,6.0,28.0,,1.0,3.0,,,40.0
