year,lgid,tmid,oppid,w,l,t,otl
2009,NHL,COL,NAS,1,2,,1
2005,NHL,ATL,FLO,5,2,,1
1982,NHL,TOR,BOS,1,2,0.0,
1982,NHL,VAN,NYI,1,2,0.0,
2010,NHL,DET,FLO,1,0,,0
2009,NHL,SJS,VAN,3,1,,0
2010,NHL,VAN,NYI,1,0,,0
1989,NHL,STL,BUF,2,1,0.0,
1996,NHL,CAL,EDM,2,3,0.0,
1960,NHL,TOR,MTL,6,8,0.0,
2011,NHL,DAL,PHO,3,2,,1
2010,NHL,TBL,SJS,0,1,,0
1979,NHL,MNS,WAS,3,0,1.0,
2009,NHL,TOR,MTL,3,0,,3
2002,NHL,TOR,MTL,3,1,1.0,0
1981,NHL,WAS,LAK,1,1,1.0,
1993,NHL,TBL,LAK,1,1,0.0,
1990,NHL,CAL,NYI,1,2,0.0,
1994,NHL,EDM,LAK,2,2,1.0,
2003,NHL,EDM,NYI,0,1,0.0,0
1990,NHL,MTL,QUE,5,2,1.0,
1955,NHL,CHI,MTL,1,12,1.0,
1927,NHL,CHI,BOS,0,4,2.0,
2006,NHL,PHI,WAS,0,4,,0
1999,NHL,FLO,BUF,2,1,0.0,1
2006,NHL,MIN,CBS,2,2,,0
1982,NHL,BOS,PIT,2,1,0.0,
1995,NHL,DAL,BOS,1,1,0.0,
1972,NHL,PIT,NYI,4,0,1.0,
1976,NHL,VAN,WAS,2,2,0.0,
1997,NHL,CAL,OTT,1,1,0.0,
1999,NHL,CHI,MTL,1,1,0.0,0
1997,NHL,PHI,DET,1,1,0.0,
2007,NHL,BUF,DAL,1,0,,0
1995,NHL,FLO,CHI,0,2,0.0,
2006,NHL,PHO,ATL,1,0,,0
1994,NHL,EDM,DAL,1,2,1.0,
1987,NHL,NYR,STL,3,0,0.0,
1983,NHL,BUF,STL,2,1,0.0,
1991,NHL,EDM,NYI,3,0,0.0,
2002,NHL,NJD,CBS,1,1,0.0,0
1976,NHL,COR,PHI,0,5,0.0,
1985,NHL,STL,WAS,0,3,0.0,
1929,NHL,CHI,BOS,3,3,0.0,
1990,NHL,MNS,MTL,0,2,1.0,
1977,WHA,WIJ,QUN,7,4,0.0,
1969,NHL,OAK,DET,2,4,0.0,
1998,NHL,NAS,WAS,2,0,0.0,
1988,NHL,WAS,DET,1,1,1.0,
1982,NHL,BUF,PHI,2,1,0.0,
1986,NHL,MNS,PHI,2,1,0.0,
2007,NHL,PHO,EDM,0,4,,0
1936,NHL,NYR,MTM,2,2,2.0,
2002,NHL,VAN,PIT,1,0,0.0,0
1984,NHL,MNS,NYR,2,1,0.0,
1979,NHL,MNS,MTL,1,3,0.0,
1981,NHL,PIT,COR,3,0,0.0,
1986,NHL,MNS,PIT,0,3,0.0,
1999,NHL,MTL,TBL,3,1,0.0,0
1980,NHL,BUF,TOR,3,1,0.0,
1985,NHL,CHI,QUE,1,2,0.0,
2005,NHL,NAS,ANA,1,3,,0
1974,NHL,PIT,NYR,2,2,0.0,
2008,NHL,TOR,EDM,1,1,,0
1993,NHL,PHI,DET,0,2,0.0,
1996,NHL,FLO,OTT,1,2,1.0,
1973,NHL,NYI,MNS,3,1,1.0,
2002,NHL,NYR,FLO,3,1,0.0,0
1971,NHL,PIT,BUF,1,2,3.0,
1946,NHL,MTL,DET,6,4,2.0,
1998,NHL,TBL,TOR,0,4,0.0,
2009,NHL,AND,COL,3,1,,0
1999,NHL,DAL,LAK,4,2,0.0,0
2005,NHL,PHO,NAS,1,2,,1
1985,NHL,TOR,BUF,2,1,0.0,
1976,WHA,HOU,BIR,3,4,0.0,
1996,NHL,NJD,MTL,2,0,2.0,
1999,NHL,CHI,ATL,1,0,0.0,0
2008,NHL,DAL,PHO,2,2,,2
1935,NHL,BOS,TOR,1,3,2.0,
1982,NHL,WIN,EDM,2,6,0.0,
1931,NHL,NYA,BOS,3,2,1.0,
2002,NHL,DAL,BUF,1,1,0.0,0
2011,NHL,TBL,WPG,3,2,,1
2011,NHL,VAN,DET,2,1,,1
2008,NHL,EDM,DET,0,4,,0
1975,NHL,WAS,PHI,0,3,1.0,
2008,NHL,MTL,CHI,1,0,,0
2007,NHL,EDM,CHI,3,1,,0
1986,NHL,BOS,NYI,2,0,1.0,
1973,WHA,NEW,EDO,3,2,1.0,
1968,NHL,CHI,LAK,5,1,0.0,
1985,NHL,WAS,HAR,2,0,1.0,
2010,NHL,VAN,PIT,0,1,,0
1994,NHL,NYI,BOS,1,2,0.0,
1961,NHL,CHI,NYR,7,6,1.0,
1986,NHL,WIN,NYI,1,1,1.0,
2010,NHL,CBS,VAN,0,2,,2
2009,NHL,CAL,PHI,0,1,,0
2010,NHL,CBS,DET,2,3,,1
1995,NHL,MTL,PIT,4,1,0.0,
1926,NHL,CHI,BOS,2,3,1.0,
2006,NHL,TBL,TOR,0,4,,0
2009,NHL,WAS,STL,0,0,,1
1984,NHL,VAN,NYI,1,2,0.0,
1972,NHL,VAN,CHI,1,3,1.0,
1995,NHL,OTT,NYR,1,3,0.0,
2003,NHL,FLO,BUF,1,2,1.0,0
2009,NHL,CAR,CBS,0,1,,0
