year,lgid,tmid,g,w,l,t,gf,ga,pim,benchminor,ppg,ppc,sha,pkg,pkc,shf
1936,NHL,NYR,9,6,3,0,18,10,68,,,,,,,
1925,NHL,MTM,4,2,0,2,8,5,40,,,,,,,
1945,NHL,BOS,10,5,5,0,29,29,47,,,,,,,
1998,NHL,STL,13,6,7,0,31,33,179,2,11,61,2,8,71,0
1931,NHL,TOR,7,5,1,1,28,15,95,,,,,,,
1988,NHL,LAK,11,4,7,0,36,42,270,2,15,54,,11,57,1
1993,NHL,NJD,20,11,9,0,52,49,421,4,14,81,1,11,85,1
1955,NHL,DET,10,5,5,0,23,28,117,,,,,,,
1985,NHL,MNS,5,2,3,0,20,18,142,2,6,24,1,2,25,1
1994,NHL,DAL,5,1,4,0,10,17,95,0,3,26,0,9,30,1
2005,NHL,CAR,25,16,9,0,73,60,319,8,31,129,2,20,137,2
1979,NHL,LAK,4,1,3,0,10,21,73,2,1,16,2,3,15,2
1992,NHL,CAL,6,2,4,0,28,33,213,0,9,40,1,5,40,3
1914,NHA,MOW,2,1,1,0,1,4,,,,,,,,
1969,NHL,NYR,6,2,4,0,16,25,169,,7,,2,6,,0
2002,NHL,OTT,18,11,7,0,43,34,214,2,12,83,1,6,73,3
1986,NHL,STL,6,2,4,0,12,15,182,2,5,30,0,2,28,0
1954,NHL,TOR,4,0,4,0,6,14,60,,,,,,,
1986,NHL,NYR,6,2,4,0,13,22,172,0,4,35,2,3,32,0
1999,NHL,FLO,4,0,4,0,6,12,54,0,1,14,1,2,16,0
1975,NHL,MTL,13,12,1,0,44,26,187,0,11,53,0,9,46,3
1987,NHL,EDM,19,16,2,1,87,56,635,8,32,117,,20,117,2
2001,NHL,DET,23,16,7,0,72,47,308,8,19,99,2,14,104,7
2006,NHL,VAN,12,5,7,0,21,26,190,4,4,67,0,8,76,0
1974,WHA,QUN,15,8,7,0,55,48,,,,,,,,
1971,NHL,MNS,7,3,4,0,19,19,111,,4,,0,6,,0
1926,NHL,OTS,6,3,0,3,12,4,85,,,,,,,
1958,NHL,TOR,12,5,7,0,32,39,173,,,,,,,
1990,NHL,LAK,12,6,6,0,46,37,306,2,12,53,1,8,56,1
1953,NHL,TOR,5,1,4,0,8,15,57,,,,,,,
1994,NHL,DET,18,12,6,0,61,44,264,0,22,89,1,14,78,3
1993,NHL,BUF,7,3,4,0,14,14,157,0,4,38,0,6,32,0
1917,NHL,MTL,2,1,1,0,7,10,59,,,,,,,
1994,NHL,VAN,11,4,7,0,33,38,272,6,12,57,1,8,66,7
1946,NHL,TOR,11,8,3,0,31,27,144,,,,,,,
1981,NHL,MTL,5,2,3,0,16,11,201,2,4,36,1,3,26,3
1932,NHL,TOR,9,4,5,0,14,18,99,,,,,,,
1931,NHL,MTL,4,1,3,0,9,13,48,,,,,,,
1999,NHL,DAL,23,14,9,0,52,46,291,4,15,93,5,12,102,2
1958,NHL,CHI,6,2,4,0,16,21,93,,,,,,,
1995,NHL,TBL,6,2,4,0,13,26,190,0,3,35,0,10,43,2
2007,NHL,WAS,7,3,4,0,20,23,87,6,8,35,0,8,36,0
1945,NHL,DET,5,1,4,0,10,16,22,,,,,,,
1940,NHL,DET,9,4,5,0,17,20,96,,,,,,,
2006,NHL,OTT,20,13,7,0,59,47,246,6,18,95,0,12,99,3
1981,NHL,PHI,4,1,3,0,15,19,81,0,6,20,0,8,21,2
1973,WHA,NEW,7,3,4,0,23,24,,,,,,,,
1980,NHL,BUF,8,4,4,0,30,30,175,0,10,27,1,5,28,0
1972,WHA,NEW,15,12,3,0,70,49,,,14,75,0,13,64,1
2010,NHL,PHI,11,4,7,0,29,38,173,4,7,49,0,9,47,0
1998,NHL,BUF,21,14,7,0,59,49,349,4,19,95,0,17,118,4
1991,NHL,HAR,7,3,4,0,18,21,147,0,6,40,1,8,41,2
1975,WHA,SDM,11,5,6,0,36,39,,,,,,,,
1923,WCHL,REG,2,0,1,1,2,4,,,,,,,,
1995,NHL,PHI,12,6,6,0,37,28,290,0,15,71,3,7,63,0
1947,NHL,NYR,6,2,4,0,12,17,43,,,,,,,
2000,NHL,WAS,6,2,4,0,10,14,91,0,7,22,0,5,21,0
1982,NHL,NYR,9,5,4,0,33,37,171,2,9,47,3,10,40,1
1988,NHL,MNS,5,1,4,0,15,23,144,0,3,16,,5,30,1
2000,NHL,SJS,6,2,4,0,11,16,88,0,0,22,1,5,27,1
1996,NHL,STL,6,2,4,0,12,13,198,0,5,37,1,6,42,0
1980,NHL,TOR,3,0,3,0,4,20,56,4,1,12,2,6,16,0
1967,NHL,NYR,6,2,4,0,12,18,68,,2,,0,3,,0
1920,PCHA,VML,2,2,0,0,13,2,,,,,,,,
2003,NHL,DET,12,6,6,0,24,20,135,0,5,52,1,2,50,1
2001,NHL,OTT,12,7,5,0,29,18,115,0,9,55,0,6,41,0
