year,round,series,tmidwinner,lgidwinner,tmidloser,lgidloser,w,l,t,goalswinner,goalsloser,note
1977,SCF,K,MTL,NHL,BOS,NHL,4,2,0,18,13,
1985,DF,I,MTL,NHL,HAR,NHL,4,3,0,16,13,
1924,F,,MTL,NHL,HAM,NHL,0,0,0,0,0,DEF
1977,QF,F,BOS,NHL,CHI,NHL,4,0,0,19,9,
2008,CF,M,PIT,NHL,CAR,NHL,4,0,0,20,9,
1925,F,,VIC,WCHL,EDE,WCHL,1,0,1,5,3,TG
1992,DF,K,TOR,NHL,STL,NHL,4,3,0,22,11,
1984,CF,N,EDM,NHL,CHI,NHL,4,2,0,44,25,
2011,CSF,J,NJD,NHL,PHI,NHL,4,1,0,18,11,
1976,SF,I,MTL,NHL,NYI,NHL,4,2,0,19,13,
1981,DF,J,CHI,NHL,STL,NHL,4,2,0,23,19,
1995,CQF,E,DET,NHL,WIN,NHL,4,2,0,20,10,
1960,SCF,C,CHI,NHL,DET,NHL,4,2,0,19,12,
1976,DF,,QUN,WHA,IND,WHA,4,1,0,25,14,
2009,CSF,J,PHI,NHL,BOS,NHL,4,3,0,22,20,
1998,CQF,C,BOS,NHL,CAR,NHL,4,2,0,16,10,
1983,DF,J,NYI,NHL,WAS,NHL,4,1,0,20,13,
1934,SCF,E,MTM,NHL,TOR,NHL,3,0,0,10,4,
1913,SCF,,TBS,NHA,VA1,PCHA,3,0,0,13,8,
1920,F,,VML,PCHA,SEA,PCHA,2,0,0,13,2,TG
1991,DSF,D,PIT,NHL,WAS,NHL,4,3,0,25,27,
1938,SF,D,TOR,NHL,DET,NHL,2,1,0,10,8,
1968,QF,C,STL,NHL,PHI,NHL,4,0,0,17,3,
1995,CF,M,FLO,NHL,PIT,NHL,4,3,0,20,15,
1986,DSF,C,PHI,NHL,NYR,NHL,4,2,0,22,13,
2008,CSF,L,CHI,NHL,VAN,NHL,4,2,0,23,19,
2007,CSF,J,PIT,NHL,NYR,NHL,4,1,0,15,12,
1984,DSF,F,CHI,NHL,DET,NHL,3,0,0,23,8,
