coachid,award,year,lgid,note
bouchfr01c,Second Team All-Star,1939,NHL,
juliecl01c,Jack Adams,2008,NHL,
rossar01c,Second Team All-Star,1937,NHL,
patrile01c,First Team All-Star,1932,NHL,
quinnpa01c,Jack Adams,1979,NHL,
burnspa01c,Jack Adams,1988,NHL,
gormato01c,Second Team All-Star,1935,NHL,
rossar01c,Second Team All-Star,1942,NHL,
sherofr01c,Jack Adams,1973,NHL,
keenami01c,Jack Adams,1984,NHL,
bowmasc01c,Jack Adams,1976,NHL,
cherrdo01c,Jack Adams,1975,NHL,
huculsa01c,Schmertz,1974,WHA,
patrile01c,First Team All-Star,1933,NHL,
gottsjo01c,Second Team All-Star,1945,NHL,
thomppa01c,Second Team All-Star,1941,NHL,
lemaija01c,Jack Adams,2002,NHL,
sathegl01c,Jack Adams,1985,NHL,
irvindi01c,Second Team All-Star,1932,NHL,
rossar01c,First Team All-Star,1938,NHL,
duttore01c,Second Team All-Star,1938,NHL,
krommbo01c,Jack Adams,1977,NHL,
crawfma01c,Jack Adams,1994,NHL,
weilaco01c,First Team All-Star,1940,NHL,
vigneal01c,Jack Adams,2006,NHL,
irvindi01c,Second Team All-Star,1933,NHL,
berenre01c,Jack Adams,1980,NHL,
irvindi01c,Second Team All-Star,1930,NHL,
irvindi01c,Second Team All-Star,1931,NHL,
suttebr01c,Jack Adams,1990,NHL,
wattto01c,Jack Adams,1981,NHL,
irvindi01c,Second Team All-Star,1934,NHL,
krommbo01c,Schmertz,1975,WHA,
patrile01c,First Team All-Star,1935,NHL,
francbo01c,Jack Adams,2001,NHL,
irvindi01c,Second Team All-Star,1940,NHL,
kelleja01c,Baldwin,1972,WHA,
lemaija01c,Jack Adams,1993,NHL,
demerja01c,Jack Adams,1987,NHL,
harribi01c,Baldwin,1973,WHA,
bouchfr01c,First Team All-Star,1941,NHL,
bylsmda01c,Jack Adams,2010,NHL,
adamsja01c,First Team All-Star,1942,NHL,
patrile01c,First Team All-Star,1930,NHL,
thomppa01c,First Team All-Star,1939,NHL,
burnspa01c,Jack Adams,1997,NHL,
ruffli01c,Jack Adams,2005,NHL,
hitchke01c,Jack Adams,2011,NHL,
irvindi01c,First Team All-Star,1944,NHL,
patrile01c,First Team All-Star,1937,NHL,
nolante01c,Jack Adams,1996,NHL,
quennjo01c,Jack Adams,1999,NHL,
dineebi01c,Schmertz,1976,WHA,
irvindi01c,First Team All-Star,1945,NHL,
barbebi01c,Jack Adams,2000,NHL,
murdobo01c,Jack Adams,1989,NHL,
adamsja01c,Second Team All-Star,1944,NHL,
tippeda01c,Jack Adams,2009,NHL,
hartce01c,Second Team All-Star,1936,NHL,
brophjo01c,Schmertz,1978,WHA,
burnspa01c,Jack Adams,1992,NHL,
quinnpa01c,Jack Adams,1991,NHL,
boudrbr01c,Jack Adams,2007,NHL,
dayha01c,Second Team All-Star,1943,NHL,
irvindi01c,First Team All-Star,1943,NHL,
murrabr01c,Jack Adams,1983,NHL,
patrile01c,First Team All-Star,1931,NHL,
demerja01c,Jack Adams,1986,NHL,
patrile01c,First Team All-Star,1934,NHL,
tortojo01c,Jack Adams,2003,NHL,
martija02c,Jack Adams,1998,NHL,
pulfobo01c,Jack Adams,1974,NHL,
bowmasc01c,Jack Adams,1995,NHL,
dineebi01c,Schmertz,1977,WHA,
