year,lgid,tmid,oppid,w,l,t,otl
2003,NHL,CBS,FLO,0,1,0.0,0
1997,NHL,WAS,CHI,2,0,0.0,
2010,NHL,STL,NYR,1,1,,0
2010,NHL,CAL,DAL,4,0,,0
1999,NHL,PHI,NYR,4,1,0.0,0
2005,NHL,WAS,NJD,0,3,,1
1991,NHL,NJD,EDM,1,1,1.0,
2010,NHL,TBL,EDM,0,0,,1
2002,NHL,EDM,WAS,1,0,0.0,0
1973,NHL,DET,BOS,1,4,1.0,
2002,NHL,CHI,CBS,3,2,0.0,0
1949,NHL,DET,MTL,5,3,6.0,
1997,NHL,TOR,MTL,1,1,0.0,
2005,NHL,TOR,SJS,0,1,,0
1986,NHL,LAK,MTL,0,3,0.0,
2001,NHL,WAS,CHI,1,0,0.0,0
1921,PCHA,VA2,VML,6,6,0.0,
1930,NHL,CHI,TOR,0,4,0.0,
2009,NHL,ATL,CHI,0,0,,1
2011,NHL,WPG,WAS,4,1,,1
1987,NHL,EDM,PHI,2,1,0.0,
1999,NHL,NAS,BOS,1,1,0.0,0
1975,NHL,DET,STL,2,1,1.0,
2006,NHL,SJS,FLO,1,0,,0
1998,NHL,ANA,LAK,5,1,0.0,
1930,NHL,NYR,MTM,2,1,1.0,
1994,NHL,CAL,ANA,2,3,0.0,
2003,NHL,TBL,FLO,3,2,1.0,0
2002,NHL,COL,PIT,2,0,0.0,0
2002,NHL,DET,TBL,1,1,0.0,0
1998,NHL,PIT,CHI,1,0,0.0,
1999,NHL,OTT,MTL,3,1,1.0,0
1968,NHL,TOR,PIT,3,0,3.0,
1982,NHL,BUF,NYR,2,0,1.0,
1970,NHL,STL,BUF,4,2,0.0,
1971,NHL,NYR,PIT,3,1,2.0,
1986,NHL,EDM,TOR,2,1,0.0,
1977,NHL,BOS,PIT,5,0,0.0,
1993,NHL,WIN,PHI,1,0,1.0,
1998,NHL,VAN,CHI,1,2,1.0,
1967,NHL,PHI,OAK,3,4,3.0,
1973,NHL,MNS,CLF,3,1,2.0,
2010,NHL,SJS,MTL,0,1,,0
1971,NHL,CLF,BUF,3,0,3.0,
2007,NHL,TBL,COL,0,1,,0
2008,NHL,STL,NJD,0,1,,0
1974,WHA,TOT,MIB,6,0,0.0,
1944,NHL,CHI,DET,3,7,0.0,
2011,NHL,BOS,DET,0,0,,1
1992,NHL,HAR,DET,0,2,0.0,
2001,NHL,TOR,VAN,1,1,0.0,0
1979,NHL,MNS,NYR,2,1,1.0,
2000,NHL,TOR,COL,0,0,1.0,0
2011,NHL,TOR,PHI,0,3,,1
1980,NHL,DET,MTL,1,3,0.0,
1975,NHL,WAS,VAN,0,4,0.0,
1925,NHL,MTM,OTS,1,2,3.0,
2010,NHL,DET,NYI,0,0,,1
1992,NHL,CAL,CHI,0,3,0.0,
2008,NHL,EDM,PHO,3,1,,0
2001,NHL,VAN,PHI,1,1,0.0,0
1973,NHL,ATF,PIT,1,3,2.0,
2002,NHL,DAL,TBL,0,1,0.0,0
2003,NHL,ANA,NYR,1,0,0.0,0
1977,NHL,CHI,STL,3,1,2.0,
2005,NHL,BOS,WAS,3,0,,1
1993,NHL,NYR,NJD,6,0,0.0,
1979,NHL,PIT,HAR,1,2,1.0,
1977,WHA,QUN,IND,6,4,1.0,
1980,NHL,PHI,WAS,2,2,0.0,
1998,NHL,COL,ANA,3,1,0.0,
1971,NHL,BOS,STL,4,1,1.0,
1977,NHL,NYR,NYI,2,4,0.0,
1997,NHL,TOR,SJS,1,2,1.0,
1994,NHL,MTL,QUE,2,1,1.0,
1982,NHL,DET,CHI,2,6,0.0,
1998,NHL,LAK,TBL,0,2,0.0,
1941,NHL,BOS,BKN,4,4,0.0,
1994,NHL,BUF,NYR,1,3,0.0,
1985,NHL,BUF,HAR,2,6,0.0,
2003,NHL,DET,STL,4,1,1.0,0
1969,NHL,DET,PIT,4,2,0.0,
1995,NHL,FLO,COL,0,1,1.0,
1974,NHL,WAS,PIT,1,5,0.0,
2005,NHL,DET,NJD,1,0,,0
1971,NHL,STL,MNS,2,4,0.0,
1974,WHA,VAB,TOT,2,4,0.0,
1975,WHA,QUN,EDO,10,2,0.0,
2003,NHL,EDM,LAK,2,2,0.0,0
2002,NHL,CAR,TOR,0,3,1.0,0
1935,NHL,DET,NYR,4,1,3.0,
1977,NHL,STL,DET,1,3,0.0,
1990,NHL,TOR,DET,2,5,1.0,
1999,NHL,NYR,CAL,1,0,0.0,0
1998,NHL,BOS,SJS,1,0,1.0,
2009,NHL,LAK,STL,1,2,,1
1916,NHA,MOC,TOB,2,0,0.0,
1989,NHL,CAL,PIT,2,0,1.0,
1987,NHL,QUE,MTL,2,6,0.0,
2007,NHL,CAL,NYI,0,0,,1
2003,NHL,VAN,NYR,0,1,0.0,0
2005,NHL,ANA,STL,3,1,,0
1990,NHL,NYR,STL,1,1,1.0,
1995,NHL,NJD,TOR,0,1,1.0,
2003,NHL,CAR,NYI,2,2,0.0,0
1997,NHL,CAL,DAL,1,3,0.0,
2009,NHL,SJS,CAR,1,0,,0
1987,NHL,PIT,QUE,3,0,0.0,
1981,NHL,DET,WAS,0,1,2.0,
2000,NHL,CHI,DET,3,2,0.0,0
1976,NHL,BOS,BUF,3,3,0.0,
