film_id,title,description,release_year,language_id,original_language_id,rental_duration,rental_rate,length,replacement_cost,rating,special_features,last_update
61,BEAUTY GREASE,A Fast-Paced Display of a Composer And a Moose who must Sink a Robot in An Abandoned Mine Shaft,2006,1,,5,4.99,175,28.99,G,"Trailers,Commentaries",2006-02-15T04:03:42
79,BLADE POLISH,A Thoughtful Character Study of a Frisbee And a Pastry Chef who must Fight a Dentist in The First Manned Space Station,2006,1,,5,0.99,114,10.99,PG-13,"Trailers,Behind the Scenes",2006-02-15T04:03:42
98,BRIGHT ENCOUNTERS,A Fateful Yarn of a Lumberjack And a Feminist who must Conquer a Student in A Jet Boat,2006,1,,4,4.99,73,12.99,PG-13,Trailers,2006-02-15T04:03:42
143,CHILL LUCK,A Lacklusture Epistle of a Boat And a Technical Writer who must Fight a A Shark in The Canadian Rockies,2006,1,,6,0.99,142,17.99,PG,"Trailers,Commentaries,Deleted Scenes",2006-02-15T04:03:42
172,CONEHEADS SMOOCHY,A Touching Story of a Womanizer And a Composer who must Pursue a Husband in Nigeria,2006,1,,7,4.99,112,12.99,NC-17,"Deleted Scenes,Behind the Scenes",2006-02-15T04:03:42
173,CONFESSIONS MAGUIRE,A Insightful Story of a Car And a Boy who must Battle a Technical Writer in A Baloon,2006,1,,7,4.99,65,25.99,PG-13,Behind the Scenes,2006-02-15T04:03:42
179,CONQUERER NUTS,A Taut Drama of a Mad Scientist And a Man who must Escape a Pioneer in An Abandoned Mine Shaft,2006,1,,4,4.99,173,14.99,G,"Commentaries,Deleted Scenes,Behind the Scenes",2006-02-15T04:03:42
186,CRAFT OUTFIELD,A Lacklusture Display of a Explorer And a Hunter who must Succumb a Database Administrator in A Baloon Factory,2006,1,,6,0.99,64,17.99,NC-17,"Deleted Scenes,Behind the Scenes",2006-02-15T04:03:42
204,DALMATIONS SWEDEN,A Emotional Epistle of a Moose And a Hunter who must Overcome a Robot in A Manhattan Penthouse,2006,1,,4,0.99,106,25.99,PG,"Trailers,Commentaries,Deleted Scenes",2006-02-15T04:03:42
209,DARKNESS WAR,A Touching Documentary of a Husband And a Hunter who must Escape a Boy in The Sahara Desert,2006,1,,6,2.99,99,24.99,NC-17,"Deleted Scenes,Behind the Scenes",2006-02-15T04:03:42
218,DECEIVER BETRAYED,A Taut Story of a Moose And a Squirrel who must Build a Husband in Ancient India,2006,1,,7,0.99,122,22.99,NC-17,"Trailers,Commentaries,Deleted Scenes,Behind the Scenes",2006-02-15T04:03:42
230,DIARY PANIC,A Thoughtful Character Study of a Frisbee And a Mad Cow who must Outgun a Man in Ancient India,2006,1,,7,2.99,107,20.99,G,"Commentaries,Behind the Scenes",2006-02-15T04:03:42
272,EDGE KISSING,A Beautiful Yarn of a Composer And a Mad Cow who must Redeem a Mad Scientist in A Jet Boat,2006,1,,5,4.99,153,9.99,NC-17,Deleted Scenes,2006-02-15T04:03:42
282,ENCOUNTERS CURTAIN,A Insightful Epistle of a Pastry Chef And a Womanizer who must Build a Boat in New Orleans,2006,1,,5,0.99,92,20.99,NC-17,Trailers,2006-02-15T04:03:42
366,GOLDFINGER SENSIBILITY,A Insightful Drama of a Mad Scientist And a Hunter who must Defeat a Pastry Chef in New Orleans,2006,1,,3,0.99,93,29.99,G,"Trailers,Commentaries,Behind the Scenes",2006-02-15T04:03:42
368,GONE TROUBLE,A Insightful Character Study of a Mad Cow And a Forensic Psychologist who must Conquer a A Shark in A Manhattan Penthouse,2006,1,,7,2.99,84,20.99,R,"Deleted Scenes,Behind the Scenes",2006-02-15T04:03:42
379,GREEDY ROOTS,A Amazing Reflection of a A Shark And a Butler who must Chase a Hunter in The Canadian Rockies,2006,1,,7,0.99,166,14.99,R,"Trailers,Commentaries,Deleted Scenes",2006-02-15T04:03:42
396,HANGING DEEP,A Action-Packed Yarn of a Boat And a Crocodile who must Build a Monkey in Berlin,2006,1,,5,4.99,62,18.99,G,"Trailers,Commentaries,Deleted Scenes",2006-02-15T04:03:42
401,HAROLD FRENCH,A Stunning Saga of a Sumo Wrestler And a Student who must Outrace a Moose in The Sahara Desert,2006,1,,6,0.99,168,10.99,NC-17,"Commentaries,Deleted Scenes,Behind the Scenes",2006-02-15T04:03:42
