season,daynum,wteam,wscore,lteam,lscore,wloc,numot,wfgm,wfga,wfgm3,wfga3,wftm,wfta,wor,wdr,wast,wto,wstl,wblk,wpf,lfgm,lfga,lfgm3,lfga3,lftm,lfta,lor,ldr,last,lto,lstl,lblk,lpf
2009,103,1310,83,1193,76,A,0,30,60,5,19,18,28,13,21,17,10,6,3,17,26,63,8,21,16,23,19,21,8,16,8,3,26
2014,25,1448,77,1425,63,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",0,30,57,5,18,12,22,9,30,22,13,7,3,18,24,61,5,25,10,19,13,25,15,14,4,3,18
2011,68,1391,74,1367,71,A,0,30,50,4,10,10,16,8,16,11,15,11,2,15,26,49,13,28,6,11,8,16,19,18,5,2,17
2006,51,1265,69,1382,51,"Добро пожаловать в [название компании]! Мы предлагаем услуги профессионального перевода на русский язык. Если вам нужен перевод текста, просто отправьте его нам, и мы сделаем это быстро и точно. Наша команда опытных переводчиков гарантирует, что ваш текст будет переведен с сохранением точности и культурного контекста.

Вы хотите перевести какой-то конкретный текст или просто интересуетесь нашими услугами? Мы готовы помочь вам в любое время!",0,28,54,8,20,5,12,12,25,18,12,6,8,15,18,57,4,22,11,17,18,20,7,15,6,2,17
2004,65,1234,71,1345,61,"Добро пожаловать в [название компании]! Мы предлагаем услуги профессионального перевода на русский язык. Если вам нужен перевод текста, просто отправьте его нам, и мы сделаем это быстро и точно. Наша команда опытных переводчиков гарантирует, что ваш текст будет переведен с сохранением точности и культурного контекста.

Вы хотите перевести какой-то конкретный текст или просто интересуетесь нашими услугами? Мы готовы помочь вам в любое время!",0,21,52,0,5,29,37,12,27,11,13,10,0,16,24,64,6,26,7,10,16,23,14,18,4,0,29
2013,85,1438,58,1301,55,"Добро пожаловать в [название компании]! Мы предлагаем услуги профессионального перевода на русский язык. Если вам нужен перевод текста, просто отправьте его нам, и мы сделаем это быстро и точно. Наша команда опытных переводчиков гарантирует, что ваш текст будет переведен с сохранением точности и культурного контекста.

Вы хотите перевести какой-то конкретный текст или просто интересуетесь нашими услугами? Мы готовы помочь вам в любое время!",0,22,54,4,16,10,15,7,26,13,8,4,4,14,20,53,6,15,9,13,10,28,10,14,5,2,12
2012,18,1307,76,1113,71,A,0,25,50,9,23,17,25,8,23,20,17,7,2,23,23,51,7,14,18,25,10,23,10,19,9,1,23
2003,18,1200,79,1456,76,A,0,27,55,12,22,13,23,10,23,14,16,11,4,18,27,58,6,17,16,21,9,24,14,15,6,2,21
2005,58,1277,92,1421,63,"Добро пожаловать в [название компании]! Мы предлагаем услуги профессионального перевода на русский язык. Если вам нужен перевод текста, просто отправьте его нам, и мы сделаем это быстро и точно. Наша команда опытных переводчиков гарантирует, что ваш текст будет переведен с сохранением точности и культурного контекста.

Вы хотите перевести какой-то конкретный текст или просто интересуетесь нашими услугами? Мы готовы помочь вам в любое время!",0,31,55,9,24,21,25,11,25,26,15,13,1,16,23,51,11,25,6,13,9,16,16,21,4,1,21
2014,89,1414,64,1142,50,A,0,25,52,7,16,7,11,9,30,19,11,3,5,12,17,56,8,23,8,14,12,22,12,7,6,1,15
