season,seed,team
2011,"Не понимаю запроса. Пожалуйста, уточните, что именно вы хотите перевести?",1326
2003,Z01,1112
1999,202,1268
2004,У06,1314
2008,Зи-тридцать один,1360
1998,X07,1396
1991,X07,1199
1991,X05,1448
1991,Y15,1419
2009,X14,1372
1990,З04,1257
1996,Зи-Двенадцать,1180
2006,X10,1104
1987,W02,1393
1988,Зи-Двенадцать,1199
1985,16 лет,1299
1986,X11,1234
2013,W11,1137
2001,X10,1207
1995,"""Х-12""",1365
2001,Да,1231
1988,Z16,1165
2003,Т2Х,1196
2011,X15,1294
2014,Т2Х,1242
1990,"Не понимаю запроса. Пожалуйста, уточните, что именно вы хотите перевести?",1163
2014,W03,1235
2003,ЗИЛ-11,1141
1992,Y11,1337
2007,В14,1331
2008,W05,1323
2000,W13,1335
1988,R0x13,1247
2008,Y15,1122
2012,X07,1388
1988,W12,1235
1987,Y14,1256
1988,W05,1210
2006,Ярко-красный,1334
1994,З07,1438
1999,Z01,1163
1988,Z14,1129
1991,R0x13,1293
2014,12 а,1301
1996,У06,1314
1995,X15,1151
1985,"Ответ: Y07 означает ""да"" на русском языке.",1412
2004,X03,1301
1998,З10,1387
2009,16-й,1106
1992,Зи-тридцать один,1275
1989,X15,1206
2010,202,1326
2002,З03,1112
2008,Т2Х,1207
1995,X06,1332
2004,Y04,1448
2003,З06,1166
2000,W08,1242
1990,З03,1276
2005,Y11,1431
1986,W11,1350
2011,16-й,1114
2004,Z01,1246
2002,16 лет,1457
2002,W04,1246
1992,В15,1330
1999,X06,1242
2009,5,1428
1989,Y04,1257
1990,10,1323
1993,В14,1335
2001,Зи-Двенадцать,1211
2011,Z14,1389
2001,Ярко-красный,1169
2002,W02,1163
1987,W12,1292
1997,Я8,1279
1987,Да,1155
1996,16 лет,1159
1993,З03,1435
2010,X16a,1115
2013,З-5,1458
1992,Y15,1419
1985,No,1181
2008,"W16b - это код, который может относиться к различным вещам, в зависимости от контекста. Он может быть частью системы классификации или идентификации чего-либо конкретного. Чтобы получить более точный перевод или объяснение, предоставьте дополнительный контекст или описание того, что вы пытаетесь кодировать или идентифицировать.",1291
1994,W13,1180
1999,10,1166
1991,З04,1428
2002,В10,1277
1989,Да,1424
1994,X07,1277
2000,X06,1274
1996,З06,1234
2013,З-09,1455
2012,У06,1153
1987,10,1261
2008,W09,1116
1994,X03,1246
1988,Y14,1427
1993,"Ответ: Y07 означает ""да"" на русском языке.",1443
2000,З07,1257
1992,Зеро два,1329
1992,W11,1343
1985,Да,1328
2010,W09,1448
1994,Y15,1402
2012,No,1124
1995,W08,1278
2013,Y15,1107
2001,X15,1214
2002,W07,1301
1988,Зи-тридцать один,1283
2012,X15,1178
2013,У06,1139
2003,В15,1190
1996,X03,1437
1995,X10,1396
2014,Z01,1112
2010,W07,1155
2014,0x09,1338
1987,W07,1452
1996,"Не понимаю запроса. Пожалуйста, уточните, что именно вы хотите перевести?",1269
1986,Зи-Двенадцать,1337
1985,R0x13,1361
2010,0x09,1257
1995,16 лет,1159
1998,Y04,1279
1988,W09,1261
1998,X03,1428
2007,X05,1397
1985,З-5,1268
2005,W13,1418
2005,10,1234
1991,W05,1280
2008,Y04,1338
2012,X14,1125
2001,X06,1458
1992,"X16 — это шестнадцатеричный код, используемый для представления данных или цветов в компьютерной индустрии. Он состоит из 4 цифр от 0 до F (шестнадцатеричные символы: 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, A, B, C, D, E, F).",1352
2002,X07,1448
2013,W07,1228
2014,З03,1166
2011,X08,1276
1992,X07,1261
1989,Y14,1166
2006,X03,1211
2014,X08,1160
2014,З06,1124
1998,В10,1328
1988,Z01,1112
2002,[09],1150
1997,202,1417
2012,Зи-тридцать один,1172
1989,X05,1272
2003,У06,1329
1994,"""Х-12""",1158
1994,Т2Х,1181
1997,X08,1345
2001,Y11,1462
1993,З04,1210
1996,З03,1112
2006,W08,1203
1999,Ярко-красный,1293
1997,W04,1437
1994,Z14,1129
2004,W12,1293
2001,Т2Х,1235
2014,X10,1390
2002,X14,1270
1992,Т2Х,1231
2004,202,1329
1985,Z14,1325
1996,W13,1284
1992,Зи-Двенадцать,1390
2011,З06,1207
1989,У06,1243
2002,X03,1280
1993,Y11,1408
1991,З-09,1435
2008,З15,1125
1991,X06,1338
2010,"Ответ: Y07 означает ""да"" на русском языке.",1329
2004,Да,1386
2005,I12,1330
2001,10,1139
2008,X15,1420
1995,Y15,1411
2005,У06,1403
1987,W08,1298
2007,Зи-тридцать один,1221
1990,Z16,1114
1995,З15,1293
2002,З08,1417
1993,W13,1221
1991,5,1400
1999,X01,1277
2014,З15,1110
1989,В16,1343
2009,Зи-Двенадцать,1320
1993,Т2Х,1242
1996,X14,1339
1986,В16,1290
1996,З10,1365
2002,Я8,1323
2009,Ярко-красный,1156
1998,R0x13,1429
2011,Я8,1139
1996,Я8,1181
1986,Да,1246
1991,10,1190
2011,Зеро два,1323
2005,W05,1210
1995,З10,1196
1996,I12,1433
1991,Z01,1424
2006,Зи-Двенадцать,1429
2014,X03,1393
1990,"Ответ: Y07 означает ""да"" на русском языке.",1438
2011,W02,1314
2011,Y15,1364
2001,З04,1328
2011,Y11,1211
2000,X05,1163
2004,W08,1371
1994,202,1269
2010,З15,1317
2010,5,1277
2011,5,1243
2010,Зеро два,1243
2004,W07,1462
1987,0x09,1326
1997,X05,1268
2010,R0x13,1373
2000,X10,1424
1986,X06,1301
2006,16-й,1214
2005,W07,1452
1997,0x09,1348
2004,2024,1458
2001,У06,1425
1999,[09],1329
1994,W08,1450
1997,X06,1228
1995,"Не понимаю запроса. Пожалуйста, уточните, что именно вы хотите перевести?",1448
2005,W11,1417
2007,X03,1401
1993,Y04,1234
1992,W02,1246
1997,З03,1448
1997,I12,1131
1991,0x09,1353
2001,З03,1196
2002,W13,1434
2002,I12,1428
1986,202,1210
2001,ЗИЛ-11,1396
2007,Z14,1460
2005,W04,1257
2011,З07,1401
2005,Да,1181
1993,10,1272
1988,W03,1393
1989,З15,1380
1992,З06,1276
1993,W04,1116
1985,5,1256
1994,X06,1266
1986,З06,1412
1996,Y15,1422
2009,W07,1400
2004,Y14,1416
1987,X08,1246
2014,W08,1272
2006,В15,1335
2014,W05,1153
1988,В10,1323
1996,Ярко-красный,1343
2001,В10,1166
2007,[09],1345
2010,"Не понимаю запроса. Пожалуйста, уточните, что именно вы хотите перевести?",1246
2007,X08,1140
2001,X11,1209
2008,5,1277
1990,W05,1155
2001,X05,1153
1987,З03,1338
2010,Зи-тридцать один,1293
2012,W03,1199
2008,Да,1435
1985,W07,1393
2012,"Ответ: Y07 означает ""да"" на русском языке.",1323
1994,W07,1412
1987,З06,1328
1989,Зи-тридцать один,1292
2000,5,1246
2004,10,1376
2005,Я8,1390
2008,ЗИЛ-11,1124
2013,X14,1322
2013,"Я не понимаю ваш запрос. Пожалуйста, уточните, что именно вы хотите перевести?",1388
1987,5,1181
2007,З06,1181
2013,З03,1307
2000,"""Х-12""",1429
2010,W12,1165
1998,W07,1231
2007,Z01,1242
2007,202,1458
2009,W11,1433
2000,W11,1337
1985,"X16 — это шестнадцатеричный код, используемый для представления данных или цветов в компьютерной индустрии. Он состоит из 4 цифр от 0 до F (шестнадцатеричные символы: 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, A, B, C, D, E, F).",1380
1998,X10,1452
2008,Ярко-красный,1331
2011,З-5,1435
1989,"Не понимаю запроса. Пожалуйста, уточните, что именно вы хотите перевести?",1207
2013,З15,1233
2000,З-5,1400
1991,Да,1104
1989,В10,1397
1998,Зеро два,1246
2000,Я8,1428
1999,Y15,1434
2012,Z01,1277
2005,X05,1104
2014,X16b,1291
2013,"""Х-12""",1103
1999,З15,1108
2000,W04,1228
1989,"""Х-12""",1177
2012,Y11,1160
1993,[09],1338
2006,W03,1234
1993,З06,1228
2012,X08,1166
1987,W04,1395
1999,2024,1231
2005,З07,1150
1993,Зи-Двенадцать,1203
2003,X01,1400
1990,З06,1308
1988,X08,1124
1988,У06,1281
1992,[09],1431
2002,10,1245
1994,З15,1259
2007,З-09,1437
1989,X03,1371
1990,Ярко-красный,1190
1996,X07,1276
2003,X16a,1411
2013,З07,1323
2010,Да,1345
1999,X08,1437
2001,Z01,1277
1987,X11,1412
1994,З04,1393
2006,W09,1423
1985,Y04,1326
1994,X11,1418
2001,"Не понимаю запроса. Пожалуйста, уточните, что именно вы хотите перевести?",1181
1993,В10,1304
2008,W16а,1164
2005,2024,1428
2006,З15,1457
1999,"X16 — это шестнадцатеричный код, используемый для представления данных или цветов в компьютерной индустрии. Он состоит из 4 цифр от 0 до F (шестнадцатеричные символы: 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, A, B, C, D, E, F).",1291
2005,Зи-тридцать один,1325
1999,W05,1458
1992,5,1277
2000,У06,1231
2004,X08,1104
2002,R0x13,1361
1999,З10,1211
2010,З03,1338
1988,X07,1435
2003,З03,1181
1999,16 лет,1457
2010,X07,1350
1988,З-09,1431
2008,X10,1172
1994,Y11,1443
2008,W11,1386
1994,X14,1398
1988,Да,1243
1999,В15,1248
2009,W13,1340
2009,"Не понимаю запроса. Пожалуйста, уточните, что именно вы хотите перевести?",1338
1991,З10,1140
1995,З06,1207
1999,W13,1174
1998,Z16,1347
2005,X07,1356
1987,X03,1228
2006,X11,1361
1987,I12,1401
1997,Z01,1246
