season,dayzero,regionw,regionx,regiony,regionz
1985,1984-10-29 00:00:00,Восток,Запад,Средний Запад,Юго-Восточный
1986,1985-10-28 00:00:00,Восток,Средний Запад,Юго-Восточный,Запад
1987,1986-10-27 00:00:00,Восток,Юго-Восточный,Средний Запад,Запад
1988,1987-11-02 00:00:00,Восток,Средний Запад,Юго-Восточный,Запад
1989,1988-10-31 00:00:00,Восток,Запад,Средний Запад,Юго-Восточный
1990,1989-10-30 00:00:00,Восток,Средний Запад,Юго-Восточный,Запад
1991,1990-10-29 00:00:00,Восток,Юго-Восточный,Средний Запад,Запад
1992,1991-11-04,Восток,Запад,Средний Запад,Юго-Восточный
1993,1992-11-02 00:00:00,Восток,Средний Запад,Юго-Восточный,Запад
1994,1993-11-01 00:00:00,Восток,Юго-Восточный,Средний Запад,Запад
1995,1994-10-31 00:00:00,Восток,Запад,Средний Запад,Юго-Восточный
1996,1995-10-30 00:00:00,Восток,Средний Запад,Юго-Восточный,Запад
1997,1996-10-28 00:00:00,Восток,Юго-Восточный,Средний Запад,Запад
1998,1997-10-27 00:00:00,Восток,Запад,Средний Запад,Юг
1999,1998-10-26 00:00:00,Восток,Средний Запад,Юг,Запад
2000,1999-11-01 00:00:00,Восток,Юг,Средний Запад,Запад
2001,30.10.2000 г. 00:00,Восток,Запад,Средний Запад,Юг
2002,29.10.2001 г. 00:00,Восток,Средний Запад,Юг,Запад
2003,2002-11-04 00:00:00,Восток,Юг,Средний Запад,Запад
2004,2003-11-03 00:00:00,Атланта,Финикс,Восточный Рутерфорд,Сент-Луис
2005,2004-11-01 00:00:00,Альбукерке,Чикаго,Остин,Сиракузы
2006,2005-10-31 00:00:00,Атланта,Окленд,Миннеаполис,"Вашингтон, округ Колумбия"
2007,2006-10-30 00:00:00,Восток,Юг,Средний Запад,Запад
2008,2007-11-04T16:00:00,Восток,Средний Запад,Юг,Запад
2009,2008-11-04T00:00:00,Восток,Юг,Средний Запад,Запад
2010,2009-11-02 00:00:00,Восток,Юг,Средний Запад,Запад
2011,2010-11-01 00:00:00,Восток,Запад,Юго-Восточный,Юго-Запад
2012,2011-10-31 00:00:00,Восток,Средний Запад,Юг,Запад
2013,2012-11-04T15:00:00,Восток,Юг,Средний Запад,Запад
2014,2013-11-04 00:00:00,Восток,Юг,Средний Запад,Запад
2015,15 ноября 2014 года,Восток,Юг,Средний Запад,Запад
