season,seed,team
2011,W01,1326
2003,Z01,1112
1999,Y02,1268
2004,W06,1314
2008,Z13,1360
1998,X07,1396
1991,X07,1199
1991,X05,1448
1991,Y15,1419
2009,X14,1372
1990,Z04,1257
1996,Z12,1180
2006,X10,1104
1987,W02,1393
1988,Z12,1199
1985,Y16,1299
1986,X11,1234
2013,W11,1137
2001,X10,1207
1995,X12,1365
2001,X04,1231
1988,Z16,1165
2003,X02,1196
2011,X15,1294
2014,X02,1242
1990,W01,1163
2014,W03,1235
2003,Z11,1141
1992,Y11,1337
2007,W14,1331
2008,W05,1323
2000,W13,1335
1988,X13,1247
2008,Y15,1122
2012,X07,1388
1988,W12,1235
1987,Y14,1256
1988,W05,1210
2006,Y13,1334
1994,Z07,1438
1999,Z01,1163
1988,Z14,1129
1991,X13,1293
2014,Y12a,1301
1996,W06,1314
1995,X15,1151
1985,Y07,1412
2004,X03,1301
1998,Z10,1387
2009,Y16a,1106
1992,Z13,1275
1989,X15,1206
2010,Y02,1326
2002,Z03,1112
2008,X02,1207
1995,X06,1332
2004,Y04,1448
2003,Z06,1166
2000,W08,1242
1990,Z03,1276
2005,Y11,1431
1986,W11,1350
2011,Y16a,1114
2004,Z01,1246
2002,Y16,1457
2002,W04,1246
1992,W15,1330
1999,X06,1242
2009,Y05,1428
1989,Y04,1257
1990,Y10,1323
1993,W14,1335
2001,Z12,1211
2011,Z14,1389
2001,Y13,1169
2002,W02,1163
1987,W12,1292
1997,Y08,1279
1987,X04,1155
1996,Y16,1159
1993,Z03,1435
2010,X16a,1115
2013,Z05,1458
1992,Y15,1419
1985,Y03,1181
2008,W16b,1291
1994,W13,1180
1999,Y10,1166
1991,Z04,1428
2002,W10,1277
1989,X04,1424
1994,X07,1277
2000,X06,1274
1996,Z06,1234
2013,Z09,1455
2012,W06,1153
1987,Y10,1261
2008,W09,1116
1994,X03,1246
1988,Y14,1427
1993,Y07,1443
2000,Z07,1257
1992,Z02,1329
1992,W11,1343
1985,Y01,1328
2010,W09,1448
1994,Y15,1402
2012,Y03,1124
1995,W08,1278
2013,Y15,1107
2001,X15,1214
