id,season,team_id1,team_id2,pred,team_id1_wins,team_id2_wins
2012_1231_1246,2012,1231,1246,0.5,0,1
2012_1242_1246,2012,1242,1246,0.5,0,1
2012_1242_1326,2012,1242,1326,0.5,1,0
2012_1246_1257,2012,1246,1257,0.5,1,0
2011_1242_1433,2011,1242,1433,0.5,0,1
2013_1211_1455,2013,1211,1455,0.5,0,1
2012_1242_1314,2012,1242,1314,0.5,1,0
2014_1246_1455,2014,1246,1455,0.5,1,0
2013_1338_1455,2013,1338,1455,0.5,0,1
2012_1211_1452,2012,1211,1452,0.5,1,0
2013_1266_1393,2013,1266,1393,0.5,0,1
2014_1308_1361,2014,1308,1361,0.5,0,1
2011_1361_1396,2011,1361,1396,0.5,1,0
2011_1140_1196,2011,1140,1196,0.5,0,1
2011_1324_1400,2011,1324,1400,0.5,0,1
2013_1257_1276,2013,1257,1276,0.5,1,0
2013_1143_1393,2013,1143,1393,0.5,0,1
2011_1139_1330,2011,1139,1330,0.5,1,0
2012_1281_1313,2012,1281,1313,0.5,0,1
2012_1161_1293,2012,1161,1293,0.5,0,1
2012_1257_1277,2012,1257,1277,0.5,1,0
2012_1140_1266,2012,1140,1266,0.5,0,1
2011_1211_1385,2011,1211,1385,0.5,1,0
2014_1157_1438,2014,1157,1438,0.5,0,1
2012_1301_1361,2012,1301,1361,0.5,1,0
2011_1103_1323,2011,1103,1323,0.5,0,1
2011_1139_1338,2011,1139,1338,0.5,1,0
2012_1246_1443,2012,1246,1443,0.5,1,0
2014_1235_1300,2014,1235,1300,0.5,1,0
2011_1163_1361,2011,1163,1361,0.5,1,0
2013_1301_1396,2013,1301,1396,0.5,0,1
2014_1173_1393,2014,1173,1393,0.5,1,0
2013_1160_1228,2013,1160,1228,0.5,0,1
2012_1172_1257,2012,1172,1257,0.5,0,1
2014_1246_1458,2014,1246,1458,0.5,1,0
2014_1211_1329,2014,1211,1329,0.5,1,0
2014_1112_1361,2014,1112,1361,0.5,1,0
2014_1140_1332,2014,1140,1332,0.5,0,1
2012_1143_1378,2012,1143,1378,0.5,0,1
2014_1163_1246,2014,1163,1246,0.5,1,0
2014_1196_1417,2014,1196,1417,0.5,1,0
2013_1153_1166,2013,1153,1166,0.5,0,1
2013_1247_1279,2013,1247,1279,0.5,1,0
2014_1142_1411,2014,1142,1411,0.5,1,0
2011_1196_1417,2011,1196,1417,0.5,1,0
2011_1243_1458,2011,1243,1458,0.5,0,1
2011_1139_1196,2011,1139,1196,0.5,1,0
2012_1196_1266,2012,1196,1266,0.5,1,0
2012_1433_1455,2012,1433,1455,0.5,1,0
2012_1163_1235,2012,1163,1235,0.5,0,1
2011_1155_1452,2011,1155,1452,0.5,0,1
2012_1166_1314,2012,1166,1314,0.5,0,1
2011_1345_1433,2011,1345,1433,0.5,0,1
2012_1249_1436,2012,1249,1436,0.5,0,1
2012_1243_1393,2012,1243,1393,0.5,0,1
2014_1409_1417,2014,1409,1417,0.5,0,1
2011_1106_1427,2011,1106,1427,0.5,0,1
2011_1139_1163,2011,1139,1163,0.5,0,1
2013_1166_1181,2013,1166,1181,0.5,0,1
2013_1112_1326,2013,1112,1326,0.5,0,1
2012_1259_1326,2012,1259,1326,0.5,0,1
2014_1301_1462,2014,1301,1462,0.5,1,0
2011_1199_1323,2011,1199,1323,0.5,1,0
2014_1243_1246,2014,1243,1246,0.5,0,1
2013_1274_1334,2013,1274,1334,0.5,1,0
2014_1163_1437,2014,1163,1437,0.5,1,0
2013_1137_1139,2013,1137,1139,0.5,0,1
2011_1336_1396,2011,1336,1396,0.5,0,1
2011_1277_1417,2011,1277,1417,0.5,0,1
2013_1195_1196,2013,1195,1196,0.5,0,1
2014_1217_1277,2014,1217,1277,0.5,0,1
2014_1307_1390,2014,1307,1390,0.5,0,1
2014_1163_1277,2014,1163,1277,0.5,1,0
2011_1276_1397,2011,1276,1397,0.5,1,0
2012_1196_1257,2012,1196,1257,0.5,0,1
2011_1257_1287,2011,1257,1287,0.5,0,1
2011_1181_1276,2011,1181,1276,0.5,1,0
2011_1246_1343,2011,1246,1343,0.5,1,0
2013_1195_1361,2013,1195,1361,0.5,1,0
2013_1228_1274,2013,1228,1274,0.5,0,1
2013_1107_1181,2013,1107,1181,0.5,0,1
2012_1125_1207,2012,1125,1207,0.5,0,1
2014_1173_1390,2014,1173,1390,0.5,1,0
2013_1143_1424,2013,1143,1424,0.5,1,0
2014_1235_1314,2014,1235,1314,0.5,1,0
2011_1254_1314,2011,1254,1314,0.5,0,1
2013_1242_1443,2013,1242,1443,0.5,1,0
2013_1292_1388,2013,1292,1388,0.5,0,1
2014_1257_1264,2014,1257,1264,0.5,1,0
2012_1160_1424,2012,1160,1424,0.5,1,0
2011_1266_1314,2011,1266,1314,0.5,0,1
2014_1163_1196,2014,1163,1196,0.5,1,0
2012_1242_1301,2012,1242,1301,0.5,1,0
2012_1272_1387,2012,1272,1387,0.5,0,1
