targetid,raceid,driverid,win
7,18,7,0
1218,72,8,0
3227,165,63,0
4306,192,25,0
5158,230,56,0
7031,297,129,0
7143,301,104,0
7232,304,55,0
9374,275,117,0
9719,288,112,0
10220,242,77,0
10601,255,64,0
10711,210,30,0
10803,214,44,0
11058,175,23,0
11457,145,2,0
11467,145,23,0
11545,149,14,0
11755,157,60,0
11922,132,66,0
11974,134,59,0
12306,118,17,0
12800,107,2,0
13155,68,32,0
13752,42,19,0
13812,45,3,0
13855,47,2,0
15886,322,55,0
16038,326,102,0
16329,333,148,0
17193,308,110,0
18173,356,119,0
18444,363,102,0
18543,365,77,0
18990,372,159,0
19841,400,84,0
19933,403,122,0
20130,410,172,0
20270,414,179,0
20273,414,180,0
20316,416,105,0
20430,419,112,0
21348,446,102,0
21472,449,160,0
21604,453,197,0
21733,457,168,0
22011,465,163,0
22199,471,117,0
22310,474,105,0
22848,486,173,0
23296,497,119,0
43841,829,658,0
43977,831,627,0
43978,831,741,0
44018,831,657,0
44162,818,669,0
44440,822,724,0
44580,823,739,0
44591,823,744,0
44604,823,712,0
46449,798,578,0
46480,798,449,0
46706,788,592,0
46728,788,526,0
47021,777,483,0
48235,743,404,0
48424,730,427,0
48471,732,373,0
48493,732,460,0
48778,692,385,0
49086,768,533,0
49321,771,510,0
49365,772,589,0
50825,713,364,0
51025,718,382,0
51228,704,368,0
51357,707,341,0
51836,804,683,0
51981,806,521,0
52661,684,389,0
52733,686,262,0
52809,688,387,0
53009,662,362,0
53281,636,349,0
53296,637,341,0
53422,640,298,0
53494,642,333,0
53650,671,364,0
53869,677,293,0
53938,620,238,0
54446,647,345,0
54886,609,329,0
55056,614,307,0
55126,616,235,0
55139,616,305,0
55293,590,199,0
55627,599,187,0
55734,601,289,0
56369,587,275,0
56390,587,303,0
56459,589,283,0
56782,568,172,0
56908,571,224,0
57042,574,233,0
57225,529,119,0
57268,531,175,0
57355,533,232,0
57773,544,251,0
57940,549,178,0
58219,555,232,0
58466,559,152,0
58513,513,136,0
58585,516,200,0
58876,525,232,0
58877,525,119,0
59009,500,209,0
59274,508,230,0
59344,510,226,0
62048,758,549,0
62294,761,536,0
63707,728,420,0
63742,337,30,0
63753,337,15,0
63767,338,18,1
63983,346,18,0
64414,843,13,0
64503,846,39,0
64633,851,812,0
65686,886,823,0
65983,272,79,0
66542,271,87,0
66763,906,1,0
66802,908,824,0
66838,910,807,0
67009,917,828,0
67175,932,830,0
67860,960,831,0
68125,967,8,0
68454,982,817,0
