raceid,driverid,stop,lap,time,duration,milliseconds
909,16,2,32,14:49:41,19.638,19638
965,154,1,10,14:21:30,24.523,24523
862,17,2,21,15:40:30,20.377,20377
902,4,1,12,18:24:52,25.770,25770
899,815,1,19,14:28:47,22.591,22591
887,821,1,10,13:20:28,25.330,25330
841,153,2,17,17:31:06,24.463,24463
964,836,2,32,14:58:22,25.461,25461
844,2,2,22,15:38:25,21.919,21919
913,826,2,23,20:49:04,30.188,30188
909,825,2,29,14:45:25,19.135,19135
964,826,1,10,14:20:38,22.990,22990
957,837,2,17,13:38:55,30.135,30135
937,828,1,9,14:24:54,24.183,24183
938,20,1,25,14:40:24,24.340,24340
892,8,2,30,14:48:51,24.764,24764
914,3,1,2,15:06:10,18:56.516,1136516
887,16,1,12,13:23:29,24.807,24807
952,837,2,48,15:20:28,26.186,26186
909,825,1,1,14:05:24,25.859,25859
961,830,1,13,14:22:46,24.610,24610
939,828,1,10,20:22:52,29.589,29589
968,8,2,25,17:48:31,22.087,22087
937,830,1,9,14:24:48,24.564,24564
894,16,1,3,15:09:31,29.829,29829
858,13,1,15,17:30:30,20.471,20471
844,13,1,9,15:17:37,22.022,22022
940,830,2,30,14:54:54,23.977,23977
850,812,1,10,14:21:22,31.879,31879
856,10,2,41,16:19:51,22.481,22481
850,20,3,59,15:39:44,20.110,20110
909,824,2,45,15:08:29,20.575,20575
869,818,2,27,14:40:49,18.425,18425
960,154,2,9,14:24:42,16:39.366,999366
966,817,2,50,14:14:47,22.443,22443
909,18,3,61,15:29:41,19.221,19221
974,832,1,37,14:50:54,24.427,24427
916,825,2,27,14:54:14,24.497,24497
971,836,1,11,18:21:59,26.542,26542
876,39,1,26,15:45:08,24.544,24544
862,1,1,10,15:21:13,20.903,20903
892,18,1,21,14:35:17,24.450,24450
891,818,2,24,14:51:01,24.539,24539
894,815,2,31,16:00:22,38.893,38893
976,8,2,17,17:39:22,15.049,15049
973,839,2,34,14:53:58,22.643,22643
927,3,3,41,16:18:40,24.336,24336
907,8,2,44,14:58:20,21.618,21618
847,4,1,17,13:31:21,23.893,23893
848,67,2,26,14:50:28,20.460,20460
844,816,2,33,15:57:20,24.837,24837
904,3,2,45,15:12:42,22.309,22309
888,824,1,5,14:12:18,20.840,20840
884,13,3,36,14:58:25,19.326,19326
931,828,1,14,14:22:25,25.618,25618
970,832,4,28,14:56:06,22.840,22840
896,8,2,58,16:32:33,24.141,24141
884,1,3,36,14:59:15,19.700,19700
961,815,1,15,14:25:39,24.537,24537
917,818,3,46,15:03:02,24.002,24002
846,16,1,34,14:49:51,25.037,25037
913,824,1,15,20:33:44,30.413,30413
926,831,1,25,16:45:12,22.933,22933
911,825,1,11,14:25:37,23.115,23115
911,18,1,13,14:29:34,22.800,22800
884,815,4,50,15:20:19,19.993,19993
854,817,3,27,21:01:25,33.058,33058
883,16,1,1,15:06:49,26.495,26495
857,18,1,18,15:31:05,21.092,21092
850,812,3,51,15:32:52,22.458,22458
970,841,1,2,14:08:01,29.443,29443
955,835,1,11,17:24:54,20.965,20965
911,4,1,12,14:27:29,28.920,28920
961,1,1,25,14:40:05,23.633,23633
850,67,2,36,15:04:03,20.954,20954
958,826,1,24,14:39:02,22.105,22105
967,13,2,20,14:48:08,33:29.630,2009630
976,822,3,17,17:39:52,14.978,14978
934,13,2,44,14:19:54,31.948,31948
844,815,2,16,15:29:30,22.895,22895
861,3,4,39,18:19:47,23.231,23231
909,18,2,31,14:47:51,18.916,18916
974,839,1,36,14:50:06,24.299,24299
861,17,2,14,17:28:36,26.337,26337
982,836,3,3,20:13:22,27.865,27865
856,24,1,1,15:05:51,26.379,26379
958,807,1,14,14:24:03,22.014,22014
859,811,1,12,14:19:18,21.900,21900
970,815,6,49,15:31:25,22.979,22979
956,828,4,50,15:07:01,24.326,24326
896,815,2,33,15:54:42,24.910,24910
928,822,2,35,15:05:28,23.582,23582
848,2,3,40,15:15:10,21.472,21472
897,4,1,16,17:32:49,21.530,21530
901,154,3,40,17:17:34,25.735,25735
861,3,2,13,17:26:30,25.199,25199
981,8,1,15,14:25:17,25.367,25367
912,155,1,22,14:37:42,25.277,25277
872,819,2,35,14:57:49,22.046,22046
900,817,2,36,18:08:06,22.427,22427
861,4,2,14,17:28:34,22.864,22864
894,821,2,31,16:00:19,23.408,23408
878,8,1,24,13:45:33,24.840,24840
909,828,2,18,14:30:40,19.890,19890
854,4,1,10,20:23:15,30.621,30621
860,811,3,47,18:22:20,30.888,30888
846,5,2,52,15:17:38,25.878,25878
928,4,2,35,15:06:28,23.345,23345
864,20,3,30,14:49:35,13.335,13335
859,816,1,20,14:30:42,21.859,21859
887,821,2,27,13:53:31,26.040,26040
854,3,1,9,20:21:25,29.549,29549
942,817,1,19,14:41:45,24.449,24449
882,20,2,31,15:58:05,20.084,20084
