constructorresultsid,raceid,constructorid,points,status
42,21,8,0.0,
67,24,7,8.0,
285,45,6,8.0,
381,53,13,0.0,
471,62,6,18.0,
648,79,6,18.0,
653,79,16,0.0,
754,89,16,1.0,
923,106,15,1.0,
964,110,19,0.0,
1069,121,3,12.0,
1119,125,1,0.0,
1310,143,3,0.0,
1564,166,18,0.0,
1755,184,3,3.0,
1862,193,21,0.0,
1973,204,6,16.0,
2090,214,20,0.0,
2155,220,15,0.0,
2213,225,17,0.0,
2275,231,15,0.0,
2299,233,29,0.0,
2589,258,17,4.0,
2685,265,6,10.0,
2785,272,1,4.0,
2799,273,27,4.0,
2969,286,15,2.0,
3108,295,17,0.0,
3111,295,34,0.0,
3253,305,34,0.0,
3261,305,36,0.0,
3336,310,17,3.0,
3342,310,25,0.0,
3355,311,17,1.0,
3369,311,42,0.0,
3463,317,18,3.0,
3468,317,34,0.0,
3481,318,22,1.0,
3612,325,41,0.0,
3690,329,46,0.0,
3802,335,34,0.0,
3893,8,9,18.0,
3938,12,23,2.0,
3978,16,5,2.0,
4120,362,45,0.0,
4167,365,32,1.0,
4282,370,39,0.0,
4394,377,22,4.0,
4456,380,35,0.0,
4524,384,35,0.0,
4790,401,25,0.0,
4794,401,27,0.0,
4957,413,25,0.0,
5035,419,34,0.0,
5101,424,4,0.0,
5178,429,27,0.0,
5230,433,3,13.0,
5243,433,26,0.0,
5297,437,54,0.0,
5350,441,32,1.0,
5398,444,21,0.0,
5522,452,45,0.0,
5531,453,4,0.0,
5536,453,54,0.0,
5584,457,6,6.0,
5610,458,54,0.0,
5837,473,56,0.0,
5924,478,34,0.0,
5976,481,53,0.0,
6022,484,51,0.0,
6110,489,54,0.0,
6204,495,53,0.0,
6300,501,57,0.0,
6309,502,4,3.0,
6348,504,51,0.0,
6379,506,56,0.0,
9643,771,32,0.0,
9650,772,66,0.0,
10938,703,183,1.0,
10960,706,183,4.0,
11151,698,189,2.0,
11171,680,172,0.0,
11274,668,195,4.0,
11806,652,63,0.0,
11855,633,34,0.0,
12259,612,32,9.0,
12461,598,64,0.0,
12597,578,3,0.0,
12997,566,32,0.0,
13124,575,63,3.0,
13134,575,204,0.0,
13186,546,58,0.0,
13246,550,63,0.0,
13449,530,54,0.0,
13567,537,25,2.0,
13680,513,25,3.0,
13866,525,25,2.0,
13991,344,3,0.0,
14018,346,166,0.0,
14097,353,3,7.0,
14365,860,206,0.0,
14422,865,15,0.0,
14463,869,6,25.0,
14677,887,10,8.0,
14735,893,3,0.0,
14998,917,1,14.0,
15113,936,10,0.0,
15312,957,3,0.0,
15347,960,5,0.0,
15373,963,9,43.0,
