resultid,raceid,driverid,constructorid,number,grid,position,positiontext,positionorder,points,laps,time,milliseconds,fastestlap,rank,fastestlaptime,fastestlapspeed,statusid
1,18,1,1,22,1,1.0,1,1,10.0,58,1:34:50.616,5690616.0,39.0,2.0,1:27.452,218.3,1
2,18,2,2,3,5,2.0,2,2,8.0,58,+5.478,5696094.0,41.0,3.0,1:27.739,217.586,1
3,18,3,3,7,7,3.0,3,3,6.0,58,+8.163,5698779.0,41.0,5.0,1:28.090,216.719,1
4,18,4,4,5,11,4.0,4,4,5.0,58,+17.181,5707797.0,58.0,7.0,1:28.603,215.464,1
5,18,5,1,23,3,5.0,5,5,4.0,58,+18.014,5708630.0,43.0,1.0,1:27.418,218.385,1
6,18,6,3,8,13,6.0,6,6,3.0,57,,,50.0,14.0,1:29.639,212.974,11
7,18,7,5,14,17,7.0,7,7,2.0,55,,,22.0,12.0,1:29.534,213.224,5
8,18,8,6,1,15,8.0,8,8,1.0,53,,,20.0,4.0,1:27.903,217.18,5
9,18,9,2,4,2,,R,9,0.0,47,,,15.0,9.0,1:28.753,215.1,4
10,18,10,7,12,18,,R,10,0.0,43,,,23.0,13.0,1:29.558,213.166,3
11,18,11,8,18,19,,R,11,0.0,32,,,24.0,15.0,1:30.892,210.038,7
12,18,12,4,6,20,,R,12,0.0,30,,,20.0,16.0,1:31.384,208.907,8
13,18,13,6,2,4,,R,13,0.0,29,,,23.0,6.0,1:28.175,216.51,5
14,18,14,9,9,8,,R,14,0.0,25,,,21.0,11.0,1:29.502,213.3,4
15,18,15,7,11,6,,R,15,0.0,19,,,18.0,10.0,1:29.310,213.758,10
16,18,16,10,20,22,,R,16,0.0,8,,,8.0,17.0,1:32.021,207.461,9
17,18,17,9,10,14,,R,17,0.0,0,,,,,,,4
18,18,18,11,16,12,,R,18,0.0,0,,,,,,,4
19,18,19,8,19,21,,R,19,0.0,0,,,,,,,4
20,18,20,5,15,9,,R,20,0.0,0,,,,,,,4
21,18,21,10,21,16,,R,21,0.0,0,,,,,,,4
369,36,8,6,6,1,1.0,1,1,10.0,58,1:25:28.770,5128770.0,41.0,1.0,1:25.235,223.978,1
787,55,4,4,1,3,1.0,1,1,10.0,57,1:34:27.870,5667870.0,49.0,2.0,1:26.189,221.499,1
1139,71,21,4,6,1,1.0,1,1,10.0,57,1:24:17.336,5057336.0,55.0,2.0,1:25.994,222.001,1
1515,90,30,6,1,1,1.0,1,1,10.0,58,1:24:15.757,5055757.0,29.0,1.0,1:24.125,226.933,1
1875,108,14,1,5,11,1.0,1,1,10.0,58,1:34:42.1,5682100.0,,,,,1
2195,124,30,6,1,2,1.0,1,1,10.0,58,1:35:36.792,5736792.0,,,,,1
2557,141,30,6,1,1,1.0,1,1,10.0,58,1:38:26.533,5906533.0,,,,,1
2931,158,30,6,3,3,1.0,1,1,10.0,58,1:34:01.987,5641987.0,,,,,1
7554,1,18,23,22,1,1.0,1,1,10.0,58,1:34:15.784,5655784.0,17.0,3.0,1:28.020,216.891,1
20347,338,18,1,1,4,1.0,1,1,25.0,58,1:33:36.531,5616531.0,52.0,6.0,1:29.291,213.804,1
20779,841,20,9,1,1,1.0,1,1,25.0,58,1:29:30.259,5370259.0,44.0,4.0,1:29.844,212.488,1
21232,860,18,1,3,2,1.0,1,1,25.0,58,1:34:09.565,5649565.0,56.0,1.0,1:29.187,214.053,1
21712,880,8,208,7,7,1.0,1,1,25.0,58,1:30:03.225,5403225.0,56.0,1.0,1:29.274,213.845,1
22130,900,3,131,6,3,1.0,1,1,25.0,57,1:32:58.710,5578710.0,19.0,1.0,1:32.478,206.436,1
22538,926,1,131,44,1,1.0,1,1,25.0,58,1:31:54.067,5514067.0,50.0,1.0,1:30.945,209.915,1
22917,948,3,131,6,2,1.0,1,1,25.0,57,1:48:15.565,6495565.0,21.0,3.0,1:30.557,210.815,1
23379,969,20,6,5,2,1.0,1,1,25.0,57,1:24:11.672,5051672.0,53.0,3.0,1:26.638,220.351,1
