raceid,driverid,lap,position,time,milliseconds
346,4,24,5,1:36.090,96090
968,825,4,22,1:48.601,108601
894,20,44,1,1:41.671,101671
963,4,47,7,1:38.765,98765
914,818,21,20,1:53.622,113622
82,21,16,7,1:16.928,76928
884,817,55,10,1:28.083,88083
132,23,10,3,1:35.733,95733
56,23,62,9,1:27.984,87984
20,11,14,16,1:37.584,97584
230,84,15,9,1:50.069,110069
34,16,12,18,1:39.802,99802
56,14,6,13,1:28.388,88388
214,23,5,5,1:20.360,80360
220,23,48,8,1:13.629,73629
201,23,33,6,1:46.822,106822
197,14,1,1,1:27.511,87511
135,23,11,2,1:18.057,78057
18,13,27,10,1:43.867,103867
938,832,5,10,1:30.942,90942
108,42,8,15,2:05.896,125896
907,821,28,20,1:15.677,75677
179,14,23,2,1:28.140,88140
897,819,28,19,1:50.102,110102
979,822,3,3,2:12.338,132338
211,22,28,2,1:56.315,116315
951,18,39,11,1:42.816,102816
10,12,28,11,1:25.569,85569
866,17,66,7,1:17.552,77552
131,18,59,10,1:18.019,78019
30,1,25,2,1:52.507,112507
855,17,23,4,1:38.675,98675
885,813,2,21,1:23.936,83936
981,807,32,12,1:27.711,87711
40,16,26,17,1:18.787,78787
954,1,27,2,1:17.913,77913
100,46,15,19,1:26.728,86728
156,30,54,3,1:16.414,76414
964,821,50,20,1:39.393,99393
342,16,9,10,1:20.951,80951
213,75,25,13,1:23.387,83387
932,815,22,9,1:20.267,80267
192,30,33,4,1:20.816,80816
966,13,31,9,1:24.684,84684
979,822,45,3,1:22.040,82040
172,48,70,12,1:16.216,76216
132,63,46,15,1:35.764,95764
161,64,57,11,1:28.695,88695
157,62,20,20,1:46.826,106826
58,24,41,14,1:18.787,78787
958,807,41,12,1:26.122,86122
902,822,13,12,1:41.039,101039
218,21,39,2,1:54.688,114688
966,4,28,15,1:25.534,85534
141,14,19,4,1:30.877,90877
87,18,49,7,1:14.081,74081
97,2,2,10,1:17.334,77334
84,31,50,2,1:26.563,86563
850,4,48,2,1:35.468,95468
930,822,13,4,1:32.881,92881
200,73,29,13,1:16.413,76413
903,8,32,8,2:02.377,122377
948,831,6,17,1:34.993,94993
351,807,37,9,1:54.285,114285
97,47,44,17,1:17.984,77984
107,32,1,9,1:33.318,93318
881,819,47,16,1:43.214,103214
12,3,33,7,1:52.178,112178
940,817,14,19,1:40.920,100920
179,22,49,8,1:27.928,87928
966,815,46,10,1:24.066,84066
939,1,2,5,1:54.260,114260
850,814,9,17,1:39.524,99524
229,69,9,13,1:55.608,115608
114,22,3,8,2:11.521,131521
868,30,9,3,1:40.181,100181
185,35,44,12,1:22.565,82565
170,30,37,1,1:55.226,115226
844,16,18,13,1:34.409,94409
22,13,26,2,1:27.972,87972
341,20,66,3,1:31.610,91610
954,835,12,16,1:21.119,81119
234,84,44,10,1:50.449,110449
137,11,5,17,1:53.158,113158
909,818,10,11,1:25.459,85459
24,9,3,2,1:18.639,78639
75,23,1,3,1:59.823,119823
111,49,3,16,1:27.510,87510
343,10,50,18,1:36.853,96853
977,8,21,4,1:09.358,69358
909,20,35,6,1:37.015,97015
22,20,27,17,1:29.621,89621
977,839,34,8,1:10.100,70100
891,813,33,16,1:52.985,112985
201,22,11,11,1:48.102,108102
351,811,5,22,2:17.396,137396
88,4,43,6,1:33.398,93398
236,56,28,13,1:58.051,118051
58,3,2,14,1:21.967,81967
842,15,26,17,1:46.017,106017
45,4,57,1,1:45.475,105475
955,20,22,3,1:48.654,108654
70,29,40,16,1:14.952,74952
155,30,35,4,1:26.535,86535
964,8,43,5,1:36.701,96701
209,23,38,5,1:30.363,90363
