playerid,yearid,stint,teamid,lgid,w,l,g,gs,cg,sho,sv,ipouts,h,er,hr,bb,so,baopp,era,ibb,wp,hbp,bk,bfp,gf,r,sh,sf,gidp
westle01,1945,1,SLA,AL,3,4,24,8,1,0,0,223,71,30,2,31,38,0.0,3,,0,0.0,0,324,5,37,,,
macfada01,1931,1,BOS,AL,16,12,35,32,17,2,0,692,263,103,4,79,74,0.0,4,,1,7.0,0,1035,2,121,,,
heimafr01,1931,1,BRO,NL,9,7,31,10,7,1,1,406,145,52,6,23,43,0.0,3,,1,1.0,0,565,15,66,,,
neaglde01,1994,1,PIT,NL,9,10,24,24,2,0,0,411,135,78,18,49,122,0.0,5,3.0,2,3.0,0,587,0,80,,,
bynummi01,2004,1,SDN,NL,0,1,2,0,0,0,0,2,1,4,0,3,0,0.0,54,0.0,0,0.0,0,6,0,4,,,
willist02,1965,1,CLE,AL,0,0,3,0,0,0,0,13,6,3,1,3,1,0.0,6,1.0,0,0.0,0,21,0,4,,,
harpeha01,1913,1,WS1,AL,0,0,4,0,0,0,0,38,10,5,1,5,9,0.0,3,,2,1.0,1,55,3,11,,,
liebhgl01,1907,1,CLE,AL,18,14,38,34,27,4,1,841,254,64,1,85,110,0.0,2,,10,10.0,1,1161,4,100,,,
giggibo01,1960,2,KC1,AL,1,0,10,0,0,0,0,56,24,12,1,15,8,0.0,5,2.0,1,0.0,0,92,2,12,,,
woodpe01,1889,1,PHI,NL,1,1,3,2,2,0,0,57,28,11,0,3,8,0.0,5,,0,0.0,0,70,1,15,,,
dotyba01,1890,1,TL2,AA,1,0,1,1,1,0,0,27,9,1,0,1,4,,1,,0,0.0,0,0,0,1,,,
cormirh01,1999,1,BOS,AL,2,0,60,0,0,0,0,190,61,26,4,18,39,0.0,3,2.0,1,5.0,0,275,7,34,,,
curtive01,1944,1,WS1,AL,0,1,3,1,0,0,0,29,8,3,0,3,2,0.0,2,,0,0.0,0,37,2,3,,,
dunegji01,1970,1,CHN,NL,0,2,7,0,0,0,0,40,13,7,2,12,3,0.0,4,1.0,0,0.0,0,63,2,7,,,
upshace01,1968,1,ATL,NL,8,7,52,0,0,0,13,350,98,32,6,24,74,0.0,2,7.0,2,4.0,0,467,35,41,,,
crawfjo01,1997,1,NYN,NL,4,3,19,2,0,0,0,139,36,17,7,13,25,0.0,3,1.0,0,0.0,1,182,9,18,,,
wyattwh01,1936,1,CHA,AL,0,0,3,0,0,0,1,9,3,0,0,0,0,0.0,0,,0,0.0,0,11,3,0,,,
donnebr01,2010,1,PIT,NL,3,1,38,0,0,0,0,92,26,19,6,25,26,,5,1.0,1,1.0,1,142,14,21,,,
benesan01,1997,1,SLN,NL,10,7,26,26,0,0,0,531,149,61,9,61,175,0.0,3,4.0,7,5.0,0,727,0,64,,,
patteda02,1970,1,DET,AL,7,1,43,0,0,0,2,234,81,42,9,39,55,0.0,4,1.0,6,5.0,1,351,14,47,,,
brabege01,1966,1,BAL,AL,4,3,31,1,0,0,2,213,57,28,4,29,62,0.0,3,0.0,6,1.0,2,287,15,30,,,
atkinal01,1884,1,PH4,AA,11,11,22,22,20,1,0,552,186,86,3,21,93,,4,,0,10.0,0,792,0,130,,,
palmeji01,1976,1,BAL,AL,22,13,40,40,23,6,0,945,255,88,20,84,159,0.0,2,5.0,5,8.0,0,1256,0,101,,,
gardnji01,1897,1,PIT,NL,5,5,14,11,8,0,0,286,115,55,4,32,35,0.0,5,,2,9.0,0,0,3,72,,,
jonessa01,1920,1,BOS,AL,13,16,37,33,21,3,0,822,302,120,9,79,86,0.0,3,,6,4.0,2,1149,4,143,,,
