playerid,yearid,stint,teamid,lgid,g,g_batting,ab,r,h,2b,3b,hr,rbi,sb,cs,bb,so,ibb,hbp,sh,sf,gidp,g_old
baineha01,1980,1,CHA,AL,141,141,491.0,55.0,125.0,23.0,6.0,13.0,49.0,2.0,4.0,19.0,65.0,7.0,1.0,2.0,5.0,15.0,141.0
baineha01,1981,1,CHA,AL,82,82,280.0,42.0,80.0,11.0,7.0,10.0,41.0,6.0,2.0,12.0,41.0,4.0,2.0,0.0,2.0,6.0,82.0
baineha01,1982,1,CHA,AL,161,161,608.0,89.0,165.0,29.0,8.0,25.0,105.0,10.0,3.0,49.0,95.0,10.0,0.0,2.0,9.0,12.0,161.0
baineha01,1983,1,CHA,AL,156,156,596.0,76.0,167.0,33.0,2.0,20.0,99.0,7.0,5.0,49.0,85.0,13.0,1.0,3.0,6.0,15.0,156.0
baineha01,1984,1,CHA,AL,147,147,569.0,72.0,173.0,28.0,10.0,29.0,94.0,1.0,2.0,54.0,75.0,9.0,0.0,1.0,5.0,12.0,147.0
baineha01,1985,1,CHA,AL,160,160,640.0,86.0,198.0,29.0,3.0,22.0,113.0,1.0,1.0,42.0,89.0,8.0,1.0,0.0,10.0,23.0,160.0
baineha01,1986,1,CHA,AL,145,145,570.0,72.0,169.0,29.0,2.0,21.0,88.0,2.0,1.0,38.0,89.0,9.0,2.0,0.0,8.0,14.0,145.0
baineha01,1987,1,CHA,AL,132,132,505.0,59.0,148.0,26.0,4.0,20.0,93.0,0.0,0.0,46.0,82.0,2.0,1.0,0.0,2.0,12.0,132.0
baineha01,1988,1,CHA,AL,158,158,599.0,55.0,166.0,39.0,1.0,13.0,81.0,0.0,0.0,67.0,109.0,14.0,1.0,0.0,7.0,21.0,158.0
baineha01,1989,1,CHA,AL,96,96,333.0,55.0,107.0,20.0,1.0,13.0,56.0,0.0,1.0,60.0,52.0,13.0,1.0,0.0,3.0,11.0,96.0
baineha01,1989,2,TEX,AL,50,50,172.0,18.0,49.0,9.0,0.0,3.0,16.0,0.0,2.0,13.0,27.0,0.0,0.0,0.0,1.0,4.0,50.0
baineha01,1990,1,TEX,AL,103,103,321.0,41.0,93.0,10.0,1.0,13.0,44.0,0.0,1.0,47.0,63.0,9.0,0.0,0.0,3.0,13.0,103.0
baineha01,1990,2,OAK,AL,32,32,94.0,11.0,25.0,5.0,0.0,3.0,21.0,0.0,2.0,20.0,17.0,1.0,0.0,0.0,4.0,4.0,32.0
baineha01,1991,1,OAK,AL,141,141,488.0,76.0,144.0,25.0,1.0,20.0,90.0,0.0,1.0,72.0,67.0,22.0,1.0,0.0,5.0,12.0,141.0
baineha01,1992,1,OAK,AL,140,140,478.0,58.0,121.0,18.0,0.0,16.0,76.0,1.0,3.0,59.0,61.0,6.0,0.0,0.0,6.0,11.0,140.0
baineha01,1993,1,BAL,AL,118,118,416.0,64.0,130.0,22.0,0.0,20.0,78.0,0.0,0.0,57.0,52.0,9.0,0.0,1.0,6.0,14.0,118.0
baineha01,1994,1,BAL,AL,94,94,326.0,44.0,96.0,12.0,1.0,16.0,54.0,0.0,0.0,30.0,49.0,6.0,1.0,0.0,0.0,9.0,94.0
baineha01,1995,1,BAL,AL,127,127,385.0,60.0,115.0,19.0,1.0,24.0,63.0,0.0,2.0,70.0,45.0,13.0,0.0,0.0,4.0,17.0,127.0
baineha01,1996,1,CHA,AL,143,143,495.0,80.0,154.0,29.0,0.0,22.0,95.0,3.0,1.0,73.0,62.0,7.0,1.0,0.0,3.0,20.0,143.0
baineha01,1997,1,CHA,AL,93,93,318.0,40.0,97.0,18.0,0.0,12.0,52.0,0.0,1.0,41.0,47.0,10.0,0.0,0.0,2.0,9.0,93.0
baineha01,1997,2,BAL,AL,44,44,134.0,15.0,39.0,5.0,0.0,4.0,15.0,0.0,0.0,14.0,15.0,1.0,0.0,0.0,1.0,3.0,44.0
baineha01,1998,1,BAL,AL,104,104,293.0,40.0,88.0,17.0,0.0,9.0,57.0,0.0,0.0,32.0,40.0,4.0,1.0,0.0,2.0,17.0,104.0
baineha01,1999,1,BAL,AL,107,107,345.0,57.0,111.0,16.0,1.0,24.0,81.0,1.0,2.0,43.0,38.0,3.0,0.0,0.0,2.0,14.0,107.0
baineha01,1999,2,CLE,AL,28,28,85.0,5.0,23.0,2.0,0.0,1.0,22.0,0.0,0.0,11.0,10.0,0.0,0.0,0.0,0.0,2.0,28.0
baineha01,2000,1,BAL,AL,72,72,222.0,24.0,59.0,8.0,0.0,10.0,30.0,0.0,0.0,29.0,39.0,6.0,0.0,0.0,1.0,6.0,72.0
baineha01,2000,2,CHA,AL,24,24,61.0,2.0,13.0,5.0,0.0,1.0,9.0,0.0,0.0,7.0,11.0,1.0,0.0,0.0,0.0,0.0,24.0
baineha01,2001,1,CHA,AL,32,32,84.0,3.0,11.0,1.0,0.0,0.0,6.0,0.0,0.0,8.0,16.0,0.0,0.0,0.0,2.0,2.0,32.0
fiskca01,1969,1,BOS,AL,2,2,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0
fiskca01,1971,1,BOS,AL,14,14,48.0,7.0,15.0,2.0,1.0,2.0,6.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,1.0,14.0
fiskca01,1972,1,BOS,AL,131,131,457.0,74.0,134.0,28.0,9.0,22.0,61.0,5.0,2.0,52.0,83.0,6.0,4.0,1.0,0.0,11.0,131.0
fiskca01,1973,1,BOS,AL,135,135,508.0,65.0,125.0,21.0,0.0,26.0,71.0,7.0,2.0,37.0,99.0,2.0,10.0,1.0,2.0,11.0,135.0
fiskca01,1974,1,BOS,AL,52,52,187.0,36.0,56.0,12.0,1.0,11.0,26.0,5.0,1.0,24.0,23.0,2.0,2.0,2.0,1.0,5.0,52.0
fiskca01,1975,1,BOS,AL,79,79,263.0,47.0,87.0,14.0,4.0,10.0,52.0,4.0,3.0,27.0,32.0,4.0,2.0,0.0,2.0,7.0,79.0
fiskca01,1976,1,BOS,AL,134,134,487.0,76.0,124.0,17.0,5.0,17.0,58.0,12.0,5.0,56.0,71.0,3.0,6.0,3.0,5.0,11.0,134.0
