lahmanid,playerid,managerid,hofid,birthyear,birthmonth,birthday,birthcountry,birthstate,birthcity,deathyear,deathmonth,deathday,deathcountry,deathstate,deathcity,namefirst,namelast,namenote,namegiven,namenick,weight,height,bats,throws,debut,finalgame,college,lahman40id,lahman45id,retroid,holtzid,bbrefid
488,baineha01,,baineha01h,1959.0,3.0,15.0,США,МД,Восточный,,,,,,,Халляд,Бэйнс,,Гарольд Дуглас,,175.0,74.0,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.","Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",4/10/1980,9/27/2001,,baineha01,baineha01,bainh001,baineha01,baineha01
751,bauerru01,,,1914.0,5.0,10.0,США,ВИ,Таунсенд,1995.0,1.0,21.0,США,ИЛ,Хайнес,Росс,Бауэр,,Рассел Ли,,195.0,75.0,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",r,8/20/1936,5/6/1950,,bauerru01,bauerru01,bauer101,bauerru01,bauerru01
908,beltres01,,,1967.0,12.0,26.0,Д.Р.,,Кюисея,,,,,,,Стефан,Бельтре,,Эстебан (Валера),,155.0,70.0,r,r,9/3/1991,6/5/1996,,beltres01,beltres01,belte001,beltres01,beltres01
943,bensokr01,,,1974.0,11.0,7.0,США,ВИ,Выдающийся,,,,,,,Крис,Бенсон,,,,205.0,76.0,r,r,4/9/1999,,,bensokr01,bensokr01,bensk001,bensokr01,bensokr01
1896,burtoji01,,,1949.0,10.0,27.0,США,МИ,Королевский Дуб,,,,,,,Джим,Бёртон,,Джим Скотт,,195.0,75.0,r,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",6/10/1975,9/17/1977,,burtoji01,burtoji01,burtj101,burtoji01,burtoji01
1975,cabrejo01,,,1969.0,3.0,24.0,Д.Р.,,Сантьяго,,,,,,,Жо́зе,Кабрера,,Жозе Альберто,,205.0,72.0,r,r,7/15/1997,9/25/2002,,cabrejo01,cabrejo01,cabrj001,cabrejo01,cabrejo01
2087,canizja01,,,1973.0,7.0,4.0,США,ТХ,Бомонт,,,,,,,Джей,Кани заро,,Джейсон Кайл,,170.0,69.0,r,r,4/28/1996,5/31/2002,Оклахома-Стейт,canizja01,canizja01,canij001,canizja01,canizja01
2492,clarkji03,,,1947.0,4.0,30.0,США,КС,Канзас-Сити,,,,,,,Джим,Кларк,,Джеймс Эдвард,,190.0,73.0,r,r,7/16/1971,8/3/1971,,clarkji03,clarkji03,clarj104,clarkji03,clarkji03
2520,clarkni01,,,1882.0,12.0,15.0,КАН,ОН,Хаммерсторф,1949.0,6.0,15.0,США,МИ,Река Роу,Ниг,Кларкс,,Джей Джастин,,165.0,68.0,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",r,4/26/1905,4/24/1920,,clarkni01,clarkni01,clarn101,clarkni01,clarkni01
2829,coopegu01,,,1893.0,1.0,28.0,США,А,Рим,1951.0,8.0,2.0,США,Калифорния,Санта-Моника,Мальчик,Купер,,Гай Эванс,Бунтующий,185.0,73.0,Б,r,5/2/1914,9/24/1915,,coopegu01,coopegu01,coopg102,coopegu01,coopegu01
