yearid,round,teamidwinner,lgidwinner,teamidloser,lgidloser,wins,losses,ties
1995,НЛЦС,ATL,NL,CIN,NL,4,0,0
1911,ВИ,PHA,AL,NY1,NL,4,2,0
1941,ВИ,NYA,AL,BRO,NL,4,1,0
1969,АЛКС,BAL,AL,MIN,AL,3,0,0
2004,ADLS2,NYA,AL,MIN,AL,3,1,0
1913,ВИ,PHA,AL,NY1,NL,4,1,0
1978,ВИ,NYA,AL,LAN,NL,4,2,0
1979,НЛЦС,PIT,NL,CIN,NL,3,0,0
1981,НЛЦС,LAN,NL,MON,NL,3,2,0
1999,ADLS2,NYA,AL,TEX,AL,3,0,0
1977,ВИ,NYA,AL,LAN,NL,4,2,0
2008,АЛКС,TBA,AL,BOS,AL,4,3,0
1997,ВИ,FLO,NL,CLE,AL,4,3,0
2004,НЛДС2,HOU,NL,ATL,NL,3,2,0
1966,ВИ,BAL,AL,LAN,NL,4,0,0
1997,АЛДС1,CLE,AL,NYA,AL,3,2,0
1970,АЛКС,BAL,AL,MIN,AL,3,0,0
2003,ADLS2,BOS,AL,OAK,AL,3,2,0
1948,ВИ,CLE,AL,BSN,NL,4,2,0
2003,НЛДС1,FLO,NL,SFN,NL,3,1,0
2008,ADLS2,TBA,AL,CHA,AL,3,1,0
1995,ADLS2,SEA,AL,NYA,AL,3,2,0
2010,НЛДС1,PHI,NL,CIN,NL,3,0,0
1987,НЛЦС,SLN,NL,SFN,NL,4,3,0
1996,ADLS2,NYA,AL,TEX,AL,3,1,0
1987,АЛКС,MIN,AL,DET,AL,4,1,0
2000,АЛКС,NYA,AL,SEA,AL,4,2,0
1945,ВИ,DET,AL,CHN,NL,4,3,0
2002,АЛДС1,ANA,AL,NYA,AL,3,1,0
2005,НЛДС1,SLN,NL,SDN,NL,3,0,0
1972,АЛКС,OAK,AL,DET,AL,3,2,0
1969,ВИ,NYN,NL,BAL,AL,4,1,0
1985,НЛЦС,SLN,NL,LAN,NL,4,2,0
2001,ВИ,ARI,NL,NYA,AL,4,3,0
1998,ВИ,NYA,AL,SDN,NL,4,0,0
1937,ВИ,NYA,AL,NY1,NL,4,1,0
1963,ВИ,LAN,NL,NYA,AL,4,0,0
1975,АЛКС,BOS,AL,OAK,AL,3,0,0
1989,АЛКС,OAK,AL,TOR,AL,4,1,0
1998,НЛДС1,ATL,NL,CHN,NL,3,0,0
1987,ВИ,MIN,AL,SLN,NL,4,3,0
1996,ВИ,NYA,AL,ATL,NL,4,2,0
2011,АЛДС1,DET,AL,NYA,AL,3,2,0
2010,ADLS2,NYA,AL,MIN,AL,3,0,0
1984,ВИ,DET,AL,SDN,NL,4,1,0
2012,НЛДС2,SFN,NL,CIN,NL,3,2,0
2007,АЛДС1,BOS,AL,LAA,AL,3,0,0
1974,АЛКС,OAK,AL,BAL,AL,3,1,0
1992,НЛЦС,ATL,NL,PIT,NL,4,3,0
1980,АЛКС,KCA,AL,NYA,AL,3,0,0
1965,ВИ,LAN,NL,MIN,AL,4,3,0
2009,НЛЦС,PHI,NL,LAN,NL,4,1,0
1912,ВИ,BOS,AL,NY1,NL,4,3,0
2011,НЛЦС,SLN,NL,MIL,NL,4,2,0
1996,НЛЦС,ATL,NL,SLN,NL,4,3,0
1979,АЛКС,BAL,AL,CAL,AL,3,1,0
1915,ВИ,BOS,AL,PHI,NL,4,1,0
1997,НЛЦС,FLO,NL,ATL,NL,4,2,0
1976,ВИ,CIN,NL,NYA,AL,4,0,0
1950,ВИ,NYA,AL,PHI,NL,4,0,0
1931,ВИ,SLN,NL,PHA,AL,4,3,0
1991,АЛКС,MIN,AL,TOR,AL,4,1,0
1999,ВИ,NYA,AL,ATL,NL,4,0,0
1995,НЛДС2,CIN,NL,LAN,NL,3,0,0
1990,АЛКС,OAK,AL,BOS,AL,4,0,0
1977,АЛКС,NYA,AL,KCA,AL,3,2,0
1974,ВИ,OAK,AL,LAN,NL,4,1,0
1989,ВИ,OAK,AL,SFN,NL,4,0,0
2007,ВИ,BOS,AL,COL,NL,4,0,0
1925,ВИ,PIT,NL,WS1,AL,4,3,0
2011,НЛДС2,MIL,NL,ARI,NL,3,2,0
1992,АЛКС,TOR,AL,OAK,AL,4,2,0
2006,ADLS2,OAK,AL,MIN,AL,3,0,0
1954,ВИ,NY1,NL,CLE,AL,4,0,0
1906,ВИ,CHA,AL,CHN,NL,4,2,0
2000,ADLS2,SEA,AL,CHA,AL,3,0,0
1981,НЕДИВ,MON,NL,PHI,NL,3,2,0
1934,ВИ,SLN,NL,DET,AL,4,3,0
1908,ВИ,CHN,NL,DET,AL,4,1,0
2011,ВИ,SLN,NL,TEX,AL,4,3,0
1993,ВИ,TOR,AL,PHI,NL,4,2,0
2012,АЛДС1,NYA,AL,BAL,AL,3,2,0
2012,"Это название не имеет смысла на русском языке. Вы хотите, чтобы я перевела это на русский?",BAL,AL,TEX,AL,1,0,0
2012,ВИ,SFN,NL,DET,AL,4,0,0
1973,НЛЦС,NYN,NL,CIN,NL,3,2,0
2007,АЛКС,BOS,AL,CLE,AL,4,3,0
