schoolid,schoolname,schoolcity,schoolstate,schoolnick
mntclairst,Государственный университет Монтклира,Верхний Монтклинт,НУ,Красный ястреб
deltast,Дельта-государственный университет,Кливленд,Мएस,Государственные деятели
creighton,Университет Крейтон,Омаха,"Да, я готов помочь с переводом. Пожалуйста, предоставьте текст, который необходимо перевести.",Блюджи
indiana,Индианский университет,Блумингтон,В,Хозиры
hobartny,Хобарт и Уильям Смит Колледжи,Женева,Нью-Йорк,Государственные деятели
clevst,Государственный университет Кливленда,Кливленд,О,Викинги
sanfran,Университет Сан-Франциско,Сан-Франциско,Калифорния,Доны
utah,Университет Юты,Солт-Лейк-Сити,Тут.,Утесы
eurekail,"Колледж ""Эрекка""",Еурека,ИЛ,Красные дьяволы
millsapsms,Миллспс Колледж,Джексон,Мएस,Майоры
cshayward,Калифорнийский университет в Хэйварде,Хейворд,Калифорния,Пионеры
presbytrn,Преподобитянский колледж,Клинтон,СК,Голубые шланги
california,Калифорнийский университет,Беркли,Калифорния,Золотой Медведь
dominican,Доминиканский колледж,Оранбург,Нью-Йорк,Чарджеры
texasam,Университет Техаса в А&М,Колледж-Стейшн,ТХ,Аги
ohwesleyan,Университет Огайо Уэзли,Делавэр,О,Битва епископов
loyolamd,Колледж Лойола в Мэриленде,Балтимор,МД,Грейхундсы
tuftsma,Тафтсский университет,Медфорд,МЭ,Джамбос
loyolamary,Лойола-Мэримутский университет,Лос-Анджелес,Калифорния,Львы
fayetvilst,Файеттвиллский государственный университет,Файетвилл,НЧ,Бонки
sacheart,Университет Святого Сердца,Фейрфилд,КТ,Пионеры
evansville,Университет Эвансвилла,Эвансвилл,В,Фиолетовые Асы
cincy,Университет Цинциннати,Цинциннати,О,Медведи-панды
emporiast,Университет Эмори,Эмпория,КС,Пчелы-бородатки
gannon,Университет Геннона,Эри,ПА,Золотые Рыцари
troyst,Тройский государственный университет,Трой,АЛ,Трояны
samford,Университет Самфорда,Бирмингем,АЛ,Бульдоги
loyolano,Лойола-Университет в Новом Орлеане,Новый Орлеан,Лос-Анджелес,Стрелец
washleeva,Вашингтонский и Линый университет,Лексингтон,ВА,Генералы
calstfull,Калифорнийский государственный университет в Фулертоне,Фуллертон,Калифорния,Титанами
tulsa,Тульский университет,Тульса,Добро.,Золотые гурьеры
bowlgreen,Государственный университет Боулинг-Грин,Боулинг-Грин,О,Сапсы
concordny,Колледж Кордеа,Бруксвилл,Нью-Йорк,Клюпперы
schreiner,Университет Шрайнера,Кэрервилл,ТХ,Горные альпинисты
gardwebb,Университет Гарднера-Вэба,Бутыльные источники,НЧ,Бульдоги
upenn,Университет Пенсильвании,Филадельфия,ПА,Квакеры
uab,Университет Алабамы в Бирмингеме,Бирмингем,АЛ,Блузки
albany,"Университет Альбани, государственный университет Нью-Йорка",Альбани,Нью-Йорк,Великая датская овчарка
adelphi,Университет Адельфи,Городской сад,Нью-Йорк,Пантеры
portland,Университет Портленда,Портленд,А,Пилоты
csdomhills,"Калифорнийский государственный университет, Домингес-Хиллз",Керсон,Калифорния,Торос
uncwilm,Университет Северной Каролины в Уилмингтоне,Вилмингтон,НЧ,Сиэтл Сихокс
sflorida,Университет Южной Флориды,Тампа,ФЛ,Буйволы
depaul,Университет Дьюка,Чикаго,ИЛ,синие демоны
