id,lgid,teamid,franchid,name,park
1,AA,BL2,BLO,Балтимор Ориолс,Ньюингем-Парк
197,NL,CIN,CIN,Цинциннати Редс,Великий американский бейсбольный парк
203,NL,CL4,CLV,Кливленд Спайдеры,Лига Парк I
122,FL,CHF,CHH,Чикаго Вэллс,Уигли-филд
201,NL,CIN,CIN,Цинциннати Редс,"Стадион ""Риверфронт"""
310,UA,PHU,PHK,Филадельфийские ключи,
277,NL,SLN,STL,Сент-Луис Браунс,Робинсон Фielд
210,NL,FLO,FLA,Флорида Марлинс,Стадион «Дельфин»
57,AL,CLE,CLE,Кливленд Индианс,Яковс-филд
283,NL,SLN,STL,Сент-Луис Кардиналс,Стадион «Спортс Манор Парк» IV
246,NL,NYN,NYM,Нью-Йорк Метс,Стадион Сеа
64,AL,DET,DET,Детройт Тайгерс,Стадион Бриггс
298,PL,CHP,CHP,Чикаго Пэры,
171,NL,BSN,ATL,Бостон Бэйнэтс,Южный конец I
217,NL,HOU,HOU,Хьюстон Астрос,Энерон Филд
86,AL,NYA,NYY,Нью-Йорк Янкиз,Стадион Янки III
121,FL,CHF,CHH,Чикаго Чифс,Уигли-филд
172,NL,BSN,ATL,Бостон Бэйнэтс,Южный конец II
238,NL,NY1,SFG,Нью-Йорк Джайантс,Поле битвы №2
291,NL,WAS,WSN,Вашингтон Нэшнлз,Национальная арена
136,NA,CL1,CFC,Кливленд Форест-Ситис,Национальное объединение «Грунты»
270,NL,SFN,SFG,Сан-Франциско Джайентс,"Стадион ""Аткинс Тэйлор и Тикемор"""
212,NL,FLO,FLA,Флорида Марлинс,"Стадион ""Профессионал-плейер"""
15,AA,CN3,CKK,Убийцы из Цинциннати Келли,Восточный парк
252,NL,PHI,PHI,Филадельфийские Филлис,Филадельфийские бейсбольные поля
36,AA,WS7,WST,Вашингтон Нэшнлз,Атлетический парк
27,AA,PT1,PIT,Питтсбург Аллегхени,Экспозиционный парк I
12,AA,CL6,CLS,Колумбус Солоны,Рекуэйшн Парк II
145,NA,PH2,PWS,Филадельфийские белые,Jefferson Street Grounds
255,NL,PHI,PHI,Филадельфийские Флаерз,Филадельфийские бейсбольные поля
276,NL,SL5,SLM,Сент-Луис Марунс,Спортивный парк I
