franchid,franchname,active,naassoc
MLU,Милуоки Брюэрс,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",
TBD,Tampa Bay Рейз,Да,
BLU,Монументы Балтимора,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",
HAR,Гарфорд Дарк Блюз,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",ННА
WNT,Вашингтон Нэшнлз,[No additional text],
CNA,"Чикаго ""Белые стокинги""",[No additional text],ХЧК
LGR,Луизвилл Грейс,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",
PNA,Филадельфийские Атлетики,[No additional text],АТХ
WNL,Вашингтон Нэшнлз,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",
TRO,Трои Хемакеры,[No additional text],
PRO,Провиденс Грейс,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",
TRT,Троианы,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",
HOU,Хьюстон Астрос,Да,
CLI,Кливленд Инфантс,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",
WBL,Вашингтонские синие ноги,[No additional text],
PHK,Филадельфийские ключи,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",
NYI,Нью-Йорк Джайантс,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",
IHO,Индианаполис Хойсерс,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",
KCC,Канзас-Сити Ковбои,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",
COR,Цинциннати Оутлоуд Редз,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",
CPI,Чикаго/Питтсбург (Союзная лига),"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",
CHP,Чикаго Пэры,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",
BFL,Баффало Бильз,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",
PHQ,Филадельфийские Атлетики,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",
SDP,Сан-Диего Падрес,Да,
BLC,Балтиморские канарейки,[No additional text],
BWW,"Вот перевод:

""Чудеса Бруклина Уорда""","Да, я могу помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",
BRA,Бруклин Атланты,[No additional text],
RIC,Ричмондский проект Вирджинцев,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",
CIN,Цинциннати Редс,Да,
BNA,Бостон Ред Стокингс,[No additional text],एटएल
BLO,Балтимор Ориолс,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",
DET,Детройт Тайгерс,Да,
DTN,Детройт Вулверинс,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",
WOR,Уорикстер Руби Лэгс,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",
LAD,Лос-Анджелес Доджерс,Да,
ECK,Бруклин Экфорс,[No additional text],
KCU,Канзас-Сити Ковбои,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",
MAR,"Балтимор, Мэриленд",[No additional text],
TEX,Техас Рейнджеры,Да,
CBL,Кливленд Блюз,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",
WSN,Вашингтон Нэшнлз,Да,
NEW,Ньюарк Пеппер,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",
KCP,Канзас-Сити Пакерс,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",
BRD,Бостон Редс,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",
SFG,Сан-Франциско Джайентс,Да,
STL,Сент-Луис Кардиналс,Да,
MAN,Миддлтон-Мансфилды,[No additional text],
MIN,"""Миннесота Твинс""",Да,
STP,Святые апостолы Павел,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",
CHH,Чикаго Вэллс,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",
CHC,Чикаго Кабс,Да,КНА
CLS,Колумбус Солоны,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",
FLA,Флорида Марлинс,Да,
CLV,Кливленд Спайдеры,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",
MLA,Милуоки Брюэрс,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",
PBB,Питтсбургские бурги,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",
KCR,Канзас-Сити Роялс,Да,
NNA,Нью-Йорк Мутуалы,[No additional text],Нью-Йоркский университет
CNR,Цинциннати Редс,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",
CHW,Чикаго Уайт Сокс,Да,
PIT,Питтсбург Пайретс,Да,
IBL,Индианаполис Блюз,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",
WAS,Вашингтон Сенаторы,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",
TLM,Толедо Маумее,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",
BRG,Бруклин Гладиаторы,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",
