season,seed,team
1987,Я10,1261
1985,В11,1455
1991,X11,1208
1988,W-15,1131
2012,42,1455
1989,З01,1328
2003,W02,1448
1995,З01,1246
1986,Я13,1193
1999,Я-15,1434
2008,42,1277
1995,Y12,1275
1989,W02,1181
2002,05,1196
2007,Я-15,1394
1998,X07,1396
2012,Зи-Четырнадцать-А,1140
1985,Зи13,1298
2006,6,1328
2010,Зи16,1436
1988,Я11,1116
1999,42,1417
2000,Зеро девять,1201
1990,Зеро девять,1344
1988,X06,1242
2008,X06,1425
2002,42,1231
2000,W13,1335
2012,W09,1379
1999,Y12,1178
1986,X03,1323
1998,З01,1181
1985,В07,1393
2011,4,1458
1988,З12,1199
1991,З01,1424
1996,З11,1203
1990,2001,1277
1997,В12,1343
1996,02X,1448
1990,З10,1161
2007,Z14,1460
1999,4,1326
2000,6,1417
2006,X01,1272
2009,З08,1140
1993,42,1448
2004,Зо-02,1211
1988,З11,1385
2010,6,1397
1986,З04,1424
2004,В11,1102
2006,Зи13,1102
2009,Р-13,1103
2011,З-15,1103
2013,Текущий час: 12:00 пп,1103
2003,Я10,1104
2004,X08,1104
2005,05,1104
2006,X10,1104
2012,X09,1104
2005,Z16а,1105
2004,W16,1106
2009,"Я не понимаю ваш запрос. Пожалуйста, уточните, что именно вы хотите перевести?",1106
2011,В16а,1106
2006,Зи16,1107
2007,Р-13,1107
2013,Я-15,1107
2014,"Я не могу перевести ваш запрос, так как он не является английском предложением или фразой. Пожалуйста, предоставьте текст на английском языке для перевода.",1107
2008,W-15,1110
2009,W14,1110
2014,З-15,1110
2003,З01,1112
2004,W09,1112
2005,X03,1112
2006,8 августа,1112
2007,8 августа,1112
2008,З10,1112
2009,Y12,1112
2011,05,1112
2013,З06,1112
2014,З01,1112
2003,З10,1113
2009,X06,1113
2014,Я10,1113
2011,"Я не понимаю ваш запрос. Пожалуйста, уточните, что именно вы хотите перевести?",1114
2010,"Я не могу перевести ваш запрос, так как он не является английском предложением или фразой. Пожалуйста, предоставьте текст на английском языке для перевода.",1115
2006,X08,1116
2007,В12,1116
2008,W09,1116
2003,В10,1120
2003,W13,1122
2008,Я-15,1122
2008,З11,1124
2010,X03,1124
2012,2003,1124
2014,З06,1124
2006,T15,1125
2007,W-15,1125
2008,З-15,1125
2011,Я13,1125
2012,X14,1125
2013,З11,1125
2009,W-15,1127
2008,W14,1129
2013,Z13a,1129
2004,З06,1130
2005,X04,1130
2006,4,1130
2007,В07,1130
2009,7,1130
2011,Зи16,1131
2006,Р-13,1133
2005,Z14,1137
2006,X09,1137
2011,X14,1137
2013,В11,1137
2003,В12,1139
2007,42,1139
2008,В07,1139
2009,X09,1139
2010,З05,1139
2011,8 августа,1139
2013,W06,1139
2003,Текущий час: 12:00 пп,1140
2004,Текущий час: 12:00 пп,1140
2007,X08,1140
2008,З08,1140
2010,Z07,1140
2011,2003,1140
2014,З10,1140
2003,З11,1141
2014,"Я не понимаю ваш запрос. Пожалуйста, уточните, что именно вы хотите перевести?",1142
2003,В08,1143
2006,В07,1143
2009,Z07,1143
2010,X08,1143
2012,Текущий часовой пояс: 12:00,1143
2013,В12,1143
1999,В07,1400
1994,З04,1393
1996,З06,1234
2012,W13,1285
1998,W-15,1192
1996,6,1231
1998,З11,1274
1988,2003,1228
1989,W16,1343
2004,Я13,1433
2008,7,1274
1993,X06,1143
1994,W16,1251
2009,В07,1400
2007,W16,1184
2000,W14,1220
1998,В07,1231
1988,6,1437
1998,Зи16,1347
2007,З04,1356
1994,2019,1337
2010,W13,1459
1987,З01,1424
2002,Зеро девять,1279
1988,X07,1435
2004,W14,1343
2005,16 лет,1175
1992,Я10,1222
1989,Зи16,1190
1999,W06,1396
2003,Зеро девять,1211
2003,W14,1264
2005,W06,1403
1998,T15,1319
2012,Z14б,1233
1994,З03,1257
2006,W02,1400
2001,З06,1400
2001,X03,1268
2011,Z07,1401
2008,Я11,1246
1997,16 лет,1402
1989,05,1272
2003,Зи16,1436
2008,Я13,1331
2007,Я10,1210
1993,В11,1264
2002,W14,1293
1991,Йо́жеф Бьел́а,1181
1995,2019,1453
2009,Z14,1165
1993,З08,1235
1996,Йо́жеф Бьел́а,1153
1989,W05,1301
2002,"Извините, но я не понимаю ваш запрос. Можете ли вы уточнить, что именно вам нужно перевести?",1150
2003,Зо-02,1242
2005,Зеро девять,1235
1989,X06,1333
1993,Зо-02,1112
1986,Текущий час: 12:00 пп,1449
2004,T15,1436
2001,Зеро девять,1201
2002,W05,1266
1990,В03,1181
2006,З11,1206
2013,Йо́жеф Бьел́а,1181
1999,T15,1117
