season,slot,strongseed,weakseed
1989,R1Х4,X04,Р-13
1990,Р1З6,З06,З11
2005,R1V2,В03,W14
1999,R1X-7,X07,X10
2004,Р1З8,З08,Зеро девять
2012,R5WX,R4V1,R4X1
2013,R2X3,R1Х3,R1X6
1999,I don't understand your request. Please clarify or provide text for translation.,R1З1,Р1З8
1986,R1Y7,7,Я10
2013,Р1З2,Зо-02,З-15
1996,R1Х8,X08,X09
1997,R1З7,Z07,З10
1999,Р-1Я4,4,Я13
1998,R1W7,В07,В10
1992,R1Х5,05,Текущий час: 12:00 пп
2005,R1X6,X06,X11
1998,R2W3,R1V2,Р1В6
1985,Р1З3,З03,Z14
2005,R1В2,W02,W-15
2004,Р2Я3,Р1Я3,R1Y6
1986,R1Х8,X08,X09
1991,R1В2,W02,W-15
2010,Р-1З-4,З04,Зи13
2004,R1З1,З01,Зи16
2003,REX2,Р2x2,R2X3
1992,R2X3,R1Х3,R1X6
1997,Р2x2,R1x2 = R^2_x,R1X-7
1996,Р2x2,R1x2 = R^2_x,R1X-7
1986,R1Z5,З05,З12
1991,"I'm sorry, I don't understand your request. Please provide some context or clarify your question.",Р1З3,Р1З6
2010,Р3З2,R2-Z2,"I'm sorry, I don't understand your request. Please provide some context or clarify your question."
2004,R1V2,В03,W14
1985,R1V2,В03,W14
1991,R2Z4,Р-1З-4,R1Z5
1997,Р4З1,Р3З1,Р3З2
2012,Р1З3,З03,Z14
1994,Р2Й2,R2-Y2,Р2Я3
2010,R1Y6,6,Я11
1993,I do not have enough context to provide a meaningful translation. Please provide additional information or text for me to translate.,R3Y1,Р4З1
2002,I do not have enough context to provide a meaningful translation. Please provide additional information or text for me to translate.,R3Y1,Р4З1
2005,R1Y8,8 августа,"Извините, но я не понимаю ваш запрос. Можете ли вы уточнить, что именно вам нужно перевести?"
1987,R1З1,З01,Зи16
2005,Р3З1,I don't understand your request. Please clarify or provide text for translation.,R2Z4
2002,R2-Y2,Р1С2,R1Y7
1987,R1Y8,8 августа,"Извините, но я не понимаю ваш запрос. Можете ли вы уточнить, что именно вам нужно перевести?"
1995,R1W4,W04,W13
2007,Р2В2,R1В2,R1W7
2003,РEXI,Р2Х1,R2X4
2007,Р1Y1,2001,16 лет
2003,R2Z4,Р-1З-4,R1Z5
1998,Р2x2,R1x2 = R^2_x,R1X-7
2007,R1Y5,42,Y12
2013,R2Y4,Р-1Я4,R1Y5
1991,Р2В1,R1В1,R1W8
1995,R2X3,R1Х3,R1X6
1992,R6CХ,R5WX,I do not have enough context to provide a meaningful translation. Please provide additional information or text for me to translate.
1985,I do not have enough context to provide a meaningful translation. Please provide additional information or text for me to translate.,R3Y1,Р4З1
2001,R4X1,РEXI,REX2
1995,R1Y5,42,Y12
1994,Р3З1,I don't understand your request. Please clarify or provide text for translation.,R2Z4
2010,Р1З8,З08,Зеро девять
1999,R3Y1,Рэйни,Р2Й2
2014,"I'm sorry, I don't understand your request. Please provide some context or clarify your question.",Р1З3,Р1З6
2011,РЭВИУ,Р2В1,Р2В4
2004,R1X-7,X07,X10
2001,R6CХ,R5WX,I do not have enough context to provide a meaningful translation. Please provide additional information or text for me to translate.
2010,R2W3,R1V2,Р1В6
1991,R1В1,В01,W16
2009,R1Х4,X04,Р-13
1999,Р2Я3,Р1Я3,R1Y6
2014,R1Y5,42,Y12
2000,R2X3,R1Х3,R1X6
1989,R1W5,W05,В12
1993,Р1З2,Зо-02,З-15
1988,R1Y7,7,Я10
1986,R2X3,R1Х3,R1X6
2012,Р4З1,Р3З1,Р3З2
2003,R1Х5,05,Текущий час: 12:00 пп
2011,Р1Y1,2001,16 лет
1998,R6CХ,R5WX,I do not have enough context to provide a meaningful translation. Please provide additional information or text for me to translate.
1987,R1З7,Z07,З10
1986,R2X4,R1Х4,R1Х5
1995,R1W7,В07,В10
2003,R1В1,В01,W16
2004,R1В1,В01,W16
2005,R1В1,В01,W16
2006,R1В1,В01,W16
2007,R1В1,В01,W16
2008,R1В1,В01,W16
2009,R1В1,В01,W16
2010,R1В1,В01,W16
2011,R1В1,В01,W16
2012,R1В1,В01,W16
2013,R1В1,В01,W16
2014,R1В1,В01,W16
2003,R1В2,W02,W-15
2004,R1В2,W02,W-15
2006,R1В2,W02,W-15
2007,R1В2,W02,W-15
2008,R1В2,W02,W-15
2009,R1В2,W02,W-15
2010,R1В2,W02,W-15
2011,R1В2,W02,W-15
2012,R1В2,W02,W-15
2013,R1В2,W02,W-15
2014,R1В2,W02,W-15
2003,R1V2,В03,W14
2006,R1V2,В03,W14
2007,R1V2,В03,W14
2008,R1V2,В03,W14
2009,R1V2,В03,W14
2010,R1V2,В03,W14
2011,R1V2,В03,W14
2012,R1V2,В03,W14
2013,R1V2,В03,W14
2014,R1V2,В03,W14
2003,R1W4,W04,W13
2004,R1W4,W04,W13
2005,R1W4,W04,W13
2006,R1W4,W04,W13
2007,R1W4,W04,W13
2008,R1W4,W04,W13
2009,R1W4,W04,W13
2010,R1W4,W04,W13
2011,R1W4,W04,W13
2012,R1W4,W04,W13
2013,R1W4,W04,W13
2014,R1W4,W04,W13
2003,R1W5,W05,В12
2004,R1W5,W05,В12
2005,R1W5,W05,В12
2006,R1W5,W05,В12
2007,R1W5,W05,В12
2008,R1W5,W05,В12
2009,R1W5,W05,В12
2010,R1W5,W05,В12
2011,R1W5,W05,В12
2012,R1W5,W05,В12
2013,R1W5,W05,В12
2014,R1W5,W05,В12
2003,Р1В6,W06,В11
2004,Р1В6,W06,В11
2005,Р1В6,W06,В11
2006,Р1В6,W06,В11
2007,Р1В6,W06,В11
2008,Р1В6,W06,В11
2009,Р1В6,W06,В11
2010,Р1В6,W06,В11
2011,Р1В6,W06,В11
2012,Р1В6,W06,В11
2013,Р1В6,W06,В11
2014,Р1В6,W06,В11
2003,R1W7,В07,В10
2004,R1W7,В07,В10
2005,R1W7,В07,В10
2006,R1W7,В07,В10
2007,R1W7,В07,В10
2008,R1W7,В07,В10
2009,R1W7,В07,В10
2010,R1W7,В07,В10
2011,R1W7,В07,В10
2012,R1W7,В07,В10
2013,R1W7,В07,В10
2014,R1W7,В07,В10
2003,R1W8,В08,W09
2004,R1W8,В08,W09
2005,R1W8,В08,W09
2006,R1W8,В08,W09
2007,R1W8,В08,W09
2008,R1W8,В08,W09
2002,Р2Й2,R2-Y2,Р2Я3
1998,R1Y5,42,Y12
2007,I do not have enough context to provide a meaningful translation. Please provide additional information or text for me to translate.,R3Y1,Р4З1
1990,R2Y4,Р-1Я4,R1Y5
2000,R1X-7,X07,X10
2002,Р1З3,З03,Z14
1993,R1x2 = R^2_x,02X,T15
2011,R2Z4,Р-1З-4,R1Z5
1989,R1Х1,X01,"Я не понимаю ваш запрос. Пожалуйста, уточните, что именно вы хотите перевести?"
2012,Р-1З-4,З04,Зи13
