playerid,yearid,stint,teamid,lgid,g,g_batting,ab,r,h,2b,3b,hr,rbi,sb,cs,bb,so,ibb,hbp,sh,sf,gidp,g_old
highhu01,1916,1,NYA,AL,116,116.0,377.0,44.0,99.0,13.0,4.0,1.0,28.0,13.0,,47.0,44.0,,3.0,24.0,,,116.0
cocrege01,1914,1,BSN,NL,15,15.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,1.0,6.0,,0.0,1.0,,,15.0
zitoba01,2007,1,SFN,NL,34,32.0,62.0,2.0,7.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,16.0,0.0,0.0,4.0,0.0,0.0,32.0
toddfr01,1898,1,LS3,NL,4,4.0,5.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,,0.0,,,0.0,0.0,,,4.0
mccrato01,1972,1,CLE,AL,129,129.0,391.0,43.0,101.0,13.0,5.0,7.0,33.0,12.0,10.0,41.0,47.0,5.0,4.0,3.0,3.0,11.0,129.0
duffyhu01,1894,1,BSN,NL,125,125.0,539.0,160.0,237.0,51.0,16.0,18.0,145.0,48.0,,66.0,15.0,,1.0,,,,125.0
jimenma01,1963,1,KC1,AL,60,60.0,157.0,12.0,44.0,9.0,0.0,0.0,15.0,0.0,1.0,16.0,14.0,2.0,5.0,1.0,2.0,6.0,60.0
manwaki01,1988,1,SFN,NL,40,40.0,116.0,12.0,29.0,7.0,0.0,1.0,15.0,0.0,1.0,2.0,21.0,0.0,3.0,1.0,1.0,1.0,40.0
vizquom01,2003,1,CLE,AL,64,64.0,250.0,43.0,61.0,13.0,2.0,2.0,19.0,8.0,3.0,29.0,20.0,0.0,0.0,5.0,1.0,11.0,64.0
shopato01,1967,1,NYA,AL,8,8.0,27.0,2.0,8.0,1.0,0.0,2.0,6.0,2.0,0.0,1.0,5.0,1.0,0.0,0.0,1.0,0.0,8.0
dalcabr01,1974,1,KCA,AL,31,0.0,,,,,,,,,,,,,,,,,31.0
micelda01,1997,1,DET,AL,71,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0
raderda01,1978,1,CHN,NL,116,116.0,305.0,29.0,62.0,13.0,3.0,3.0,36.0,1.0,1.0,34.0,26.0,7.0,1.0,3.0,5.0,13.0,116.0
veresra01,1990,1,ML4,AL,26,0.0,,,,,,,,,,,,,,,,,26.0
lowntu01,1962,1,CHA,AL,42,42.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,42.0
tananfr01,1977,1,CAL,AL,31,0.0,,,,,,,,,,,,,,,,,31.0
peraljo01,2005,1,LAA,AL,28,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0
rozemda01,1982,1,DET,AL,8,0.0,,,,,,,,,,,,,,,,,8.0
sadecra01,1973,1,NYN,NL,31,31.0,31.0,3.0,7.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0,31.0
stillku01,1990,1,KCA,AL,144,144.0,506.0,60.0,126.0,35.0,4.0,3.0,51.0,0.0,2.0,39.0,60.0,1.0,4.0,4.0,7.0,11.0,144.0
dipinfr01,1993,1,KCA,AL,11,0.0,,,,,,,,,,,,,,,,,11.0
mlickda01,2000,1,DET,AL,24,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
hoopeke01,2006,1,DET,AL,8,8.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,8.0
ostrojo01,1950,1,CHA,AL,21,21.0,45.0,9.0,10.0,1.0,1.0,2.0,2.0,0.0,0.0,9.0,8.0,,1.0,1.0,,1.0,21.0
willsbu01,1980,1,TEX,AL,146,146.0,578.0,102.0,152.0,31.0,5.0,5.0,58.0,34.0,9.0,51.0,71.0,1.0,3.0,15.0,8.0,8.0,146.0
biittla01,1982,1,CIN,NL,97,97.0,184.0,18.0,57.0,9.0,2.0,2.0,24.0,1.0,0.0,17.0,16.0,2.0,2.0,2.0,3.0,9.0,97.0
colsolo01,1970,1,NYA,AL,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
