schoolid,schoolname,schoolcity,schoolstate,schoolnick
bakerks,Университет Бейкера,Город Болдуин,KS,Дикие кошки
sfcc,Муниципальный колледж Южной Флориды,Парк Эйвон,ФЛ,Пантеры
charleswv,Чарльстонский университет,Чарльстон,WV,Золотые орехи
rhodestn,Родосский колледж,Мемфис,TN,Линкс
brdgwatrva,Колледж Бриджвотер,Бриджвотер,VA,Орлы
eutah,Колледж Восточной Юты,Цена,UT,Золотые орехи
fresnost,"Калифорнийский государственный университет, Фресно",Фресно,КА,Бульдоги
semost,Юго-восточный государственный университет Миссури,Мыс Жирардо,МО,Красные ястребы
nmhighland,Нью-Мексикоский Хайлендский университет,Лас-Вегас,НМ,Ковбои
betheltn,Вефильский колледж,Маккензи,TN,Королевские власти
laverneca,Университет Ла Верне,Ла Верне,КА,Леопарды
andersonsc,Андерсонский колледж,Андерсон,ПК,Троянцы
chicagost,Чикагский государственный университет,Чикаго,Ил,Кугары
ferrisst,Государственный университет им. Ферриса,Большие быстрые,МИ,Бульдоги
clevst,Кливлендский государственный университет,Кливленд,Ооо.,Викинги
bridgeport,Бриджпортский университет,Бриджпорт,КТ,Пурпурные рыцари
indiana,Индианский университет,Блумингтон,ВНУТРЕННИЕ,Гусеницы
ccri,Общинный колледж Род-Айленда,Уорвик,РИ,Рыцари
wminsterpa,Вестминстерский колледж,Новый Уилмингтон,ПА,Титаны
maine,Университет Мэна,Ороно,Я,Черные медведи
philsmith,Колледж им. Филандера Смита,Маленький камень,ОАР,Пантеры
delawarest,Государственный университет Делавэра,Довер,DE,Шершень
savcolad,Колледж искусств и дизайна Саванны,Саванна,GA,Пчёлы
utep,Техасский университет в Эль-Пасо,Эль-Пасо,TX,Горнодобывающие предприятия
biolaca,Университет &lt; &lt; Биола &gt; &gt;,Ла Мирада,КА,Орлы
willamette,Университет Уилламета,Салем,ИЛИ,Медвежие
ursinus,Урсинусский колледж,Коллегия,ПА,Медведи
sacstate,"Калифорнийский государственный университет, Сакраменто",Сакраменто,КА,Шершень
utarl,Техасский университет в Арлингтоне,Арлингтон,TX,Маверики
sflorida,Университет Южной Флориды,Тампа,ФЛ,Буллс
shorterga,Более короткий колледж,Рим,GA,Ястребы
hofstra,Университет Хофстра,Хэмпстед,Нью-Йорк,Гордость
oregonst,Орегонский государственный университет,Корвальис,ИЛИ,Биверы
pbsc,Государственный колледж Палм-Бич,Озеро &lt; &lt; Уорт &gt; &gt;,ФЛ,Пантеры
vcu,Университет Содружества Вирджинии,Ричмонд,VA,Рамс
lockhaven,Университет Лок Хейвена Пенсильвании,Замок Хэйвен,ПА,Лысые орехи
whitmanwa,Уитманский колледж,Уолла Уолла,WA,Миссионеры
cornell,Корнельский университет,Итака,Нью-Йорк,Большой красный
pace,Университет Пейс,Нью-Йорк,Нью-Йорк,Заряды
georgemas,Университет Джорджа Мейсона,Фэрфакс,VA,Патриоты
williamsma,Уильямский колледж,Вильямстон,МЭТ,Эфы
tamukvill,Техасский университет АиМ-Кингсвиль,Кингсвилль,TX,Javelinas
quincy,Университет Квинси,Квинси,Ил,Ястребы
salabama,Университет Южной Алабамы,Мобильный,AL,Ягуары
riponwi,Рипонский колледж,Рипон,ЖИ,Красные ястребы
nalabama,Университет Северной Алабамы,Флоренция,AL,Львы
ilcollege,Иллинойский колледж,Джексонвилль,Ил,Синяя мальчишка
lewisil,Университет Льюиса,Ромеовиль,Ил,Флаеры
alcornst,Университет штата Алькорн,Лорман,MS,Храбрые
