playerid,awardid,yearid,lgid,tie,notes
bakerfr01,Baseball Magazine All-Star,1911,AL,,3B
bendech01,Baseball Magazine All-Star,1911,AL,,С4
bushdo01,Baseball Magazine All-Star,1911,AL,,СС
carribi02,Baseball Magazine All-Star,1911,AL,,C2
chaseha01,Baseball Magazine All-Star,1911,AL,,1B
cobbty01,Baseball Magazine All-Star,1911,AL,,CF
collied01,Baseball Magazine All-Star,1911,AL,,2B
coombja01,Baseball Magazine All-Star,1911,AL,,С-5
crawfsa01,Baseball Magazine All-Star,1911,AL,,LF
greggve01,Baseball Magazine All-Star,1911,AL,,С3
jacksjo01,Baseball Magazine All-Star,1911,AL,,RF
johnswa01,Baseball Magazine All-Star,1911,AL,,С1
stanaos01,Baseball Magazine All-Star,1911,AL,,C3
thomair01,Baseball Magazine All-Star,1911,AL,,C1
walshed01,Baseball Magazine All-Star,1911,AL,,С2
alexape01,Baseball Magazine All-Star,1911,ML,,С3
bakerfr01,Baseball Magazine All-Star,1911,ML,,3B
bresnro01,Baseball Magazine All-Star,1911,ML,,C1
chaseha01,Baseball Magazine All-Star,1911,ML,,1B
clarkfr01,Baseball Magazine All-Star,1911,ML,,LF
cobbty01,Baseball Magazine All-Star,1911,ML,,CF
collied01,Baseball Magazine All-Star,1911,ML,,2B
dooinre01,Baseball Magazine All-Star,1911,ML,,C2
greggve01,Baseball Magazine All-Star,1911,ML,,С4
jacksjo01,Baseball Magazine All-Star,1911,ML,,RF
johnswa01,Baseball Magazine All-Star,1911,ML,,С2
mathech01,Baseball Magazine All-Star,1911,ML,,С2
meyerch01,Baseball Magazine All-Star,1911,ML,,C3
ruckena01,Baseball Magazine All-Star,1911,ML,,С-5
grissma02,ALCS MVP,1997,AL,,
alomasa02,All-Star Game MVP,1997,ML,,
aloumo01,Babe Ruth Award,1997,NL,,В ЛЮБОЙ ЧАСТИ
biggicr01,Branch Rickey Award,1997,ML,,
clemero02,Cy Young Award,1997,AL,,
