playerid,yearid,gamenum,gameid,teamid,lgid,gp,startingpos
boggswa01,1993,0,ALS199307130,NYA,AL,1.0,5.0
mazerbi01,1960,1,ALS196007110,PIT,NL,1.0,4.0
hermabi01,1938,0,NLS193807060,CHN,NL,1.0,4.0
berrayo01,1949,0,NLS194907120,NYA,AL,1.0,
smithda02,1990,0,NLS199007100,HOU,NL,1.0,
freylo01,1943,0,ALS194307130,CIN,NL,1.0,
duncama01,1994,0,NLS199407120,PHI,NL,1.0,4.0
hollida01,1993,0,ALS199307130,PHI,NL,1.0,
robined01,1952,0,NLS195207080,CHA,AL,1.0,3.0
lacosmi01,1979,0,ALS197907170,CIN,NL,1.0,
mantlmi01,1955,0,NLS195507120,NYA,AL,1.0,8.0
rodrial01,1998,0,NLS199807070,SEA,AL,1.0,6.0
murphjo04,1937,0,ALS193707070,NYA,AL,0.0,
javeral01,1943,0,ALS194307130,BSN,NL,1.0,
garneph01,1981,0,ALS198108090,PIT,NL,1.0,
kuennha01,1960,1,ALS196007110,CLE,AL,1.0,
callijo01,1962,1,ALS196207100,PHI,NL,1.0,
wynnea01,1960,1,ALS196007110,CHA,AL,0.0,
mantlmi01,1965,0,ALS196507130,NYA,AL,0.0,
sainjo01,1953,0,NLS195307140,NYA,AL,0.0,
houghch01,1986,0,NLS198607150,TEX,AL,1.0,
vandejo01,1938,0,NLS193807060,CIN,NL,1.0,1.0
helmsto01,1968,0,NLS196807090,CIN,NL,1.0,4.0
gehrich01,1935,0,ALS193507080,DET,AL,1.0,4.0
kalinal01,1958,0,ALS195807080,DET,AL,1.0,
mcgrifr01,1995,0,ALS199507110,ATL,NL,1.0,3.0
yastrca01,1965,0,ALS196507130,BOS,AL,0.0,
otisam01,1971,0,ALS197107130,KCA,AL,1.0,
bankser01,1959,2,NLS195908030,CHN,NL,1.0,6.0
oglivbe01,1980,0,NLS198007080,ML4,AL,1.0,7.0
scorehe01,1956,0,ALS195607100,CLE,AL,1.0,
mussimi01,1997,0,ALS199707080,BAL,AL,0.0,
beckegl01,1970,0,NLS197007140,CHN,NL,1.0,4.0
crandde01,1953,0,NLS195307140,ML1,NL,0.0,
foxne01,1957,0,NLS195707090,CHA,AL,1.0,4.0
reganph01,1966,0,NLS196607120,LAN,NL,0.0,
aaronha01,1962,1,ALS196207100,ML1,NL,0.0,
spencst01,1947,0,NLS194707080,WS1,AL,1.0,
rowesc01,1936,0,NLS193607070,DET,AL,1.0,
clemero01,1972,0,NLS197207250,PIT,NL,0.0,
bonilbo01,1989,0,ALS198907110,PIT,NL,1.0,
kalinal01,1964,0,NLS196407070,DET,AL,0.0,
kalinal01,1959,2,NLS195908030,DET,AL,1.0,
wittmi01,1986,0,NLS198607150,CAL,AL,0.0,
paigesa01,1952,0,NLS195207080,SLA,AL,0.0,
lemonji01,1960,2,ALS196007130,WS1,AL,0.0,
giambja01,2004,0,NLS200407130,NYA,AL,1.0,3.0
vernomi01,1954,0,ALS195407130,WS1,AL,1.0,
jacksbo01,1989,0,ALS198907110,KCA,AL,1.0,7.0
rolfere01,1939,0,ALS193907110,NYA,AL,1.0,5.0
mccanbr01,2007,0,NLS200707100,ATL,NL,1.0,
simmocu01,1953,0,NLS195307140,PHI,NL,1.0,
bandosa01,1972,0,NLS197207250,OAK,AL,1.0,
kinslia01,2012,0,ALS201207100,TEX,AL,1.0,
stephve01,1945,0,,SLA,AL,0.0,
cardele01,1964,0,NLS196407070,CIN,NL,1.0,
linceti01,2008,0,ALS200807150,SFN,NL,0.0,
sutclri01,1989,0,ALS198907110,CHN,NL,1.0,
henderi01,1990,0,NLS199007100,OAK,AL,1.0,7.0
willima04,1994,0,NLS199407120,SFN,NL,1.0,5.0
hentgpa01,1997,0,ALS199707080,TOR,AL,1.0,
hamptmi01,1999,0,ALS199907130,HOU,NL,1.0,
garvest01,1980,0,NLS198007080,LAN,NL,1.0,3.0
aaronha01,1961,1,NLS196107110,ML1,NL,1.0,
gonzaca01,2012,0,ALS201207100,COL,NL,1.0,0.0
nolanga01,1972,0,NLS197207250,CIN,NL,0.0,
wagnele01,1962,1,ALS196207100,LAA,AL,1.0,7.0
smithed04,1941,0,ALS194107080,CHA,AL,1.0,
dunnad01,2012,0,ALS201207100,CHA,AL,,
jonescl01,1969,0,ALS196907230,NYN,NL,1.0,7.0
garvest01,1974,0,NLS197407230,LAN,NL,1.0,3.0
oglivbe01,1982,0,NLS198207130,ML4,AL,1.0,
jonesan01,2002,0,NLS200207090,ATL,NL,1.0,
marshmi01,1975,0,ALS197507150,LAN,NL,0.0,
brownke01,2000,0,NLS200007110,LAN,NL,1.0,
johnsbo01,1939,0,ALS193907110,PHA,AL,0.0,
cordefr01,2009,0,NLS200907140,CIN,NL,1.0,
bluevi01,1978,0,NLS197807110,SFN,NL,1.0,1.0
grimsro02,1978,0,NLS197807110,MON,NL,0.0,
javeral01,1944,0,NLS194407110,BSN,NL,0.0,
hodgegi01,1952,0,NLS195207080,BRO,NL,0.0,
whitebu01,1935,0,ALS193507080,SLN,NL,1.0,
palmera01,1998,0,NLS199807070,BAL,AL,1.0,
petrori01,1969,0,ALS196907230,BOS,AL,1.0,6.0
danniha01,1941,0,ALS194107080,NY1,NL,1.0,
bondsba01,1993,0,ALS199307130,SFN,NL,1.0,7.0
molinya01,2010,0,ALS201007130,SLN,NL,1.0,2.0
crandde01,1962,2,NLS196207300,ML1,NL,1.0,2.0
piercbi02,1961,1,NLS196107110,CHA,AL,0.0,
loganjo01,1955,0,NLS195507120,ML1,NL,1.0,
grovele01,1936,0,NLS193607070,BOS,AL,1.0,1.0
schmimi01,1986,0,NLS198607150,PHI,NL,1.0,5.0
worreto01,1988,0,NLS198807120,SLN,NL,1.0,
stewada01,1989,0,ALS198907110,OAK,AL,1.0,1.0
antonjo02,1956,0,ALS195607100,NY1,NL,1.0,
berrayo01,1950,0,ALS195007110,NYA,AL,1.0,2.0
smithre06,1980,0,NLS198007080,LAN,NL,1.0,8.0
ripkeca01,1987,0,ALS198707140,BAL,AL,1.0,6.0
thomeji01,2006,0,NLS200607110,CHA,AL,1.0,
mayswi01,1960,1,ALS196007110,SFN,NL,1.0,8.0
mitchke01,1989,0,ALS198907110,SFN,NL,1.0,7.0
giambja01,2003,0,ALS200307150,NYA,AL,1.0,
bankser01,1962,1,ALS196207100,CHN,NL,1.0,
lowede01,2000,0,NLS200007110,BOS,AL,1.0,
diazbo01,1987,0,ALS198707140,CIN,NL,1.0,
burketi01,1989,0,ALS198907110,MON,NL,1.0,
willite01,1957,0,NLS195707090,BOS,AL,1.0,7.0
johnsbo01,1944,0,NLS194407110,BOS,AL,1.0,7.0
wagneha01,1946,0,ALS194607090,BOS,AL,1.0,
polanpl01,2011,0,NLS201107120,PHI,NL,,
keyji01,1994,0,NLS199407120,NYA,AL,1.0,1.0
mizejo01,1948,0,ALS194807130,NY1,NL,1.0,3.0
mattido01,1986,0,NLS198607150,NYA,AL,1.0,
willibe02,1997,0,ALS199707080,NYA,AL,1.0,
wertzvi01,1951,0,ALS195107100,DET,AL,1.0,9.0
yastrca01,1970,0,NLS197007140,BOS,AL,1.0,8.0
foxxji01,1937,0,ALS193707070,BOS,AL,1.0,
aaronha01,1964,0,NLS196407070,ML1,NL,1.0,
marshwi01,1947,0,NLS194707080,NY1,NL,1.0,
griffke02,1991,0,ALS199107090,SEA,AL,1.0,8.0
torrejo01,1970,0,NLS197007140,SLN,NL,1.0,
hayesfr01,1945,0,,CLE,AL,0.0,
bordimi01,2000,0,NLS200007110,BAL,AL,1.0,
ruffire01,1939,0,ALS193907110,NYA,AL,1.0,1.0
morrija02,1981,0,ALS198108090,DET,AL,1.0,1.0
billija01,1973,0,ALS197307240,CIN,NL,0.0,
drysddo01,1963,0,ALS196307090,LAN,NL,1.0,
santoro01,1965,0,ALS196507130,CHN,NL,1.0,
knowlda01,1969,0,ALS196907230,WS2,AL,1.0,
smithre06,1975,0,ALS197507150,SLN,NL,1.0,
dawsoan01,1981,0,ALS198108090,MON,NL,1.0,8.0
jonesch06,2012,0,ALS201207100,ATL,NL,1.0,
colbena01,1971,0,ALS197107130,SDN,NL,1.0,
mizejo01,1939,0,ALS193907110,SLN,NL,1.0,
robinbr01,1970,0,NLS197007140,BAL,AL,1.0,
piazzmi01,1998,0,NLS199807070,NYN,NL,1.0,2.0
luzingr01,1977,0,ALS197707190,PHI,NL,1.0,7.0
cuyleki01,1934,0,NLS193407100,CHN,NL,1.0,9.0
glavito02,1993,0,ALS199307130,ATL,NL,0.0,
cartega01,1982,0,NLS198207130,MON,NL,1.0,2.0
kimby01,2002,0,NLS200207090,ARI,NL,1.0,
gwynnto01,1990,0,NLS199007100,SDN,NL,1.0,
johnsjo09,2010,0,ALS201007130,FLO,NL,1.0,
rolensc01,2004,0,NLS200407130,SLN,NL,1.0,5.0
guarded01,2003,0,ALS200307150,MIN,AL,1.0,
cavarph01,1945,0,,CHN,NL,0.0,
hernaro01,1999,0,ALS199907130,TBA,AL,1.0,
smithoz01,1986,0,NLS198607150,SLN,NL,1.0,6.0
priceda01,2011,0,NLS201107120,TBA,AL,,
kalinal01,1960,2,ALS196007130,DET,AL,1.0,
stiebda01,1983,0,ALS198307060,TOR,AL,1.0,1.0
norrimi01,1981,0,ALS198108090,OAK,AL,1.0,
wettejo01,1996,0,NLS199607090,NYA,AL,0.0,
hubbagl01,1983,0,ALS198307060,ATL,NL,1.0,
sierrru01,1992,0,NLS199207140,TEX,AL,1.0,
spahnwa01,1953,0,NLS195307140,ML1,NL,1.0,
harvebr01,1991,0,ALS199107090,CAL,AL,0.0,
stiebda01,1990,0,NLS199007100,TOR,AL,1.0,
darkal01,1954,0,ALS195407130,NY1,NL,1.0,6.0
mazerbi01,1959,1,NLS195907070,PIT,NL,1.0,
lemonbo01,1954,0,ALS195407130,CLE,AL,1.0,
grichbo01,1976,0,NLS197607130,BAL,AL,1.0,4.0
newsobo01,1940,0,NLS194007090,DET,AL,1.0,
sievero01,1959,1,NLS195907070,WS1,AL,1.0,
guilloz01,1988,0,NLS198807120,CHA,AL,0.0,
