franchid,franchname,active,naassoc
TOL,Синие чулки Толедо,Н,
SDP,Сан-Диего Падрес,Y,
SYR,Звезды Сиракуз,Н,
NYY,Нью-Йорк Янкиз,Y,
WSN,&lt; &lt; Вашингтон нэшнлз &gt; &gt;,Y,
ANA,Лос-Анджелесские ангелы Анахейма,Y,
WNL,&lt; &lt; Вашингтон нэшнлз &gt; &gt;,Н,
BLU,Памятные памятники Балтимора,Н,
PIT,Питтсбургские пираты,Y,
CLI,Кливлендские младенцы,Н,
KCC,Канзас Сити Ковбои,Н,
SLM,Сент-Луис Марунс,Н,
FLA,Флорида Марлинс,Y,
CHP,Чикагские пираты,Н,
BRD,Бостонские красные,Н,
CHC,Чикаго Кабс,Y,КНА
CKK,Убийца Цинциннати Келли,Н,
STP,Святой Павел Апостолы,Н,
MLA,Милуоки Брюэрс,Н,
PHA,Филадельфия Атлетика,Н,
PWS,Белые чулки Филадельфии,,
BNA,Бостонские красные чулки,,АТЛ
BWW,Чудеса Бруклина Уорда,Н,
SFG,Сан-Франциско Гиганты,Y,
MAN,Мидлтаун Мэнсфилдс,,
NYP,Города Нью-Йорка,Н,
WST,Вашингтон,Н,
MAR,Балтимор Мэрилендс,,
DET,&lt; &lt; Тигры Детройта &gt; &gt;,Y,
BFB,Баффало Бизонс,Н,
WNA,&lt; &lt; Вашингтон нэшнлз &gt; &gt;,Н,
DTN,&lt; &lt; Детройт &gt; &gt;,Н,
LOU,Полковники Луисвиля,Н,
CBK,Колумб Бакейс,Н,
BLO,Балтимор Ориолс,Н,
BRS,Бостонские красные,Н,
WOR,Вихревые рубиновые ножки,Н,
CLS,Колумб Солоны,Н,
WNT,&lt; &lt; Вашингтон нэшнлз &gt; &gt;,,
BLT,Балтиморские террапины,Н,
MLG,Милуоки Грейс,Н,
LAD,Лос-Анджелес Доджерс,Y,
ECK,Бруклин Экфордс,,
CNA,Белые чулки Чикаго,,CHC
IND,Индианаполис Хусье,Н,
KCN,Канзас Сити Ковбои,Н,
RES,Элизабет Резолютес,,
ATL,Атланты Храбрые храбрые,Y,БНА
ATH,Филадельфия Атлетика,Н,PNA
BRA,Бруклинские Атлантики,,
SBS,Сент-Луис Браун Шеллингс,Н,СНС
TOR,Торонтские синие джеи,Y,
IHO,Индианаполис Хусье,Н,
TRO,Трой Хеймерс,,
BAL,Балтимор Ориолс,Y,
COR,Красные цициннати,Н,
KCR,Канзас-Сити Роялс,Y,
CIN,Красные Цинциннати,Y,
HNA,Хартфорд Тёмный Блюз,,HAR
HOU,Хьюстон Астрос,Y,
PBS,Питтсбургские повстанцы,Н,
NYM,Нью-Йорк Метс,Y,
NYU,Нью-Йорк Взаимная связь,Н,ННА
MIN,Близнецы из Миннесоты,Y,
PRO,Провидцы Грей,Н,
COL,Колорадо Скалистые горы,Y,
WIL,Уилмингтон Быстрые шаги,Н,
SLR,Красные чулки Сент-Луиса,,
BRG,Бруклинские гладиаторы,Н,
PNA,Филадельфия Атлетика,,ATH
NAT,&lt; &lt; Вашингтон нэшнлз &gt; &gt;,,
KCU,Канзас Сити Ковбои,Н,
NYI,Нью-Йорк Гиганты,Н,
SLI,&lt; &lt; Сент-Луис Терьерс &gt; &gt;,Н,
SYS,Звезды Сиракуз,Н,
SEA,Морские пехотинцы Сиэтла,Y,
KEK,Форт Уэйн Кекионгас,,
TRT,Тройские троянцы,Н,
CLV,Кливленд Паук,Н,
PHK,Критерии Филадельфии,Н,
MLU,Милуоки Брюэрс,Н,
ALT,Горный город Альтоона,Н,
PHI,Филадельфия Филадельфия,Y,
MIL,Милуоки Брюэрс,Y,
CEN,Столетия Филадельфии,,
BLC,Балтиморские канареи,,
IBL,Индианаполис Блюз,Н,
STL,Кардиналы Сент-Луиса,Y,
NNA,Нью-Йорк Взаимная связь,,Нью-Йорк
TEX,Техасские рейнджеры,Y,
NEW,Ньюарк Пеппер,Н,
CBL,Блюз Кливленда,Н,
RIC,Ричмондские вирджинцы,Н,
WBL,Голубые ноги Вашингтона,,
BFL,Баффало Бизонс,Н,
HAR,Хартфорд Тёмный Блюз,Н,ХНА
TBD,Tampa Bay Rays,Y,
BUF,Баффало Бизонс,Н,
WES,Кеокук Вестерн,,
CNR,Красные Цинциннати,Н,
CHH,Чикагские киты,Н,
ARI,Аризона Даймондбэкс,Y,
OLY,Олимпийские игры в Вашингтоне,,
SNA,Сент-Луис Браун Шеллингс,,ПС
ROC,Рочестер Бронкос,Н,
TLM,Толедо Маумес,Н,
LGR,Луисвилл Грейс,Н,
PBB,Питтсбургские бургеры,Н,
CFC,Кливлендские лесные города,,
CLE,Индейцы Кливленда,Y,
OAK,Аклендская атлетика,Y,
CHW,Чикаго Уайт Сокс,Y,
NHV,Нью-Хейвен-Элм-Сити,,
KCP,Канзас Сити Пакерс,Н,
PHQ,Филадельфия Атлетика,Н,
