lahmanid,playerid,managerid,hofid,birthyear,birthmonth,birthday,birthcountry,birthstate,birthcity,deathyear,deathmonth,deathday,deathcountry,deathstate,deathcity,namefirst,namelast,namenote,namegiven,namenick,weight,height,bats,throws,debut,finalgame,college,lahman40id,lahman45id,retroid,holtzid,bbrefid
1,aaronha01,,aaronha01h,1934.0,2.0,5.0,США,AL,Мобильный,,,,,,,Хэнк,Аарон,,Генри Луи,"Хаммер, Хаммеринг Хэнк, Бад Генри",180.0,72.0,Р,Р,4/13/1954,10/3/1976,,aaronha01,aaronha01,aaroh101,aaronha01,aaronha01
25,aberscl01,,,1921.0,8.0,28.0,США,Ил,Чикаго,1973.0,6.0,23.0,США,КА,Вальехо,Клифф,Эберсон,,Клиффорд Александр,Киф,200.0,72.0,Р,Р,7/18/1947,5/9/1949,,aberscl01,aberscl01,aberc101,aberscl01,aberscl01
181,allisbi01,,,,,,США,ПА,Филадельфия,,,,,,,Билл,Эллисон,,Уильям Эндрю,,,,,,5/21/1872,7/4/1872,,allisbi01,allisbi01,allib102,allisbi01,allisbi01
189,almanar01,,,1972.0,10.0,26.0,США,TX,Эль-Пасо,,,,,,,Армандо,Алманза,,Армандо,,205.0,75.0,L,L,7/29/1999,7/20/2005,,almanar01,almanar01,almaa001,almanar01,almanar01
234,amelued01,,,1959.0,4.0,13.0,США,КА,Фуллертон,,,,,,,Эд,Амелунг,,Эдвард Аллен,,180.0,71.0,L,L,7/28/1984,7/7/1986,Сан-Диего,amelued01,amelued01,amele001,amelued01,amelued01
266,anderma02,,,1974.0,1.0,6.0,США,AL,Монтгомери,,,,,,,Марлон,Андерсон,,,,190.0,70.0,L,Р,9/8/1998,,,anderma02,anderma02,andem003,anderma02,anderma02
294,andrewa01,,,1859.0,9.0,18.0,США,ПА,Филадельфия,1940.0,1.0,20.0,США,ВНУТРЕННИЕ,Индианаполис,Уолли,Эндрюс,,Уильям Уолтер,,170.0,75.0,Р,Р,5/22/1884,8/8/1888,,andrewa01,andrewa01,andrw102,andrewa01,andrewa01
307,antoljo01,,,1916.0,4.0,11.0,США,ПА,Хокендауку,2002.0,6.0,25.0,США,ПА,Катасукуа,Джо,Антолик,,Иосиф,,185.0,72.0,Р,Р,9/20/1944,9/26/1944,,antoljo01,antoljo01,antoj102,antoljo01,antoljo01
332,arellfr01,,,1882.0,1.0,28.0,США,КА,Санта-Круз,1918.0,12.0,13.0,США,КА,Сан-Хосе,Фрэнк,Арельяны,,Фрэнк Джулиан,,180.0,72.0,Р,Р,7/28/1908,8/14/1910,,arellfr01,arellfr01,arelf101,arellfr01,arellfr01
374,asbjoca01,,,1909.0,6.0,19.0,США,МЭТ,Конкорд,1970.0,1.0,21.0,США,ПА,Вильямспорт,Каспер,Асбьорнсон,Имя изменено на имя Асби,Роберт Энтони,,196.0,73.0,Р,Р,9/17/1928,8/31/1932,,asbjoca01,asbjoca01,asbjc101,asbjoca01,asbjoca01
