title_id,lorange,hirange,royalty
BU1111,24001,28000,22
MC3021,6001,8000,18
PC1035,3001,4000,14
MC3021,12001,50000,24
TC3218,4001,6000,14
BU1111,16001,20000,18
TC3218,14001,50000,24
TC3218,0,2000,10
TC7777,15001,50000,14
BU2075,12001,14000,22
PS2091,10001,50000,16
BU7832,25001,30000,20
MC2222,8001,12000,16
BU7832,5001,10000,12
BU1111,4001,8000,12
BU7832,10001,15000,14
BU2075,1001,3000,12
PS1372,20001,30000,14
BU1032,5001,50000,12
MC3021,2001,4000,14
MC3021,10001,12000,22
BU1032,0,5000,10
PS7777,5001,50000,12
PS2106,10001,50000,16
PS3333,15001,50000,16
PS2091,1001,5000,12
MC3021,4001,6000,16
PS2091,0,1000,10
MC3021,1001,2000,12
BU7832,20001,25000,18
MC2222,12001,20000,18
BU1111,20001,24000,20
BU7832,35001,50000,24
TC4203,8001,16000,14
PS1372,0,10000,10
PS3333,10001,15000,14
BU1111,0,4000,10
TC3218,2001,4000,12
PC1035,0,2000,10
PC1035,2001,3000,12
BU2075,14001,50000,24
