statusid,status
2,Дисквалифицированные
4,Столкновение
6,Коробка передач
9,Гидравлика
12,+2 лапы
16,+6 лап
17,+7 лапы
19,+9 лап
21,Радиатор
22,Приостановление действия
29,Прокол
31,Выбыли в отставку
38,Рулевое управление
39,Технические вопросы
44,Утечка нефти
45,+11 Лапы
47,Утечка воды
56,Пожар двигателя
58,+26 лап
62,Не классифицированы
64,Обработка
71,Топливная установка
75,Потеря мощности
76,Вибрации
79,Водитель
85,Стационарная
88,+10 лапы
89,Проблемы безопасности
90,Не возобновляется
91,Переносчик
95,Утечка топлива
97,Не проходил предквалификационный отбор
100,Водитель нездоров
104,несчастный случай со смертельным исходом
110,Водяная труба
111,+14 лап
116,+16 лапы
117,+24 лапы
128,+42 лапы
