raceid,driverid,lap,position,time,milliseconds
859,814,12,9,1:20.115,80115
866,13,62,10,1:17.039,77039
112,2,51,9,1:24.712,84712
870,811,55,8,1:26.660,86660
10,20,26,8,1:26.639,86639
134,31,67,4,1:16.491,76491
958,837,23,19,1:30.348,90348
19,8,9,2,1:36.849,96849
24,20,12,18,1:20.855,80855
84,32,50,8,1:27.059,87059
224,77,16,7,1:36.325,96325
165,15,59,5,1:36.899,96899
76,39,4,18,1:22.192,82192
134,23,4,4,1:17.266,77266
195,44,17,11,1:27.506,87506
157,2,45,11,1:41.754,101754
199,56,20,4,1:42.859,102859
964,831,19,15,1:41.359,101359
186,70,12,6,1:57.541,117541
847,816,13,23,1:41.951,101951
31,10,22,8,1:35.768,95768
68,29,25,21,1:50.494,110494
207,49,52,2,1:33.186,93186
163,50,9,10,1:24.390,84390
961,3,49,1,1:26.970,86970
209,64,24,6,1:32.024,92024
132,15,33,6,1:36.347,96347
843,4,47,7,1:42.566,102566
338,17,5,3,1:44.727,104727
56,31,47,4,1:26.950,86950
915,155,14,19,1:47.965,107965
217,63,60,15,1:21.864,81864
55,30,19,7,1:29.027,89027
231,84,42,5,1:23.212,83212
857,813,9,13,1:33.826,93826
899,820,13,21,1:20.777,80777
213,81,36,13,1:23.127,83127
936,807,31,7,1:29.313,89313
165,63,10,16,1:22.685,82685
5,4,40,6,1:23.886,83886
235,55,43,4,1:24.249,84249
216,75,1,16,2:04.987,124987
926,831,57,5,1:33.957,93957
32,21,1,20,2:07.931,127931
979,1,17,5,1:22.954,82954
50,8,24,12,1:32.803,92803
147,15,6,6,1:26.364,86364
149,18,34,17,1:21.646,81646
224,73,34,10,1:39.655,99655
177,14,45,2,1:30.301,90301
879,4,26,4,1:51.701,111701
12,67,25,12,1:48.981,108981
857,808,9,19,1:33.885,93885
127,13,36,9,1:26.476,86476
40,2,19,5,1:18.095,78095
66,26,15,17,1:34.009,94009
114,21,26,11,1:21.267,81267
354,810,55,23,1:17.881,77881
945,828,53,15,1:47.283,107283
77,35,28,15,1:34.104,94104
941,20,45,2,1:40.810,100810
144,15,32,6,1:29.055,89055
200,64,3,18,1:55.088,115088
147,21,33,6,1:21.800,81800
863,808,2,18,1:44.462,104462
34,1,32,1,1:36.886,96886
195,35,10,8,1:27.281,87281
963,826,34,15,1:41.782,101782
43,1,30,3,1:16.850,76850
217,55,76,11,1:29.576,89576
40,9,16,9,1:19.529,79529
908,3,24,2,1:38.315,98315
43,1,49,3,1:16.868,76868
854,18,14,2,2:04.378,124378
345,15,3,24,6:04.173,364173
182,56,44,4,1:30.416,90416
900,828,5,11,1:40.308,100308
146,56,11,9,1:15.023,75023
201,65,33,11,1:47.615,107615
179,71,30,11,1:27.282,87282
859,808,1,12,1:30.149,90149
233,22,58,4,1:31.974,91974
229,44,13,10,1:50.568,110568
865,819,48,18,1:21.179,81179
344,3,22,9,1:20.845,80845
872,5,9,18,1:32.366,92366
853,10,32,15,1:31.665,91665
116,30,12,3,1:33.327,93327
917,16,15,10,1:17.748,77748
