abbreviation,name,city,country,province,established
"Да, конечно! Я могу помочь вам с переводом на английский язык. Пожалуйста, предоставьте текст, который вы хотите перевести.",Агентство по ядерной энергии,,,,1958-01-01
Г-15,Группа из 15 человек,Жевен,Ч,ГЕ,
"Да, я готова приступить к переводу. Пожалуйста, предоставьте текст для перевода.",Организация Исламской Конференции,Джидда,СА,Саудовская Аравия,1969-09-22
Африканский банк развития,Африканский банк развития,Абиджан,ЦИ,Кот-д'Ивуар,1963-08-04
ИДА,Международная ассоциация развития,Вашингтон,США,Дистрикт Колумбия,1960-01-26
Конференция Организации Объединенных Наций по торговле и развитию,Конференция Организации Объединенных Наций по торговле и развитию,Жевен,Ч,ГЕ,1964-12-30
Г-3,Группа из трёх,,,,1990-10-01
НГС,Группа ядерных поставщиков,Вена,А,Вена,
АСЕАН,Ассоциация государств Юго-Восточной Азии,Джакарта,РИ,Индонезия,1967-08-09
Международный олимпийский комитет,Международный олимпийский комитет,Лозанна,Ч,"""VD"" в русском языке будет ""ВД"". Это может означать ""видеозвонок"" или ""видео-дзвонок"", что является функциональностью, предоставляемой некоторыми программами для обмена сообщениями и видеосвязи.",1894-06-23
ГСС,Совет сотрудничества арабских государств Персидского залива,Рияд,СА,Саудовская Аравия,1981-05-25
"Бельгия, Нидерланды и Люксембург",Бельгийский экономический союз,Брюссель,В,Прованс,1958-02-03
"ILO — это акроним, который означает ""International Labour Organization"", или ""Международная организация труда"".",Международная организация труда,Жевен,Ч,ГЕ,1919-04-11
АСС,Совет по сотрудничеству арабских государств,,,,1989-02-16
МНБ,Силы ООН на Кипре,Нью-Йорк,США,Нью-Йорк,1964-03-04
База данных,Азиатский банк развития,Манила,RP,Филиппины,1966-12-19
Г-19,Группа из 19 человек,,,,1975-10-01
Согласие,Совет Энтента,Абиджан,ЦИ,Кот-д'Ивуар,1959-05-29
СААРК,Южно-Азиатская ассоциация регионального сотрудничества,Катманду,НЕП,Непал,1985-12-08
В ADB,Западноафриканский банк развития,Лома,РТ,Того,1973-11-14
УНАВЕМ III,"Миссия по проверке соблюдения режима санкций в отношении Анголы, созданная Организацией Объединенных Наций",Нью-Йорк,США,Нью-Йорк,1988-12-20
КН,Совет по сотрудничеству стран Североатлантического региона,Брюссель,В,Прованс,1991-11-08
МТЦР,Режим контроля за технологиями ракетных комплексов,,,,1987-04-16
ООНОФ,Силы наблюдателей Организации Объединенных Наций по вопросам разграничения,Дамаск,Сирия,Сирия,1974-05-31
ЭСЦВА,Экономическая и социальная комиссия для Западной Азии,Амман,[Джор],Иордания,1973-08-09
ЕБРР,Европейский банк реконструкции и развития,Лондон,"Добро пожаловать! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",Большой Лондон,1991-04-15
АГ,Андská группа,Пять,ПЭ,Пять,1969-05-26
ПФП,Партнерство за мир,,,,1994-01-10
FOB,Продовольственная и сельскохозяйственная организация,Рим,я,Лазио,1945-10-16
КАК,Центральноамериканский общий рынок,Гвадалахара,GCA,Гватемала,1960-12-13
ККК,Совет по взаимопомощи в таможенных вопросах,Брюссель,В,Прованс,1950-12-15
ЭКА,Экономическая комиссия для Африки,Аддис-Абеба,ЭФИР,Эфиопия,1958-04-29
ООНФ,Временные силы Организации Объединенных Наций в Ливане,Нью-Йорк,США,Нью-Йорк,1978-03-19
"ICFTU — это аббревиатура от International Council for Training of Young Women. Это организация, которая была основана в 1948 году с целью предоставления образовательных возможностей молодым женщинам по всему миру.",Международная конфедерация профсоюзов,Брюссель,В,Прованс,1949-12-01
ООН,Организация Объединенных Наций по промышленному развитию,Вена,А,Вена,1966-11-17
САДК,Южноафриканское сообщество по развитию,Габороне,RB,Ботсвана,1992-08-17
G-24,Группа из 24 человек,Брюссель,В,Прованс,1972-01-01
по моему мнению,Международная морская организация,Лондон,"Добро пожаловать! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",Большой Лондон,1958-03-17
ВФТУ,Всемирная федерация профсоюзов,Праг,CZ,Пража,1945-10-03
LAЭС,Латиноамериканская экономическая система,Каракас,В,Федеральный округ,1975-10-17
IГАДД,Межправительственная autorità по вопросам засухи и развития,Диджибути,ДЖИ,Диджибути,1986-01-15
ЮНОМИГ,Миссия наблюдателей Организации Объединенных Наций в Грузии,Нью-Йорк,США,Нью-Йорк,
АБЕДА,Арабский банк экономического развития в Африке,Хартум,СУД,ал-Хартум,1974-02-18
CEПГЛ,Экономическое сообщество стран Большого озера,,,,1976-09-26
АКП,"Африканские, карибские и тихоокеанские государства",Брюссель,В,Прованс,1976-04-01
Международное агентство по атомной энергии,Международное агентство по атомной энергии,Вена,А,Вена,1956-10-26
КИС,Содружество Независимых Государств,Минск,BA,Беларусь,1991-12-08
КДБ,Карибский банк развития,,,,1969-10-18
БМР,Международный банк реконструкции и развития,Вашингтон,США,Дистрикт Колумбия,1944-07-22
СПЦ,Южно-Тихоокеанская комиссия,Нумэа,НЦА,Новая Каледония,1947-02-06
Уником,Миссия Организации Объединенных Наций по наблюдению за ситуацией между Ираком и Кувейтом,Нью-Йорк,США,Нью-Йорк,1991-04-09
IADB,Межамериканский банк развития,Вашингтон,США,Дистрикт Колумбия,1959-04-08
Г-2,Группа из двух,,,,
САКУ,Южноафриканское таможенное союз,Претוריה,RSA,Гутенг,1969-12-11
ФМ,Арабский фонд монетарного доверия,Абудаби,ОАЭ,Абудаби,1976-04-27
ИФРЦ,Международная федерация Красного Креста и Красного Полумесяца,Жевен,Ч,ГЕ,1919-05-05
ИОМ,Международная организация по миграции,Жевен,Ч,ГЕ,1951-12-05
ЕВ,Европейский союз,Брюссель,В,Прованс,1992-02-07
ЭКЛАЦ,Экономическая комиссия для Латинской Америки и Карибского бассейна,Сантьяго,РЧ,Чили,1948-02-25
PCA,Постоянный арбитражный суд,,,,1899-07-29
Г-11,Группа из 11 человек,,,,1984-06-22
ЭСА,Европейское космическое агентство,Париж,"Да, я могу переводить с английского на русский. Пожалуйста, предоставьте текст, который вы хотите перевести.",Иль-де-Франс,1973-07-31
АЛ,Арабский союз,Каир,ЭТ,Ель-Каир,1945-03-22
ВЧЛ,Всемирная конфедерация труда,Брюссель,В,Прованс,1920-06-19
ВЭП,Всемирный почтовый союз,Берн,Ч,"Привет! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",1874-10-09
ISO,Международная организация по стандартизации,Жевен,Ч,ГЕ,1947-02-01
ХЭ,Экономическая комиссия для Европы,Жевен,Ч,ГЕ,1947-03-28
Анзус,"Договор о безопасности между Австралией, Новой Зеландией и США",Канберра,Австралия,Австралийский столичный регион,1951-09-01
Опанал,Агентство по запрещению ядерного оружия в Латинской Америке и Карибском бассейне,Мексико-Сити,Мексика,Федеральный округ,1967-02-14
