desert,country,province
Великий Викторийский пустыня,Австралия,Южная Австралия
Эрг Уаране,РИМ,Мавритания
Ливийский пустыня,СУД,аш-Шамилях
Азауад,ДЗ,Алжир
Эрг Исауан,ДЗ,Алжир
Уст-Урт,Казахстан,Мангиштау
Сонора,Мексика,Сонора
Нефуд,СА,Саудовская Аравия
Тар,ПК,Пакистан
Даште-Кавир,Ярко,Хорасан
Тенере,"Я готов приступить к переводу. Пожалуйста, предоставьте текст для перевода.",Нигер
Тра́зар,РИМ,Мавритания
Руб аль-Хали,ОАЭ,Рас-аль-Хайма
Моаве,США,Юта
Калахари,Анг,Кванзаа
Руб аль-Хали,ОАЭ,Аль-Фуджайра
Ливийский пустыня,ЛАР,Ливия
Ливийский пустыня,ЭТ,Вади-эль-Джадид
Моаве,США,Калифорния
Великая Сэнди Десерт,Австралия,Западная Австралия
Сонора,США,Аризона
Нуллаборрская равнина,Австралия,Западная Австралия
Ордос,ТЖ,Нингся Хуйчжоу
Уст-Урт,Казахстан,Актобе
Руб аль-Хали,ОМ,Оман
Азауад,"Я готов приступить к переводу. Пожалуйста, предоставьте текст для перевода.",Нигер
Даште-Кавир,Ярко,Семнан
Даште-Лут,Ярко,Язд
Руб аль-Хали,СА,Саудовская Аравия
Сирийский пустыня,Ирак,Аль-Анбар
Симпсон-десерт,Австралия,Южная Австралия
Ордос,ТЖ,Неи монгол
Симпсон-десерт,Австралия,Северная территория
Калахари,НАМ,Намибия
Симпсон-десерт,Австралия,Квинсленд
Эрг Игиди,РИМ,Мавритания
Моаве,США,Аризона
Мурункум,Казахстан,Чылылорда
Рин,Казахстан,Южный Казахстан
Оуэйхи,США,Орегон
Сирийский пустыня,[Джор],Иордания
Развод,"Я готов приступить к переводу. Пожалуйста, предоставьте текст для перевода.",Нигер
Хамада Ду Драа,ДЗ,Алжир
Эрг Чеч,ММ,Мали
Колорадо-Плато,США,Юта
Великая солёная пустыня,США,Юта
Хамада аль-Хамра,ЛАР,Ливия
Сирийский пустыня,Сирия,Сирия
Кысылкум,Казахстан,Чылылорда
Гибсон-desert,Австралия,Западная Австралия
Тар,Индия,Пенджаб
Рин,Казахстан,Атырау
Гоби,ТЖ,Ганьсу
Ливийский пустыня,ЭТ,Эль-Минья
Кысылкум,УЗБ,Самарканд
Рин,Р,Республика Калмакия
Уст-Урт,УЗБ,Каракалапогистон
Калахари,Z,Южный
Тар,Индия,Раджастан
Калахари,RSA,Северо-Запад
Даште-Кавир,Ярко,Язд
Большой западный эрег,ДЗ,Алжир
Колорадо-Плато,США,Аризона
Чихуахуа,США,Техас
Даште-Лут,Ярко,Эсфахан
Сонора,Мексика,Чихуахуа
Эрг Игиди,ДЗ,Алжир
Гурбангута,ТЖ,Синьцзян-Уйгур
Рин,Р,Астраханская область
Тане́зруфт,ДЗ,Алжир
Хамада Ду Драа,М,Марокко
Эрдди Енеди,ЧХ,Чад
Кум Таг,ТЖ,Синьцзян-Уйгур
Джуараб,ЧХ,Чад
Койдам,ТЖ,Чунхэй
Красный центр,Австралия,Северная территория
Гоби,ТЖ,Нингся Хуйчжоу
Каракум,TM,Ливан
Великий бассейн,США,Невада
Нуллаборрская равнина,Австралия,Южная Австралия
Калахари,Анг,Моксико
Чихуахуа,США,Новый Мексико
Руб аль-Хали,ОАЭ,Аш-Шарика
Ферло,СН,Луга
Калахари,RB,Ботсвана
Сонора,США,Калифорния
Танами,Австралия,Северная территория
Руб аль-Хали,ОАЭ,Умм-аль-Каугайн
Дарфур,СУД,Дарфур
Тенере,ЧХ,Чад
Ливийский пустыня,ЭТ,Бенни Суиф
Великий Викторийский пустыня,Австралия,Западная Австралия
Ливийский пустыня,ЭТ,Матурух
Ливийский пустыня,СУД,Дарфур
Тар,Индия,Харанья
Руб аль-Хали,ОАЭ,Дубай
Атакама,РЧ,Чили
Оуэйхи,США,Идахо
Гоби,МНГ,Монголия
Даште-Маргох,Афг,Афганистан
Арабское пустыня,ЭТ,Эль-Бахр эль-Ахмар
Тане́зруфт,ММ,Мали
Каракум,TM,Мэри
Даште-Кавир,Ярко,Тегеран
Каракум,TM,Аха́л
В большой эрге,ДЗ,Алжир
Даште-Кавир,Ярко,Эсфахан
Сирийский пустыня,СА,Саудовская Аравия
Каракум,УЗБ,Каракалапогистон
Каракум,TM,Балканы
Такла-Макан,ТЖ,Синьцзян-Уйгур
Неегит,Ял,Южный
Гоби,ТЖ,Неи монгол
Ригестан,Афг,Афганистан
Сагия эль-Хамра,САВ,Западная Сахара
Красный центр,Австралия,Южная Австралия
Фесан,ЛАР,Ливия
Даште-Лут,Ярко,Систан и Baluchестан
Эрг Чеч,ДЗ,Алжир
Колорадо-Плато,США,Кольорадо
Каракум,УЗБ,Самарканд
Даште-Лут,Ярко,Керман
Мурункум,Казахстан,Жамбыл
Руб аль-Хали,Да,Йемен
Даште-Лут,Ярко,Хорасан
Моаве,США,Невада
Красный центр,Австралия,Западная Австралия
Великий бассейн,США,Юта
Ферло,СН,Тамбакунда
Стурт-Десерт,Австралия,Квинсленд
Руб аль-Хали,ОАЭ,Абудаби
Ордос,ТЖ,Шанси
Оуэйхи,США,Невада
Нубийский пустыня,СУД,аш-Шаркия
Ригестан,ПК,Пакистан
Великий бассейн,США,Калифорния
Колорадо-Плато,США,Новый Мексико
Эрг Мактеир,РИМ,Мавритания
Эрг Игиди,ММ,Мали
Чихуахуа,США,Аризона
Стурт-Десерт,Австралия,Северная территория
