mountain,island
Ла Суфриер,Нижняя Земля
Гора Уильям,Новая Гвинея
Цяфаджавона,Мадагаскар
Монт Оререна,Тахити
Морне Диабло́тины,Доминика
Льюсер,Суматра
Пико,Пико
Софриер-Хилз,Монсеррат
Ю Шань,Тайвань
Пико-де-Тейде,Тенерифа
Пик Барбоу,Элсмере-Айленд
Семеру,Джава
Пик королевы Марии,Тристан да Куна
Пико-де-лос-Невес,Гран-Канария
Кинабала,Бали
Питон де ла Фурнез,Встреча
Халеакала,Мауи
Пулог,Лузон
Ораефайёкюлл,Исландия
Фого,Фого
Манталинган,Палау
Кракатау,Кракатау
Суфриер,Сент-Винсент
Мауна Кеа,Гавайи
Пико Дюарте,Испания
Ма́тец Балбий,Бугенвиль
Рантекомбола,Суллавеси
Гилуве,Новая Гвинея
Тамбора,Сумбава
Жима,Олхон
Монте-Цинто,Курсы
Гора Вавилон,Остров Рене Левассера
Психорити́т,Крета
Гора Виктория,Вити Леву
Гора Агу́н,Бали
Керинци,Суматра
Снаефелл,Исландия
Олимпос,Кипр
Пеле,Мартиника
Мерапи,Джава
Ринджани,Ломбок
Асаи-Даке,Хоккайдо
Пико Руиво,Мадейра
블루 마운틴 피크,Ямайка
Руаpeху,Тэ Ика-а-Мауи (Северный остров)
Питон-дез-Неж,Встреча
Рок де лос Мучахос,Ла-Пальма
Царатанана,Мадагаскар
Пико Базиле,Биоко
Попома́насеу,Гвадалахара
Пико де Сан-Томе,Сан-Томе и Принсипи
Маунтин-Кук,Тэ Вака-а-Мауи (Южный остров)
Церро-де-Пунта,Пуэрто-Рико
Гуни Биняя,Церам
Пик Джейя,Новая Гвинея
Татамайлау,Тимор
Силисили,Сакая
Бен-Невис,Великая Британия
Пинатубо,Лузон
Гора Апо,Минданао
Пико-Тюркиньо,Куба
Канлаон,Нигрос
Гора Один,Остров Баффин
Андрингитра,Мадагаскар
Эта,Сицилия
Концепсьон,Остров Ометепе
Мауна-Лоа,Гавайи
