name,depth
Персидский залив,102.0
Море Азовское,100.0
Тихоокеанский океан,11034.0
Средиземное море,5121.0
Канал,175.0
Гольфстрем,4375.0
Норвежское море,3860.0
Малаккский пролив,104.0
Атлантический океан,9219.0
Оखотское море,3372.0
Карибское море,7240.0
Индийский океан,6400.0
Гulf-оф-Аден,5143.0
Понтик Коралловых островов,7440.0
Берингово море,4096.0
Баренцево море,32.0
Шкегеррак,725.0
Жёлтое море,200.0
Ирландское море,272.0
Арабское море,5203.0
Гольф Бенгальский,4045.0
Восточное Китайское море,2370.0
Сибирское море,540.0
Южная Китайская затока,5420.0
Андаманское море,3113.0
Бехар-бухта,4694.0
Северный Ледовитый океан,5608.0
Красный море,2635.0
Балтийское море,459.0
Северное море,200.0
Моро-Нуса-Тенгара,6218.0
Каширское озеро,4036.0
Чёрное море,2211.0
Оманский залив,3350.0
Каттегат,94.0
