name,river,lake,sea,length,sourcelongitude,sourcelatitude,mountains,sourcealtitude,estuarylongitude,estuarylatitude
Иордания,,Мёртвое море,,251.0,35.7,33.7,Джабал-Лубнан,,35.5,31.3
Белый Дрин,Дрин,,,175.0,20.2,42.7,,,20.4,42.1
Рио Мадейра,Амазонка,,,1450.0,-65.4,-10.4,,,-58.76,-3.4
Катун,Об,,,688.0,86.56,49.75,Алтае,2000.0,85.0,52.43
Трюки-река,,Пирамидное озеро,,225.0,-120.0,39.0,,1900.0,-119.43,39.85
Аммер,Изар,Аммерзее,,168.0,11.05,47.57,Альпы,850.0,11.96,48.5
Ривьер-Ришелье,Река Святого Лаврентия,,,124.0,-73.3,45.0,,30.0,-73.1,46.0
Дрин,,,Средиземное море,152.0,20.4,42.1,,,19.6,41.8
Уэль,Убанги,,,1130.0,30.5,2.0,Восточноафриканская рифтовая система,,22.5,4.0
Пандш,Амударья,,,1125.0,73.0,37.0,Памир,4130.0,68.3,37.1
Кюмийоки,,,Балтийское море,203.0,25.4,61.5,,78.0,26.5,60.3
Шабель,Юба,,,1820.0,,,,,42.76,0.5
Вуокса,,Озеро Ладога,,162.0,28.75,61.2,,,31.54,60.81
Энны,Дунай,,,254.0,13.35,47.33,Альпы,1375.0,14.52,48.24
Амазонка,,,Атлантический океан,6448.0,-71.7,-15.5,Андес,5170.0,-50.0,0.0
Мюррей-Дэрлинг,,Озеро Хуме,Индийский океан,2589.0,148.0,-38.0,Снежные горы,,138.88,-35.55
Маникугакан,Река Святого Лаврентия,,,560.0,-68.7,51.4,,350.0,-68.15,49.2
Салзах,Инн,,,225.0,12.11,47.3,Альпы,2300.0,12.92,48.21
Саскачеван-река,,Озеро Виннипег,,1392.0,-123.0,52.5,,1920.0,-97.97,52.77
Аргун,Амура,,,1620.0,122.46,49.94,,1200.0,121.48,53.33
Умеаелев,,Сторуман,Балтийское море,470.0,15.0,66.1,,,20.1,63.5
Луапула,,Озеро Мверу,,300.0,29.7,-11.2,Восточноафриканская рифтовая система,1140.0,28.7,-9.0
Брег,Дунай,,,45.9,8.16,48.1,Чёрный лес,1078.0,8.52,47.95
Река Нельсон,,,Северный Ледовитый океан,664.0,-97.97,52.77,,218.0,-92.33,57.15
Раб,Дунай,,,250.0,15.52,47.35,Альпы,1150.0,17.63,47.69
Альцгеймера,Инн,Чиемзее,,150.0,12.35,47.3,Альпы,,12.8,48.3
Днепр,,,Чёрное море,2201.0,34.0,55.5,Waldайские холмы,220.0,32.252,46.5257
Луалаба,Заир,,,,27.0,-12.0,,,25.2,0.5
Лукенье,Фими,,,900.0,24.5,-6.8,,,16.9,3.0
Альлегени,Ога-река,,,523.0,-77.9,41.9,Аппалачи,759.0,-80.0,40.42
Река Мерримак,,,Атлантический океан,177.0,-71.6,43.4,,,-70.8119,42.8194
Баро,Друг,,,,,,,,,
Ога-река,Миссисипи,,,1579.0,-80.0,40.42,,222.0,-89.13,36.98
Санага,,Барраж де Мбакау,Атлантический океан,918.0,,,,,9.65,3.55
Ломаами,Заир,,,1450.0,24.7,-8.7,,1140.0,24.0,-0.8
Южная Моравия,Моравия,,,295.0,21.4,42.1,,,21.4,43.7
Ааре,Рейн,Бриенцер-Зее,,288.0,8.2,46.55,Альпы,2310.0,8.22,47.61
Чатанга,,,Сибирское море,1636.0,95.0,68.0,,,115.0,73.0
Одер,,,Балтийское море,866.0,17.52,49.61,Сушетские горы,634.0,14.59,53.6
Ока,Волга,,,1480.0,36.1,52.5,,,44.0,56.3
Ашана,,,Малаккский пролив,150.0,98.7,2.7,,905.0,99.2,3.1
Морава,Эльба,,,440.0,13.56,48.97,Бохемские горы,1174.0,14.47,50.35
Бене,Нигер,,,1400.0,12.58,7.58,,1100.0,6.75,7.78
Гётэ Аэльв,,,Каттегат,93.0,12.34,58.4,,44.0,11.9,57.7
Тигр,Шатт-эль-Араб,,,1900.0,41.0,38.3,Антаурус,,47.44,31.0
Мёзель,Рейн,,,544.0,6.89,47.89,Вогезы,715.0,7.61,50.37
Арканзас,Миссисипи,,,2334.0,-106.3,39.25,,4260.0,-91.0,34.0
Парагвай,Парана,,,2549.0,-56.5,-14.5,,,-58.4,-27.3
Рейн,,Боденское озеро,Северное море,1324.0,8.7,46.6,Альпы,2345.0,4.0,51.9
Иравади,,,Андаманское море,2170.0,98.0,29.0,,4300.0,96.0,17.0
Бому,Убанги,,,280.0,27.0,5.0,,,22.5,4.0
Клараэльв,,Вэнерен,,460.0,11.9,62.2,,662.0,13.5,59.4
Джейнсьей,,,Сибирское море,4092.0,97.5,52.33,,,100.02,51.06
Дорогая река,Мюррей-Дэрлинг,,,2739.0,152.0,-28.0,Великая Разделительная хребет,,141.9,-34.1
Днестр,,,Чёрное море,1352.0,23.0,49.0,Карпаты,1000.0,30.23,46.35
Лех,Дунай,,,264.0,10.0,47.17,Альпы,1840.0,10.93,48.73
Лулуа,Ква,,,970.0,14.7,-11.3,,,17.4,3.3
Пецфора,,,Баренцево море,1809.0,59.0,62.0,Ура́л,,54.0,68.5
Мурат,,Озеро Кебан,,720.0,44.1,39.55,Курдистан,1950.0,38.75,38.8
Уругвай,,,Атлантический океан,1790.0,-52.0,-27.5,,1800.0,-58.4,-33.9
Ниагарский реч,,Озеро Онтарио,,58.0,-78.9,42.9,,174.0,79.1,43.25
Чуапы,Бусира,,,1300.0,24.5,-3.0,,,20.8,-0.2
Иллер,Дунай,,,147.0,10.27,47.43,Альпы,783.0,9.97,48.38
Кура,,Каспийское море,,1364.0,42.76,40.7,Курдистан,2650.0,49.43,39.28
Ура́л,,Каспийское море,,2428.0,59.0,54.0,Ура́л,,51.9,47.1
Саар,Мёзель,,,227.0,7.15,48.5,Вогезы,640.0,6.6,49.7
Западная Двина,,,Балтийское море,1020.0,34.0,56.0,Waldайские холмы,228.0,24.1,57.0
Люкага,Луалаба,,,350.0,29.2,-5.9,Восточноафриканская рифтовая система,782.0,27.0,-6.0
Основная,Рейн,,,524.0,11.4,50.1,Фихтельгеирген,887.0,8.29,49.99
Рио Сан-Хуан,,Озеро Манагуа,Карибское море,199.0,-85.35,11.6,,31.0,-83.7,10.9
Сохранять,Дунай,,,945.0,13.6,46.2,Альпы,,20.4667,44.8
Тест,,,Северное море,346.0,-2.03,51.7,,105.0,0.65,51.5
Люва,Луалаба,,,350.0,28.7,-9.0,Восточноафриканская рифтовая система,931.0,27.0,-7.0
Саоне,Рон,,,480.0,6.2,48.1,Вогезы,451.0,4.8,45.7
Вурм,Аммер,Озеро Старберг,,35.0,11.35,48.0,,596.0,11.5,48.3
Гломма,,,Шкегеррак,604.0,12.0,62.6,,860.0,10.95,59.2
Брахмапутра,,,Ганг,2896.0,81.33,31.06,,6000.0,89.8,23.8
