sea,country,province
Арабское море,Индия,Гоа
Оманский залив,Ярко,Хормозган
Гольфстрем,США,Флорида
Каттегат,Добро пожаловать в Киберпанк 2077! Как я могу вам помочь?,Халланд
Индийский океан,Австралия,Западная Австралия
Каширское озеро,Р,Приморский край
Тихоокеанский океан,КИР,Кирибати
Тихоокеанский океан,Р,Камчатский край
Тихоокеанский океан,ПЭ,Аппа
Индийский океан,RSA,Восточная Капская провинция
Атлантический океан,США,Грузия
Северное море,НЛ,Фридланд
Атлантический океан,Б,Амапа
Атлантический океан,Да,Нидерландские Антильские острова
Норвежское море,Ось,Исландия
Атлантический океан,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",Канарские острова
Индийский океан,МOC,Мапуту
Тихоокеанский океан,GCA,Гватемала
Индийский океан,РИ,Индонезия
Атлантический океан,ЦИ,Кот-д'Ивуар
Карибское море,АРУ,Аруба
Атлантический океан,БЕН,Бенин
Южная Китайская затока,МАЛ,Доброе утро! Как я могу вам помочь сегодня?
Жёлтое море,ТЖ,Ляонинг
Каширское озеро,"""I'm not sure what you mean,"" she replied, her eyes widening slightly at his tone. ""Of course I believe you—I would never doubt your word. But it's just so unexpected."" She paused for a moment, as if gathering her thoughts, before continuing in a softer voice. ""I don't know why he would say such a thing to me out of the blue like that. It's not like him at all.""",Акита
Индийский океан,майо,Майотта
Тихоокеанский океан,НОРФ,Остров Норфолк
Балтийское море,Добро пожаловать в Киберпанк 2077! Как я могу вам помочь?,Остерготландия
Северное море,НЛ,Гронинген
Восточное Китайское море,"""I'm not sure what you mean,"" she replied, her eyes widening slightly at his tone. ""Of course I believe you—I would never doubt your word. But it's just so unexpected."" She paused for a moment, as if gathering her thoughts, before continuing in a softer voice. ""I don't know why he would say such a thing to me out of the blue like that. It's not like him at all.""",Кумамото
Атлантический океан,РГ,Гвинея
Северное море,"Добро пожаловать! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",Шетланд
Тихоокеанский океан,Мексика,Мехико-Кан
Гольфстрем,США,Луизиана
Атлантический океан,США,Южная Каролина
Атлантический океан,СН,Зигиншор
Тихоокеанский океан,ПЭ,Анкас
Атлантический океан,"Добро пожаловать! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",Корнуолл
Тихоокеанский океан,RP,Филиппины
Карибское море,В,Сукре
Северное море,ДК,Дания
Гольф Бенгальский,МЯ,Айярвади
Балтийское море,ПЛ,Слупские
Тихоокеанский океан,ПЭ,Ица
Гольф Бенгальский,Индия,Андхра-Прадеш
Индийский океан,Да,Йемен
