country,continent,percentage
А,Европа,100.0
АЛ,Европа,100.0
И,Европа,100.0
В,Европа,100.0
"Извините, но я не понимаю ваш запрос. Можете ли вы уточнить, что именно вам нужно перевести?",Европа,100.0
БИХ,Европа,100.0
BA,Европа,100.0
Ч,Европа,100.0
СИ,Европа,100.0
CZ,Европа,100.0
"Доброго дня! Я готов допомогти вам з перекладу. Будь ласка, надайте текст, який потрібно перекласти.",Европа,100.0
ДК,Европа,100.0
"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",Европа,100.0
ОВ,Европа,100.0
"Да, я могу переводить с английского на русский. Пожалуйста, предоставьте текст, который вы хотите перевести.",Европа,100.0
ФАРХ,Европа,100.0
ФЛ,Европа,100.0
"Добро пожаловать! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",Европа,100.0
GBG,Европа,100.0
Okay.,Европа,100.0
GM,Европа,100.0
ГБЗ,Европа,100.0
"Добро пожаловать в GR! Я готов помочь вам с переводом или ответить на любые вопросы, которые у вас могут возникнуть. Пожалуйста, предоставьте текст, который нужно перевести, и я сделаю это как можно более точно и естественно звучащим по-русски.",Европа,100.0
"Добро пожаловать! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",Европа,100.0
HR,Европа,100.0
я,Европа,100.0
В реальной жизни,Европа,100.0
Ось,Европа,100.0
КОНС,Европа,100.0
Л,Европа,100.0
"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",Европа,100.0
LV,Европа,100.0
М,Европа,100.0
МТП,Европа,100.0
МД,Европа,100.0
Мк,Европа,100.0
МНЕ,Европа,100.0
"Да, конечно! Я всегда рад помочь. Какой текст вы хотите перевести?",Европа,100.0
НЛ,Европа,100.0
П,Европа,100.0
ПЛ,Европа,100.0
Р,Европа,20.0
Ро,Европа,100.0
СМР,Европа,100.0
Добро пожаловать в Киберпанк 2077! Как я могу вам помочь?,Европа,100.0
SF,Европа,100.0
СК,Европа,100.0
スロ,Европа,100.0
SRB,Европа,100.0
СВАХ,Европа,100.0
ТР,Европа,5.0
UA,Европа,100.0
В,Европа,100.0
ЭР,Африка,100.0
А,Азия,100.0
МЯ,Азия,100.0
RL,Азия,100.0
НЦА,Австралия/Океания,100.0
К,Азия,100.0
"Извините, я не понимаю ваш запрос. Можете ли вы повторить ваш запрос на английском языке?",Америка,100.0
Ешь,Африка,100.0
МВ,Африка,100.0
Мएस,Африка,100.0
ГНБ,Африка,100.0
Сирия,Азия,100.0
КРБ,Африка,100.0
БВИР,Америка,100.0
ТР,Азия,95.0
ММ,Африка,100.0
АХएА,Америка,100.0
Ирак,Азия,100.0
МНТ,Америка,100.0
ВАЛ,Африка,100.0
РГ,Африка,100.0
РИ,Азия,80.0
Мексика,Америка,100.0
АВТ,Африка,100.0
Да,Азия,100.0
ПА,Америка,100.0
НАМ,Африка,100.0
ФГУ,Америка,100.0
В,Америка,100.0
ЭФИР,Африка,100.0
КР,Азия,100.0
ХЭЛКС,Австралия/Океания,100.0
СУД,Африка,100.0
Да,Америка,100.0
Н,Америка,100.0
Вафу-вафу,Австралия/Океания,100.0
ПНГ,Австралия/Океания,100.0
Казахстан,Азия,100.0
bs,Америка,100.0
Б,Америка,100.0
М,Африка,100.0
Тука,Америка,100.0
КДН,Америка,100.0
Да,Америка,100.0
АМСА,Австралия/Океания,100.0
ГУАД,Америка,100.0
ТТ,Америка,100.0
"Сегодня среда, 24 апреля 2024 года.",Австралия/Океания,100.0
майо,Африка,100.0
Коко,Австралия/Океания,100.0
Смар,Америка,100.0
РЧ,Америка,100.0
РЭ,Америка,100.0
ПР,Америка,100.0
ТУВ,Австралия/Океания,100.0
РТ,Африка,100.0
Спасибо,Африка,100.0
Австралия,Австралия/Океания,100.0
Нет,Азия,100.0
СА,Азия,100.0
ТН,Африка,100.0
Фиджи,Австралия/Океания,100.0
Спми,Америка,100.0
SLB,Австралия/Океания,100.0
Здравствуйте! Как я могу вам помочь?,Африка,100.0
АВР,Африка,100.0
БД,Азия,100.0
АРУ,Америка,100.0
СН,Африка,100.0
Г,Африка,100.0
БРУ,Азия,100.0
НОРФ,Австралия/Океания,100.0
МАРТ,Америка,100.0
ФSM,Австралия/Океания,100.0
МВ,Азия,100.0
Лаос,Азия,100.0
ПИТЦ,Австралия/Океания,100.0
Афг,Азия,100.0
РМ,Азия,100.0
АЗ,Азия,100.0
БХТ,Азия,100.0
БРН,Азия,100.0
КЛ,Азия,100.0
ЭТ,Азия,10.0
Газа,Азия,100.0
ГЕ,Азия,100.0
Хонкс,Азия,100.0
Ял,Азия,100.0
Индия,Азия,100.0
Ярко,Азия,100.0
"""I'm not sure what you mean,"" she replied, her eyes widening slightly at his tone. ""Of course I believe you—I would never doubt your word. But it's just so unexpected."" She paused for a moment, as if gathering her thoughts, before continuing in a softer voice. ""I don't know why he would say such a thing to me out of the blue like that. It's not like him at all.""",Азия,100.0
[Джор],Азия,100.0
КГЗ,Азия,100.0
КУТ,Азия,100.0
Макс,Азия,100.0
МАЛ,Азия,100.0
МНГ,Азия,100.0
НЕП,Азия,100.0
ОМ,Азия,100.0
ПК,Азия,100.0
Q,Азия,100.0
Р,Азия,80.0
РОК,Азия,100.0
RP,Азия,100.0
СГП,Азия,100.0
ТАД,Азия,100.0
ТЖ,Азия,100.0
Текущий язык: русский,Азия,100.0
TM,Азия,100.0
ОАЭ,Азия,100.0
УЗБ,Азия,100.0
Запад,Азия,100.0
Да,Азия,100.0
США,Америка,100.0
ХКГ,Америка,100.0
МOC,Африка,100.0
НИХ,Америка,100.0
ВАН,Африка,100.0
ГРОНОШ,Америка,100.0
КАМ,Африка,100.0
РМ,Африка,100.0
НМИС,Австралия/Океания,100.0
КР,Америка,100.0
ЧЕЛОВЕК,Америка,100.0
ТО,Австралия/Океания,100.0
РИМ,Африка,100.0
