city,province,country,island
Лондон,Большой Лондон,"Добро пожаловать! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",Великая Британия
Порт-Луи,Маврикий,Мएस,Маврикий
Оита,Оита,"""I'm not sure what you mean,"" she replied, her eyes widening slightly at his tone. ""Of course I believe you—I would never doubt your word. But it's just so unexpected."" She paused for a moment, as if gathering her thoughts, before continuing in a softer voice. ""I don't know why he would say such a thing to me out of the blue like that. It's not like him at all.""",Кюсю
Хсин-янь,Тайвань,КР,Тайвань
Нагоя,Аихи,"""I'm not sure what you mean,"" she replied, her eyes widening slightly at his tone. ""Of course I believe you—I would never doubt your word. But it's just so unexpected."" She paused for a moment, as if gathering her thoughts, before continuing in a softer voice. ""I don't know why he would say such a thing to me out of the blue like that. It's not like him at all.""",Хокону
Басингсток,Гэмпшир,"Добро пожаловать! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",Великая Британия
Анциранана,Анциранана,РМ,Мадагаскар
Тегал,Индонезия,РИ,Джава
Папеете,Французская Полинезия,ФПΌЛ,Тахити
Струд,Глостершир,"Добро пожаловать! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",Великая Британия
Кота-Кинбалу,Доброе утро! Как я могу вам помочь сегодня?,МАЛ,Бали
Кефлавик,Исландия,Ось,Исландия
Манчестер,Больше Манчестер,"Добро пожаловать! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",Великая Британия
Фукуока,Фукуока,"""I'm not sure what you mean,"" she replied, her eyes widening slightly at his tone. ""Of course I believe you—I would never doubt your word. But it's just so unexpected."" She paused for a moment, as if gathering her thoughts, before continuing in a softer voice. ""I don't know why he would say such a thing to me out of the blue like that. It's not like him at all.""",Кюсю
Таунтон,Сомерсет,"Добро пожаловать! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",Великая Британия
Прайя,Кабо-Верде,Резюме,Сантьяго
Ронда,Ронда-Конон-Тафф,"Добро пожаловать! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",Великая Британия
Бассетер,Сент-Китс и Невис,Н,Сент-Китс
