name,islands,area,height,type,longitude,latitude
Мул,Внутренние Гебриды,910.0,,,6.0,56.3
Тортола,Малые Антильские острова,55.0,521.0,вулканический,-64.37,18.27
Бугенвиль,Соломоновы Острова,8800.0,2715.0,,155.25,-6.2
могила,Коморы,290.0,,,43.75,-12.25
Джерси,Острова Canal,117.0,,,-2.1,49.2
Гренада,Малые Антильские острова,344.0,840.0,вулканический,-62.0,12.0
Мартиника,Малые Антильские острова,1128.0,1397.0,вулканический,-61.0,14.6
Остров Норфолк,,34.0,318.0,вулканический,168.0,-29.0
Батам,Острова Сундалندс,415.0,,,104.05,1.1
Сицилия,,25462.0,3323.0,,14.0,37.0
Тасмания,,67800.0,1617.0,,145.0,-42.0
Сантьяго,Кап-Верде,991.0,1394.0,вулканический,-23.6,15.1
Юра,Внутренние Гебриды,367.0,785.0,,-6.0,56.0
Кракатау,Острова Сундалندс,,813.0,вулканический,105.6,-6.1
Грасио́са,Азоры,61.0,402.0,вулканический,-28.0,39.0
Селянд,,7439.0,,,12.0,55.3
Остров Баффин,Канадские арктические острова,507451.0,2147.0,,72.0,69.0
Нордернхёй,Ostфрисландские острова,26.3,5.0,,7.9,53.7
Изабелла,Галлапагосские острова,5436.0,1707.0,вулканический,-91.3,-1.0
Нанкет,,125.0,,,-70.1,41.5
Бишоп-Рок,Острова Силли,,,,-6.3,50.0
Аскрация,,91.0,,вулканический,-14.4,-7.9
Продивенциалес,Острова Турка и Каикас,,,,-72.3,22.0
Шри-Ланка,,65610.0,,,80.0,7.0
Мадейра,Мадейра,794.0,1861.0,вулканический,-16.0,31.0
Лунди,,4.24,,,-4.5,51.0
Джжу,,1845.0,1950.0,вулканический,126.5,33.4
Флоре́с,Азоры,143.0,914.0,вулканический,-31.2,39.5
Великая Британия,Британские острова,229850.0,1344.0,,-1.5,53.0
Палау,Филиппины,11785.0,2085.0,,118.4,9.5
Пулуг-Панджалан,Острова Кокоса,6.23,9.0,атолл,96.9,-12.2
Южный Уист,Внешние Гебридские острова,320.0,,,-7.2,57.2
Остров Вайт,Британские острова,381.0,,,-1.3,50.6
Тэ Вака-а-Мауи (Южный остров),Новая Зеландия,151757.0,3754.0,,170.4,-44.0
