city,province,country,river,lake,sea
Батон-Руж,Луизиана,США,Миссисипи,,
Длинный Сюань,Вьетнам,Да,Меконг,,
Росток,Мекленбург-Передняя Померания,"Доброго дня! Я готов допомогти вам з перекладу. Будь ласка, надайте текст, який потрібно перекласти.",,,Балтийское море
Шишоу,Хубэй,ТЖ,Джангtse,,
Ньюпорт-Ньюс,Вирджиния,США,,,Атлантический океан
Замбоанга,Филиппины,RP,,,Моро-Нуса-Тенгара
Черновцы,Чернивецкая,UA,Пру́т,,
Санья,Хайнань,ТЖ,,,Южная Китайская затока
Пирей,Аттика,"Добро пожаловать в GR! Я готов помочь вам с переводом или ответить на любые вопросы, которые у вас могут возникнуть. Пожалуйста, предоставьте текст, который нужно перевести, и я сделаю это как можно более точно и естественно звучащим по-русски.",,,Средиземное море
Бома,Бас Заир,ЗРЕ,Заир,,
Новый Орлеан,Луизиана,США,Миссисипи,,
Пиза,Тоскана,я,Арно,,
Колн,Северный Рейн-Вестфалия,"Доброго дня! Я готов допомогти вам з перекладу. Будь ласка, надайте текст, який потрібно перекласти.",Рейн,,
Фаро,Алгарве,П,,,Атлантический океан
Александрия,Ель-Искандария,ЭТ,,,Средиземное море
Парамарибо,Суринам,СМЕ,,,Атлантический океан
Джерси-Сити,Нью-Джерси,США,Худсон-Ривер,,
Нижний Новгород,Нижгородская область,Р,Ока,,
Шарлотта Амали,Острова Вирджиния,ВИРГ,,,Карибское море
Тирина,Ливия,ЛАР,,,Средиземное море
Чита,Читинская область,Р,Шилка,,
Эри,Пенсильвания,США,,Озеро Эри,
Баку,Азербайджан,АЗ,,Каспийское море,
Ченнаи,Тамилнад,Индия,,,Гольф Бенгальский
Морони,Коморы,com,,,Индийский океан
Магвай,Магвай,МЯ,Иравади,,
Запорожье,Запорожье,UA,Днепр,,
Йосу,Южная Корея,РОК,,,Восточное Китайское море
Дзержинский,Нижгородская область,Р,Ока,,
Кампала,Уганда,ВЭА,,Озеро Виктория,
Аль-Басра,Аль-Басра,Ирак,Шатт-эль-Араб,,
Осло,Осло,"Да, конечно! Я всегда рад помочь. Какой текст вы хотите перевести?",,,Шкегеррак
Пул,Дёрсет,"Добро пожаловать! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",,,Канал
Люцерн,LU,Ч,Рёсс,Фёрваалстормерзее,
Марса Матрух,Матурух,ЭТ,,,Средиземное море
Баликпапан,Индонезия,РИ,,,Понтик Коралловых островов
Святой Георгий,Гренада,ВГ,,,Карибское море
Патраи,Дхитики Эллас,"Добро пожаловать в GR! Я готов помочь вам с переводом или ответить на любые вопросы, которые у вас могут возникнуть. Пожалуйста, предоставьте текст, который нужно перевести, и я сделаю это как можно более точно и естественно звучащим по-русски.",,,Средиземное море
Волос,Тессалия,"Добро пожаловать в GR! Я готов помочь вам с переводом или ответить на любые вопросы, которые у вас могут возникнуть. Пожалуйста, предоставьте текст, который нужно перевести, и я сделаю это как можно более точно и естественно звучащим по-русски.",,,Средиземное море
Сте́некер,Северная Тронхеймская область,"Да, конечно! Я всегда рад помочь. Какой текст вы хотите перевести?",,,Норвежское море
Гаруа,Север,КАМ,Бене,,
Пуэрто-Инирида,Гвайня,К,Ориноко,,
Пукаппа,Укаяли,ПЭ,Амазонка,,
Мариестад,Скарабей,Добро пожаловать в Киберпанк 2077! Как я могу вам помочь?,,Вэнерен,
Акита,Акита,"""I'm not sure what you mean,"" she replied, her eyes widening slightly at his tone. ""Of course I believe you—I would never doubt your word. But it's just so unexpected."" She paused for a moment, as if gathering her thoughts, before continuing in a softer voice. ""I don't know why he would say such a thing to me out of the blue like that. It's not like him at all.""",,,Каширское озеро
Ибин,Сычуань,ТЖ,Джангtse,,
Вюрцбург,Бавария,"Доброго дня! Я готов допомогти вам з перекладу. Будь ласка, надайте текст, який потрібно перекласти.",Основная,,
Паданг,Индонезия,РИ,,,Индийский океан
Малакал,Аали и Нил,СУД,Белый Нил,,
Казаबलанке,Марокко,М,,,Атлантический океан
Кайфенг,Хенань,ТЖ,Хванго,,
Салерно,Кампания,я,,,Средиземное море
Басель,bs,Ч,Рейн,,
Сантандер,Кантавьера,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",,,Атлантический океан
Ошава,Онтарио,КДН,,Озеро Онтарио,
Торре-дель-Грейко,Кампания,я,,,Средиземное море
Арендал,Авст-агдер,"Да, конечно! Я всегда рад помочь. Какой текст вы хотите перевести?",,,Шкегеррак
Кобленц,Рейнланд-Пфальц,"Доброго дня! Я готов допомогти вам з перекладу. Будь ласка, надайте текст, який потрібно перекласти.",Мёзель,,
Орлеан,Центр,"Да, я могу переводить с английского на русский. Пожалуйста, предоставьте текст, который вы хотите перевести.",Луара,,
Мариго,Сент-Мартин,Смар,,,Карибское море
Ньюкасл,Новый Южный Уэльс,Австралия,,,Тихоокеанский океан
Кристиансанд,Вест Агдер,"Да, конечно! Я всегда рад помочь. Какой текст вы хотите перевести?",,,Шкегеррак
Иньчунь,Нингся Хуйчжоу,ТЖ,Хванго,,
Хейю,Северная Корея,Нет,,,Жёлтое море
Брест,Бретань,"Да, я могу переводить с английского на русский. Пожалуйста, предоставьте текст, который вы хотите перевести.",,,Атлантический океан
Тверь,Тверская область,Р,Волга,,
Санто-Доминго,Доминиканская Республика,Дом,,,Карибское море
Санья,Хайнань,ТЖ,,,Южная Китайская затока
Ан Цин,Аnhui,ТЖ,Джангtse,,
Ярен,Науру,НАУ,,,Тихоокеанский океан
Солнечный берег,Новый Южный Уэльс,Австралия,,,Тихоокеанский океан
Сидней,Новый Южный Уэльс,Австралия,,,Тихоокеанский океан
Нижний Новгород,Нижгородская область,Р,Ока,,
Большой Тёрк,Острова Турка и Каикас,Тука,,,Атлантический океан
Детройт,Мичиган,США,Река Детройт,,
Римини,Эмилия-Романья,я,,,Средиземное море
Лос-Анджелес,Калифорния,США,,,Тихоокеанский океан
Кристиансанд,Вест Агдер,"Да, конечно! Я всегда рад помочь. Какой текст вы хотите перевести?",,,Шкегеррак
Желтоубий,Северо-Западные территории,КДН,,Великая Слуцкая озера,
Янтарь,Шаньдун,ТЖ,,,Жёлтое море
Эль-Минья,Эль-Минья,ЭТ,Нил,,
Мосс,Оестфолд,"Да, конечно! Я всегда рад помочь. Какой текст вы хотите перевести?",,,Шкегеррак
Брисбен,Квинсленд,Австралия,,,Тихоокеанский океан
Альбани,Нью-Йорк,США,Худсон-Ривер,,
Валетта,Мальта,М,,,Средиземное море
Намур,Намур,В,Масс,,
Осака,Осака,"""I'm not sure what you mean,"" she replied, her eyes widening slightly at his tone. ""Of course I believe you—I would never doubt your word. But it's just so unexpected."" She paused for a moment, as if gathering her thoughts, before continuing in a softer voice. ""I don't know why he would say such a thing to me out of the blue like that. It's not like him at all.""",,,Тихоокеанский океан
Порт-о-Пренс,Гаити,РЭ,,,Карибское море
Хоррамшахр,Хузестан,Ярко,Карун,,
Линц,Верхняя Австрия,А,Дунай,,
Виктория,Сейшельские Острова,СИ,,,Индийский океан
Джакарта,Индонезия,РИ,,,Понтик Коралловых островов
Длинный Сюань,Вьетнам,Да,Меконг,,
Ан-Нагхиф,Ан-Нагхиф,Ирак,Евфрат,,
Наполи,Кампания,я,,,Средиземное море
Будапешт,Будапешт (город),"Добро пожаловать! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",Дунай,,
Керкуолл,Оркнейские острова,"Добро пожаловать! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",,,Северное море
Вюрцбург,Бавария,"Доброго дня! Я готов допомогти вам з перекладу. Будь ласка, надайте текст, який потрібно перекласти.",Основная,,
Ад Дамир,аш-Шамилях,СУД,Нил,,
Херсон,Херсонская,UA,Днепр,,
Вьентьян,Лаос,Лаос,Меконг,,
Кусонг,Северная Корея,Нет,,,Каширское озеро
Джамнагар,Гуджарат,Индия,,,Арабское море
Иньчунь,Нингся Хуйчжоу,ТЖ,Хванго,,
"Да, я могу помочь с переводом на русский язык. Пожалуйста, предоставьте текст, который необходимо перевести.",Саратовская область,Р,Волга,,
Бийск,Альтайский край,Р,Катун,,
Арау,АГ,Ч,Ааре,,
