name,mountains,height,type,longitude,latitude
Йоседалсбре,,2083.0,,5.5,61.4
Джабал-Лубнан,Ливан,3088.0,,36.1,34.3
Пико Боливар,Андес,4981.0,,-71.0,8.6
Софриер-Хилз,,1050.0,вулкан,-62.2,16.7
Мусала,Балканы,2925.0,,23.6,42.2
Фельберг,Черный лес,1493.0,,7.5,47.5
Тамбора,,2850.0,вулкан,118.0,-8.2
Тамгак,Абзайн,1800.0,вулканический,9.0,19.0
Кения,Восточноафриканская рифтовая система,5199.0,вулканический,37.3,0.15
Пинатубо,,1486.0,вулкан,120.3,15.1
Таджумулько,Сьерра-Мадре,4220.0,вулканический,-91.9,15.0
Джабал Катрина,Синай,2637.0,,33.95,28.5
Гора Харни,Рочные горы,2207.0,,-103.4,44.0
Маутерс-Маунтин,Каскадные горы,3743.0,вулкан,-121.5,46.2
Мэттерхорн,Альпы,4478.0,,7.56,46.0
Сульителма,,1914.0,,16.2,67.1
Таррекайсе,,1850.0,,17.3,67.0
Мт-Эльберт,Рочные горы,4401.0,,-106.4,39.1
Невадо-дель-Хуила,Андес,5750.0,вулкан,-76.0,2.9
Шит-сён-гио́н,Альпы,2228.0,,9.2,46.85
Широкая гора,Каракорум,8051.0,,76.6,35.8
Ицтaccihuatl,Кордильера-Вулканика,5286.0,вулканический,-98.6,19.2
Рок де лос Мучахос,Канарские острова,2426.0,вулкан,-17.9,28.75
Эми Куши,Тибести,3415.0,вулкан,18.5,20.0
Табана Нтленяна,Дракенсберг,3482.0,,29.3,-29.5
Пико-де-Альманзор,Центральная гряда,2648.0,,-5.3,40.25
Пик коммунизма,Памир,7494.0,,72.0,39.0
Эверест,Гималаи,8848.0,,86.9,28.0
Рантекомбола,,3455.0,вулканический,120.0,-3.6
Гора Богонг,Снежные горы,1986.0,,147.5,-37.0
Эта,,3323.0,вулкан,15.0,37.7
Пуй-де-Дом,Цевенны,1465.0,вулканический,3.0,45.8
Пик Победы,Тянь-Шань,7439.0,,80.1,42.0
Тахан,,2190.0,,108.0,4.0
Пулог,,2928.0,вулканический,121.0,17.0
Гора Борах,Рочные горы,3859.0,,-113.8,44.1
Нанга-Парбата,Каракорум,8125.0,,74.6,35.2
Жима,,1276.0,,107.4,53.15
Герлаховский Стит,Бескиды,2655.0,,20.1,49.2
Мауна Кеа,Гавайи,4214.0,вулкан,-155.45,19.6
Аконкагуа,Андес,6962.0,,-70.0,-32.65
Гран-Балькон,Вогезы,1424.0,,7.1,47.9
Грани Сассо,Апеннины,2912.0,,13.55,42.5
Невадо-дель-Руис,Андес,5389.0,вулкан,-75.3,4.9
Пикс-Пик,Рочные горы,4302.0,,-105.0,38.8
Альпамайо,Белая Гори,5947.0,,-77.7,-8.9
Концепсьон,,1700.0,вулкан,-85.6,11.5
Кингс-Пик,Рочные горы,4123.0,,-110.4,40.5
Гора Белый Мёнх,Альпы,4808.0,,6.8,45.8
Гора Ходд,Каскадные горы,3424.0,вулкан,-121.5,45.2
Пик королевы Марии,,2060.0,вулкан,-12.3,-37.1
Олимпиада,,2917.0,,22.35,40.1
Везувий,,1281.0,вулкан,14.4,40.8
Рас Дашан Терара,Амаре,4533.0,вулканический,38.4,13.2
Каямбе,Андес,5796.0,вулкан,-78.0,0.1
Снохетта,,2286.0,,9.0,62.1
Маунт Митчелл,Апалачи,2037.0,,-82.1,35.4
Гора Уильям,,4509.0,,145.0,-5.8
Килиманджаро,Восточноафриканская рифтовая система,5895.0,вулкан,37.35,-3.05
Ирацу,Горная цепь Таламанка,3432.0,вулкан,-83.9,10.0
Кэткин-Пик,Дракенсберг,3181.0,,29.35,-29.1
Пюи-де-Санси,Цевенны,1885.0,вулканический,2.8,45.5
Ллулакаюко,Андес,6739.0,вулкан,-68.5,-24.7
Пико Кристобаль Колон,Сьерра-Невада-де-Санта-Марта,5775.0,,-73.7,10.85
Ганнетт Пик,Рочные горы,4207.0,,-110.0,43.2
Асаи-Даке,,2290.0,вулканический,142.85,43.65
Мт Фэрвервер,Элиас-рейдж,4663.0,,-137.5,58.9
Ораефайёкюлл,,2110.0,вулкан,64.0,16.39
Пико Руиво,Мадейра,1861.0,вулканический,-16.0,31.0
Монте Писсис,Андес,6795.0,вулканический,-68.85,-27.8
Пик Джейя,Сидимранский массив,4884.0,,137.11,-4.1
Брокен,Харц,1141.0,,10.6,51.8
Гранитовый пик,Рочные горы,3901.0,,-109.5,45.0
Пико де Сан-Томе,,2024.0,вулканический,6.6,0.2
Гора Апо,,2954.0,вулканический,125.45,7.0
Уаскаран,Белая Гори,6768.0,,-77.3,-9.0
Невадо-де-Толука,Кордильера-Вулканика,4558.0,вулкан,-99.0,19.0
Жокеуль,,1876.0,,7.2,60.3
Монкайо,Иберийские горы,2313.0,,1.85,41.8
Гроссер Арбер,Баварский Лес,1456.0,,13.0,49.1
Бен-Невис,Грампианы,1344.0,,-5.0,56.8
Гваделупа Пик,Рочные горы,2667.0,,-105.0,32.0
Народная,Ура́л,1895.0,,60.1,65.0
Кангченджунга,Гималаи,8586.0,,88.1,27.7
블루 마운틴 피크,,2256.0,,-76.4,18.1
Церро-де-Пунта,,1338.0,,-66.6,18.2
Мт Логэн,Элиас-рейдж,5959.0,,-140.4,60.6
Котопакси,Андес,5897.0,вулкан,-78.4,-0.7
Маут Робсон,Рочные горы,3954.0,,-119.1,52.3
Маунт-Уитни,"Сьерра-Невада, Калифорния",4418.0,,-118.2,36.6
Монте Фальтерона,Апеннины,1654.0,,11.7,43.9
Пик Карл-Маркса,Памир,6726.0,,71.3,38.0
Царатанана,,2876.0,вулканический,48.5,-14.0
Ойос-дель-Саладо,Андес,6893.0,вулкан,-68.5,-27.1
Хумфри-Пик,Рочные горы,3850.0,вулканический,-111.65,35.3
Канлаон,,2435.0,вулкан,123.1,10.4
Пик Боури,"Сьерра-Невада, Калифорния",4006.0,,-118.3,37.9
Рувензори,Восточноафриканская рифтовая система,5109.0,,29.9,0.4
팝오카테펫,Кордильера-Вулканика,5450.0,вулкан,-98.0,19.0
Пико де Агуэльяс Нерас,Бразилийская высокогорье,2791.0,,-44.65,-22.4
Гора Один,Пенні Хайлендс,2147.0,,-65.6,66.55
Гебель Аурес,Риф,2456.0,,-6.5,35.5
Сабалан,Курдистан,4811.0,вулканический,47.8,38.3
Маунт Рейнир,Каскадные горы,4392.0,вулкан,-121.75,46.5
Хохголлинг,Альпы,2862.0,,13.75,47.3
Шнеекоппе,Сушетские горы,1602.0,,15.7,50.7
Портфолио,,2021.0,,17.4,67.1
Монте-Цинто,Курсы,2706.0,,8.9,42.4
Руаpeху,,2797.0,вулкан,175.6,-39.3
Фого,Кап-Верде,2829.0,вулкан,-24.4,14.95
Пик Революция,Памир,6974.0,,72.2,38.3
Хальтиатунтури,,1328.0,,21.4,67.0
Мт Марси,Адирондакские горы,1629.0,,-73.9,44.1
Ликансабур,Андес,5920.0,вулкан,-67.9,-22.8
Пик Ленина,Памир,7134.0,,72.55,39.2
Мт-Сент-Илайас,Элиас-рейдж,5489.0,,-140.9,60.3
Вехлер Пик,Рочные горы,4011.0,,-105.4,36.55
Пидруталагала,,2524.0,,80.8,7.0
Финстерергорн,Альпы,4274.0,,8.1,46.5
Дхаулагири,Гималаи,8167.0,,83.5,28.7
Добавлена,Западные Гаты,2636.0,,76.7,11.4
Мт Редаубт,Алеутские горы,3108.0,вулкан,-152.75,60.5
К2,Каракорум,8611.0,,76.5,35.9
Лотсе,Гималаи,8516.0,,86.9,28.0
Пик Барбоу,Рейс через Британскую империю,2616.0,,-75.0,81.9
Тахат,Ахаггар,3003.0,вулканический,5.5,23.3
Дамаванд,Эльбурсы,5610.0,вулкан,52.1,35.95
Мерапи,,2914.0,вулкан,110.4,-7.5
Глиттертинд,,2452.0,,8.1,61.4
