mountain,country,province
Мт Редаубт,США,Аляска
Асаи-Даке,"""I'm not sure what you mean,"" she replied, her eyes widening slightly at his tone. ""Of course I believe you—I would never doubt your word. But it's just so unexpected."" She paused for a moment, as if gathering her thoughts, before continuing in a softer voice. ""I don't know why he would say such a thing to me out of the blue like that. It's not like him at all.""",Хоккайдо
Пик Победы,ТЖ,Синьцзян-Уйгур
Тахан,МАЛ,Паханг
Цяфаджавона,РМ,Антананариво
Монте-Роза,я,Ломбардия
Гашербрум II,ТЖ,Синьцзян-Уйгур
Мт Колумбия,КДН,Альберта
Пюи-де-Санси,"Да, я могу переводить с английского на русский. Пожалуйста, предоставьте текст, который вы хотите перевести.",Аврин
Нанда-Деви,Индия,Утар-Прадеш
Уаскаран,ПЭ,Анкас
Клингманс-Дом,США,Теннесси
Гуни Биняя,РИ,Индонезия
Сульителма,Добро пожаловать в Киберпанк 2077! Как я могу вам помочь?,Норрботтен
Хумфри-Пик,США,Аризона
Гранитовый пик,США,Монтана
Пиц Бернина,Ч,"Добро пожаловать в GR! Я готов помочь вам с переводом или ответить на любые вопросы, которые у вас могут возникнуть. Пожалуйста, предоставьте текст, который нужно перевести, и я сделаю это как можно более точно и естественно звучащим по-русски."
Кайлаш,ТЖ,Тибет
Ойос-дель-Саладо,Р,Тукуман
Мольдован,Ро,Арже́с
Гран-Балькон,"Да, я могу переводить с английского на русский. Пожалуйста, предоставьте текст, который вы хотите перевести.",Альзас
Кангченджунга,Индия,Сикким
Саректьокко,Добро пожаловать в Киберпанк 2077! Как я могу вам помочь?,Норрботтен
Пик королевы Марии,ХЭЛКС,Сан-Хелена
Ллулакаюко,РЧ,Чили
Винегемал,"Да, я могу переводить с английского на русский. Пожалуйста, предоставьте текст, который вы хотите перевести.",Среднепирамидские горы
Народная,Р,Республика Коми
Татамайлау,Текущий язык: русский,Восточный Тимор
Ма́тец Балбий,ПНГ,Папуа-Новая Гвинея
Портфолио,Добро пожаловать в Киберпанк 2077! Как я могу вам помочь?,Норрботтен
Мт Бона,КДН,Саскачеван
Монкайо,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",Арагон
팝오카테펫,Мексика,Морелос
Мт Мак-Клэйн,США,Аляска
Тамгак,"Я готов приступить к переводу. Пожалуйста, предоставьте текст для перевода.",Нигер
Дамаванд,Ярко,Мазандеран
Эверест,НЕП,Непал
Добавлена,Индия,Тамилнад
Финстерергорн,Ч,ВС
Torre деCerredo,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",Кастилия и Леон
Монт Оререна,ФПΌЛ,Французская Полинезия
Макалу,НЕП,Непал
Пик Ленина,ТАД,Бадахшони Куни
팝오카테펫,Мексика,"Мексика, штат"
Ликансабур,РЧ,Чили
Эльбрус,Р,Кабардино-Балкарская Республика
Невадо-дель-Руис,К,Рисаральда
Финстерергорн,Ч,"Привет! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести."
Великая Комбин,Ч,ВС
Илламбо,Добл,Боливия
Манталинган,RP,Филиппины
Невадо-дель-Хуила,К,Хуила
Кинабала,МАЛ,Доброе утро! Как я могу вам помочь сегодня?
Пико де Сан-Томе,Стоп,Сан-Томе и Принсипи
Руаpeху,НЗ,Новая Зеландия
Ю Шань,КР,Тайвань
Гран-Парадизо,я,Пьемонте
Пико-Тюркиньо,C,Гранма
К2,ТЖ,Синьцзян-Уйгур
Пико-де-лос-Невес,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",Канарские острова
Гора Борах,США,Идахо
Концепсьон,НИХ,Никарагуа
Шишапангма,ТЖ,Тибет
Маутерс-Маунтин,США,Вашингтон
Монте-Роза,Ч,ВС
Пико Боливар,В,Мериада
Эта,я,Сицилия
Монте Писсис,Р,Тукуман
Пик Чан-Тенгири,КГЗ,Киргизстан
Маунт-Уитни,США,Калифорния
Котопакси,ЕВ,Эквадор
Аконкагуа,Р,Мендоса
Пик Москвы,ТАД,Бадахшони Куни
Джабал Катрина,ЭТ,Сина аль-Джанубийя
Пико Кристобаль Колон,К,Магдалена
Кракатау,РИ,Индонезия
블루 마운틴 피크,Да,Ямайка
Силисили,"Сегодня среда, 24 апреля 2024 года.",Самоа
Чанганшань,ТЖ,Джилин
Озерце,АЛ,Албания
Пинатубо,RP,Филиппины
Пик Революция,ТАД,Бадахшони Куни
Меру,Ешь,Аруша
Каспек,Р,Республика Северная Осетия — Алания
Рок де лос Мучахос,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",Канарские острова
Пико Руиво,П,Мадейра
Мт Бона,США,Аляска
Монте-Цинто,"Да, я могу переводить с английского на русский. Пожалуйста, предоставьте текст, который вы хотите перевести.",Курсы
Пико де Агуэльяс Нерас,Б,Рио-де-Жанейро
Царатанана,РМ,Анциранана
Гваделупа Пик,США,Техас
Манаслу,НЕП,Непал
Цитлалпетль (Пико-де-Оризаба),Мексика,Веракрус
Сайама,Добл,Боливия
Гора Уильям,ПНГ,Папуа-Новая Гвинея
Джабал-Лубнан,RL,Ливан
Мольдован,Ро,Брно
Халеакала,США,Гавайи
Питон де ла Фурнез,Вернуться,Встреча
Беляша,Казахстан,Шыги́ш Казахстан
Маунт Рейнир,США,Вашингтон
Кангченджунга,НЕП,Непал
Пико-де-Альманзор,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",Кастилия и Леон
Гора Агу́н,РИ,Индонезия
Монт-Вашингтон,США,Нью-Гэмпшир
Галдхеппиг,"Да, конечно! Я всегда рад помочь. Какой текст вы хотите перевести?",Опланд
Цитлалпетль (Пико-де-Оризаба),Мексика,Пуэбла
Фудзи-сан,"""I'm not sure what you mean,"" she replied, her eyes widening slightly at his tone. ""Of course I believe you—I would never doubt your word. But it's just so unexpected."" She paused for a moment, as if gathering her thoughts, before continuing in a softer voice. ""I don't know why he would say such a thing to me out of the blue like that. It's not like him at all.""",Яманаси
Пуй-де-Дом,"Да, я могу переводить с английского на русский. Пожалуйста, предоставьте текст, который вы хотите перевести.",Аврин
Шнеекоппе,ПЛ,Волбрыское
Хотака-Даке,"""I'm not sure what you mean,"" she replied, her eyes widening slightly at his tone. ""Of course I believe you—I would never doubt your word. But it's just so unexpected."" She paused for a moment, as if gathering her thoughts, before continuing in a softer voice. ""I don't know why he would say such a thing to me out of the blue like that. It's not like him at all.""",Гифу
Фельберг,"Доброго дня! Я готов допомогти вам з перекладу. Будь ласка, надайте текст, який потрібно перекласти.",Баден-Вюртемберг
Лотсе,ТЖ,Тибет
Зугспитце,"Доброго дня! Я готов допомогти вам з перекладу. Будь ласка, надайте текст, який потрібно перекласти.",Бавария
Мт Фэрвервер,США,Аляска
Таррекайсе,Добро пожаловать в Киберпанк 2077! Как я могу вам помочь?,Норрботтен
Рувензори,ВЭА,Уганда
Пико,П,Азоры
Мт Колумбия,КДН,Британская Колумбия
Ицтaccihuatl,Мексика,Пуэбла
Хальтиатунтури,SF,Лаппия
Мт Логэн,КДН,Территория Юкон
Хохголлинг,А,Стирия
Мерапи,РИ,Индонезия
Гора Косциуско,Австралия,Новый Южный Уэльс
Йоседалсбре,"Да, конечно! Я всегда рад помочь. Какой текст вы хотите перевести?",Согн и Фьордана
Гашербрум II,ПК,Пакистан
Torre деCerredo,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",Астурия
Улуру,Австралия,Северная территория
Сульителма,"Да, конечно! Я всегда рад помочь. Какой текст вы хотите перевести?",Северная Норвегия
Гебель Аурес,М,Марокко
Фудзи-сан,"""I'm not sure what you mean,"" she replied, her eyes widening slightly at his tone. ""Of course I believe you—I would never doubt your word. But it's just so unexpected."" She paused for a moment, as if gathering her thoughts, before continuing in a softer voice. ""I don't know why he would say such a thing to me out of the blue like that. It's not like him at all.""",Шизоку
Шит-сён-гио́н,Ч,"Добро пожаловать в GR! Я готов помочь вам с переводом или ответить на любые вопросы, которые у вас могут возникнуть. Пожалуйста, предоставьте текст, который нужно перевести, и я сделаю это как можно более точно и естественно звучащим по-русски."
Бен-Невис,"Добро пожаловать! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",Высокогорье
Монте-Роза,я,Valle д'Aosta
Мауна-Лоа,США,Гавайи
Олимпос,СИ,Кипр
Пик Боури,США,Калифорния
Гора Богонг,Австралия,Виктория
Мауна Кеа,США,Гавайи
Пико Рокаре,ПЭ,Анкас
Суфриер,Западная Вирджиния,Сент-Винсент и Гренадины
Мэттерхорн,Ч,ВС
Гора Белый Мёнх,я,Valle д'Aosta
Пеле,МАРТ,Мартиника
Гора Ходд,США,Орегон
Мт Вэзондли,КДН,Британская Колумбия
Широкая гора,ТЖ,Синьцзян-Уйгур
Ойос-дель-Саладо,РЧ,Чили
Ораефайёкюлл,Ось,Исландия
Гилуве,ПНГ,Папуа-Новая Гвинея
Арарат,ТР,Агри
Широкая гора,ПК,Пакистан
Пик коммунизма,ТАД,Бадахшони Куни
Мт-Сент-Илайас,США,Аляска
Грани Сассо,я,Абреццо
Морне Диабло́тины,Да здравствует Россия!,Доминика
Попома́насеу,SLB,Соломоновы Острова
Беляша,Р,Республика Altay
Пик Победы,КГЗ,Киргизстан
Чимборазо,ЕВ,Эквадор
Гросглокнер,А,Каринтия
Ла Суфриер,ГУАД,Гваделупа
Гора Харни,США,Южная Дакота
Пикс-Пик,США,Кольорадо
Герлаховский Стит,СК,Словакия
Пиц Бернина,я,Ломбардия
Биркбек,США,Аляска
Фако,КАМ,Юго-Восток
Пико-Тюркиньо,C,Сан-Хуан-де-Куба
Зугспитце,А,Тироль
Гран-Парадизо,я,Valle д'Aosta
Пик Джейя,РИ,Индонезия
Льюсер,РИ,Индонезия
Андрингитра,РМ,Фианарантсоа
팝오카테펫,Мексика,Пуэбла
