lake,country,province
Озеро Абая,ЭФИР,Эфиопия
Каспийское море,Р,Республика Дагестан
Оzero Байкал,Р,Республика Бурятия
Озеро Чаны,Р,Новосибирская область
Озеро Мичиган,США,Мичиган
Каспийское море,Р,Республика Калмакия
Вэттерн,Добро пожаловать в Киберпанк 2077! Как я могу вам помочь?,Скарабей
Озеро Браккиано,я,Лазио
Озеро Бэлчаш,Казахстан,Жезказган
Озеро Манагуа,НИХ,Никарагуа
Мёртвое море,Ял,Южный
Вэнерен,Добро пожаловать в Киберпанк 2077! Как я могу вам помочь?,Скарабей
Озеро Ладога,Р,Республика Карелия
Озеро Леман,"Да, я могу переводить с английского на русский. Пожалуйста, предоставьте текст, который вы хотите перевести.",Рона-Альпы
Озеро Чамплейн,США,Вермонт
Озеро Натрон,Ешь,Аруша
Озеро Ньос,КАМ,Северо-Запад
Каспийское море,Р,Астраханская область
Озеро Малави,МOC,Ниасса
Озеро Кебан,ТР,Тунцелли
Озеро Комо,я,Ломбардия
Ла-Гуна-Мар-Чикита,Р,Сан-Диего
Великий соленый озеро,США,Юта
Ликансабурский кратерный озеро,Добл,Боливия
Фёрваалстормерзее,Ч,НВ
Озеро Эри,США,Нью-Йорк
Озеро Эри,КДН,Онтарио
Озеро Супериор,США,Висконсин
Рутанзиге/Эдуардзе,ВЭА,Уганда
Озеро Чилва,МOC,Ниасса
Озеро Цинхаи,ТЖ,Чунхэй
Мaelаран,Добро пожаловать в Киберпанк 2077! Как я могу вам помочь?,Уппсала
О Zero Араль,УЗБ,Каракалапогистон
Озеро Тורקана,EAK,Рифтовая долина
Ойо Таймыр,Р,Красноярский край
Озеро Тורקана,EAK,Восточный
Озеро Мверу,Z,Луапула
Озеро Маркибо,В,Трюхильо
Оеро Чанка,ТЖ,Хэилянь
Озеро Малави,МВ,Малави
Озеро Титовика,Добл,Боливия
Озеро Кебан,ТР,Малатья
Озеро Аббе,ЭФИР,Эфиопия
Озеро Мантейю,КДН,Онтарио
"Озеро Гезери́те (евр. כְּדֵר אַחֶשְׁוָון Keder Achshav; араб. بحيرة الجَلِيل Buḥayra al-Jalīl) — солёное озеро на севере Израиля, в центральной части Мертвого моря, на границе с Иорданией.",Сирия,Сирия
О零 Онеж,Р,Республика Карелия
Озеро Атлин,КДН,Британская Колумбия
Иссик- Кул,КГЗ,Киргизстан
Озеро Чамплейн,КДН,Квебек
Мёртвое море,Запад,Западный берег реки Иордан
Мёртвое море,[Джор],Иордания
Балатон,"Добро пожаловать! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",Зала
Озеро Тахо,США,Невада
Озеро Мичиган,США,Индиана
Озеро Тразимено,я,Тоскана
Озеро Волта,Г,Гана
Озеро Виктория,Ешь,Мара
Озеро Тахо,США,Калифорния
Чиемзее,"Доброго дня! Я готов допомогти вам з перекладу. Будь ласка, надайте текст, який потрібно перекласти.",Бавария
Озеро Ван,ТР,Битлис
Оа-Хе,США,Северная Дакота
Озеро Леман,Ч,ВС
Озеро Мичиган,США,Иллинойс
Озеро Леман,Ч,"""VD"" в русском языке будет ""ВД"". Это может означать ""видеозвонок"" или ""видео-дзвонок"", что является функциональностью, предоставляемой некоторыми программами для обмена сообщениями и видеосвязи."
Ла-Гуна-Мар-Чикита,Р,Кордова
Озеро Никарагуа,КР,Алахуэла
Озеро Насер,ЭТ,Асуан
Озеро Кебан,ТР,Эльба́с
Озеро Медин,США,Невада
Лаачер Маар,"Доброго дня! Я готов допомогти вам з перекладу. Будь ласка, надайте текст, який потрібно перекласти.",Рейнланд-Пфальц
Каспийское море,Ярко,Мазандеран
Каспийское море,Казахстан,Мангиштау
Каспийское море,АЗ,Азербайджан
Цюрихское озеро,Ч,"Здравствуйте! Я - профессиональ-
ный переводчик и с радостью помогу Вам перевести Ваш текст с английского на русский язык. Пожалуйста, предоставьте мне текст, который Вы хотите перевести, и я сделаю это как можно скорее!"
Чадское озеро,"Я готов приступить к переводу. Пожалуйста, предоставьте текст для перевода.",Нигер
Озеро Леман,Ч,ГЕ
Озеро Старберг,"Доброго дня! Я готов допомогти вам з перекладу. Будь ласка, надайте текст, який потрібно перекласти.",Бавария
О零 Онеж,Р,Вологодская область
Озеро Танганкаго,Ешь,Мбея
Озеро Супериор,США,Миннесота
Чу Бахир,EAK,Восточный
Боденское озеро,Ч,ТГ
Озеро Тана,ЭФИР,Эфиопия
Озеро Виктория,ВЭА,Уганда
Озеро Танганкаго,Ешь,Кигома
Озеро Киву,ЗРЕ,Киву
Озеро Киву,АВР,Руанда
Хамун е Джаз Муриан,Ярко,Керман
Ла-Гуна-Мар-Чикита,Р,Сантьяго-де-Эстеро
Лаго-Маджоре,Ч,ТI
Ульояерви,SF,Улуа
Озеро Супериор,США,Мичиган
Макарикари Соленое Озеро,RB,Ботсвана
Озеро Гурон,США,Мичиган
Озеро Виктория,EAK,Ньяса
Озеро Бэлчаш,Казахстан,Жамбыл
Озеро Мае Ндомбе,ЗРЕ,Бандунду
Кратер-Лейк,США,Орегон
Чу Бахир,ЭФИР,Эфиопия
Боденское озеро,А,Форарльберг
О Zero Араль,Казахстан,Чылылорда
Лаго-Маджоре,я,Ломбардия
Озеро Охрид,Мк,Македония
Сильян,Добро пожаловать в Киберпанк 2077! Как я могу вам помочь?,Даларна
Озеро Аббе,ДЖИ,Диджибути
Балатон,"Добро пожаловать! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",Феэр
Озеро Бозумтви,Г,Гана
Озеро Урмия,Ярко,Азербайджан и Германия
Лак Ассаль,ДЖИ,Диджибути
Озеро Сезо-Секо/Альбертзе,ВЭА,Уганда
Озеро Сезо-Секо/Альбертзе,ЗРЕ,Верхняя Заир
Озеро Онтарио,США,Нью-Йорк
Фёрваалстормерзее,Ч,LU
Озеро Чамплейн,США,Нью-Йорк
Озеро Мверу,ЗРЕ,Шаба/Катанга
Озеро Виннипесауки,США,Нью-Гэмпшир
Вэттерн,Добро пожаловать в Киберпанк 2077! Как я могу вам помочь?,Джёнчёпинг
Озеро Танганкаго,ЗРЕ,Киву
Балатон,"Добро пожаловать! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",Вештрем
Океан-Бее,США,Флорида
Озеро Маниконган,КДН,Квебек
Нойседлер-Зе,А,Бургенланд
Фрэнклин Д. Рузвельт озеро,США,Вашингтон
Озеро Малави,Ешь,Рувума
Озеро Ness,"Добро пожаловать! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",Страти-клэйд
Озеро Скутари,МНЕ,モンテнегро
Боденское озеро,Ч,ОК
Озеро Медин,США,Аризона
Этосха Соленая Пахта,НАМ,Намибия
Озеро Ness,"Добро пожаловать! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",Центральный
Озеро Псковское,ОВ,Эстония
Пайяянне,SF,Хайме
Озеро Маркибо,В,Зулия
Озеро Караба,Z,Южный
Озеро Айаси,Ешь,Аруша
Озеро Пауэлл,США,Юта
Великая Слуцкая озера,КДН,Северо-Западные территории
Озеро Сакакавея,США,Монтана
Арресо,ДК,Дания
Чадское озеро,КАМ,Северный край
Озеро Ньаме,RB,Ботсвана
Озеро Малави,Ешь,Иринг
Тунер-зее,Ч,"Привет! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести."
Озеро Чапала,Мексика,Халиско
Озеро Виктория,EAK,Западный
Мaelаран,Добро пожаловать в Киберпанк 2077! Как я могу вам помочь?,Содермане
Озеро Супериор,КДН,Онтарио
Озеро Маркибо,В,Мериада
Озеро Насер,СУД,аш-Шамилях
озеро Чикамуга,США,Теннесси
Озеро Никарагуа,НИХ,Никарагуа
Мёса-Сеэ,"Да, конечно! Я всегда рад помочь. Какой текст вы хотите перевести?",Хедемарк
Мёса-Сеэ,"Да, конечно! Я всегда рад помочь. Какой текст вы хотите перевести?",Опланд
Сторуман,Добро пожаловать в Киберпанк 2077! Как я могу вам помочь?,Вастерботтен
