country,independence,dependent,government
ВЭА,1962-10-09,,респу́блика
Индия,1947-08-15,,Федеративная Республика
НОРФ,,Австралия,территория Австралии
БЕРМ,,"Добро пожаловать! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",Британские заморские территории
КДН,1867-07-01,,Конфедерация с парламентской демократией
RUB,1828-08-25,,респу́блика
Макс,,ТЖ,специальная административная зона в Китае
ХЭЛКС,,"Добро пожаловать! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",Британские заморские территории
ЗРЕ,1960-06-30,,республика с сильной президентской системой
К,1810-07-20,,респу́блика
Анг,1975-11-11,,Переходное правительство номинально многопартийная демократия с сильной президентской системой
НАМ,1990-03-21,,респу́блика
АЛ,1912-11-28,,выходящая из подконтрольной демократия
РОК,,,респу́блика
"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",1991-09-06,,респу́блика
ЭР,1993-05-27,,Переходное правительство
ВУ,1980-07-30,,респу́блика
США,1776-07-04,,Федеративная Республика
ФГУ,,"Да, я могу переводить с английского на русский. Пожалуйста, предоставьте текст, который вы хотите перевести.",Заграничное отделение Франции
BA,1991-08-25,,респу́блика
ОАЭ,1971-12-02,,"Федерация с делегированными полномочиями, предоставленными центральному правительству ОАЭ, и полномочиями, зарезервированными за членами эмиратов"
ПНГ,1975-09-16,,парламентская демократия
"Добро пожаловать! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",1001-01-01,,респу́блика
[Джор],1946-05-25,,конституционная монархия
УЗБ,1991-08-31,,респу́блика
Ирак,1932-10-03,,респу́блика
Спми,,"Да, я могу переводить с английского на русский. Пожалуйста, предоставьте текст, который вы хотите перевести.",териториальная коллективность Франции
КАМ,1960-01-01,,однопартийная республика
Спасибо,1960-07-01,,отсутствует
Газа,,,
Ниуэ,1974-10-19,,самовыдумываемая территория в свободной ассоциации с Новой Зеландией
Добл,1825-08-06,,респу́блика
ПР,,США,"Содружество, связанное с США"
ТЖ,,,Коммунистическое государство
SF,1917-12-06,,респу́блика
ФАЛК,,"Добро пожаловать! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",Британские заморские территории
КУТ,1961-06-19,,номинальная конституционная монархия
МАРТ,,"Да, я могу переводить с английского на русский. Пожалуйста, предоставьте текст, который вы хотите перевести.",Заграничное отделение Франции
"Доброго дня! Я готов допомогти вам з перекладу. Будь ласка, надайте текст, який потрібно перекласти.",1871-01-18,,Федеративная Республика
LB,,,респу́блика
СН,1960-08-20,,Республика с многопартийной демократической системой правления
ВИРГ,,,организованный
"Добро пожаловать! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",1801-01-01,,конституционная монархия
НМИС,,США,Содружество в политическом союзе с США
CZ,1993-01-01,,парламентская демократия
КР,,,многопартийная демократическая система
SRB,2006-06-05,,парламентская демократия
Р,1991-08-24,,Федерация
РМ,1918-05-28,,респу́блика
ВЛ,1979-02-22,,парламентская демократия
Ярко,1979-04-01,,теократическая республика
ЭТ,1922-02-28,,респу́блика
ФАРХ,,ДК,часть Датского королевства
ТР,1923-10-29,,Республиканско-парламентская демократия
Коко,,Австралия,территория Австралии
ПИТЦ,,"Добро пожаловать! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",Британские заморские территории
АМСА,,США,Неинкорпорированная и неорганизованная территория США
C,1902-05-20,,Коммунистическое государство
СИ,1976-06-29,,респу́блика
К,1949-11-09,,çokpartili liberal demokrasi anayasaya göre monarşi altında Eylül 1993'te kuruldu
МOC,1975-06-25,,респу́блика
БИХ,1992-04-01,,выходящая из подконтрольной демократия
В,1811-07-05,,респу́блика
ПК,1947-08-14,,респу́блика
Казахстан,1991-12-16,,респу́блика
ЭФИР,,,Федеративная Республика
Да,,НЛ,часть голландской сферы влияния
АРУ,,НЛ,часть голландской сферы влияния
СК,1993-01-01,,парламентская демократия
ЕВ,1822-05-24,,респу́блика
"Извините, я не понимаю ваш запрос. Можете ли вы повторить ваш запрос на английском языке?",1821-09-15,,респу́блика
"Сегодня среда, 24 апреля 2024 года.",1962-01-01,,Конституционная монархия под руководством коренного вождя
TM,1991-10-27,,респу́блика
Ро,1881-01-01,,респу́блика
ВАЛ,1961-04-27,,конституционная демократия
КОНС,2008-02-17,,респу́блика
Г,1957-03-06,,конституционная демократия
Р,1816-07-09,,респу́блика
ЧХ,1960-08-11,,респу́блика
Фиджи,1970-10-10,,респу́блика
ФПΌЛ,,"Да, я могу переводить с английского на русский. Пожалуйста, предоставьте текст, который вы хотите перевести.",Овернская территория Франции с 1946 года
ХКГ,1821-09-15,,респу́блика
Н,1983-09-19,,конституционная монархия
Да,1962-08-06,,парламентская демократия
МХ,1986-10-21,,Конституционное правительство в свободной ассоциации с США
И,,,"парламентская демократия, в которой главными лицами государства являются сопрезиденты"
РГ,1958-10-02,,респу́блика
БД,1971-12-16,,респу́блика
ГАМ,,США,организованный
М,1956-03-02,,конституционная монархия
МНГ,1921-03-13,,респу́блика
EAK,1963-12-12,,респу́блика
МТП,1419-01-01,,конституционная монархия
ДК,,,конституционная монархия
Текущий язык: русский,2002-05-20,,парламентская демократия
СУД,1956-01-01,,Предыдущий правящий военный режим
БХТ,1949-08-08,,монархия
Стоп,1975-07-12,,респу́блика
Ял,1948-05-14,,респу́блика
"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",1492-01-01,,парламентская монархия
bs,1973-07-10,,Содружество
Ваг,1965-02-18,,Республика с многопартийной демократической системой правления
SLB,1978-07-07,,парламентская демократия
МВ,1964-07-06,,многопартийная демократия
Б,1822-09-07,,Федеративная Республика
П,1140-01-01,,респу́блика
Смар,,"Да, я могу переводить с английского на русский. Пожалуйста, предоставьте текст, который вы хотите перевести.",Овернская коллективность Франции
Бз,1981-09-21,,парламентская демократия
Дом,1844-02-27,,респу́блика
НЕП,1768-01-01,,Парламентская демократия с 12 мая 1991
я,1861-03-17,,респу́блика
РАЗДЕЛ ЕЖЕГО ДНЯ,,Австралия,территория Австралии
Вафу-вафу,,"Да, я могу переводить с английского на русский. Пожалуйста, предоставьте текст, который вы хотите перевести.",Овернская территория Франции
СА,1932-09-23,,монархия
com,1975-07-06,,независимая республика
НИХ,1821-09-15,,респу́блика
АВР,1962-07-01,,респу́блика
СВАХ,,"Да, конечно! Я всегда рад помочь. Какой текст вы хотите перевести?","территория Норвегии, находящаяся под управлением Министерства промышленности"
"Добро пожаловать в Cohere! Я ваш верный помощник, готовый помочь с любыми задачами на английском и русском языках. Как я могу вам помочь сегодня?",1960-08-17,,респу́блика
В,1929-02-11,,Монархическая священнодействующая держава
ЛС,1966-10-04,,Модифицированная конституционная монархия
HR,1991-06-25,,парламентская демократия
"Пожалуйста, предоставьте текст для перевода:",1811-05-14,,респу́блика
RL,1943-11-22,,респу́блика
ОМ,1650-01-01,,монархия
GCA,1821-09-15,,респу́блика
Да здравствует Россия!,1978-11-03,,парламентская демократия
RB,1966-09-30,,парламентская республика
Запад,,,
ГНБ,1974-09-10,,респу́блика
АХएА,,"Добро пожаловать! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",Британские заморские территории
КЛ,1948-02-04,,респу́блика
КРБ,1960-08-15,,респу́блика
"Добро пожаловать в GR! Я готов помочь вам с переводом или ответить на любые вопросы, которые у вас могут возникнуть. Пожалуйста, предоставьте текст, который нужно перевести, и я сделаю это как можно более точно и естественно звучащим по-русски.",1829-01-01,,парламентская республика
Лаос,1949-07-19,,Коммунистическое государство
Хонкс,,ТЖ,специальная административная зона в Китае
В,1980-04-18,,парламентская демократия
Вернуться,,"Да, я могу переводить с английского на русский. Пожалуйста, предоставьте текст, который вы хотите перевести.",Заграничное отделение Франции
СМР,0301-01-01,,респу́блика
БЕН,1960-08-01,,"Республика, в которой демократическое правление осуществляется при участии нескольких партий, отказалась от марксизма-ленинизма в декабре 1989 года."
НЗ,1907-09-26,,парламентская демократия
ГРОНОШ,,ДК,часть Датского королевства
В,1830-10-04,,конституционная монархия
СГП,1965-08-09,,Республика в рамках Содружества
ПЛ,1918-11-11,,демократическое государство
БФ,1960-08-05,,парламентский
ФЛ,1719-01-23,,конституционная монархия по наследству
Кайм,,"Добро пожаловать! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",Британские заморские территории
РИ,1945-08-17,,респу́блика
РТ,1960-04-27,,"Республика, переходящая к многопартийной демократической системе управления"
