island,country,province
Элсмере-Айленд,КДН,Северо-Западные территории
Западная Фолклендская остров,ФАЛК,Фолклендские острова
Великая Британия,"Добро пожаловать! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",Глостершир
Великая Британия,"Добро пожаловать! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",Грампианский
Амбон,РИ,Индонезия
Тасмания,Австралия,Тасмания
Сакая,"Сегодня среда, 24 апреля 2024 года.",Самоа
Мужской,МВ,Мальдивы
Кауай,США,Гавайи
Большой Кайман,Кайм,Каймановы острова
Бохоль,RP,Филиппины
Великая Британия,"Добро пожаловать! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",Центральный
Великая Британия,"Добро пожаловать! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",Кардифф
Третья,П,Азоры
Раротонга,Кук,Острова Кука
Сахалин,Р,Сахалинская область
Великая Британия,"Добро пожаловать! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",Дербишир
Мадагаскар,РМ,Толияра
Хокону,"""I'm not sure what you mean,"" she replied, her eyes widening slightly at his tone. ""Of course I believe you—I would never doubt your word. But it's just so unexpected."" She paused for a moment, as if gathering her thoughts, before continuing in a softer voice. ""I don't know why he would say such a thing to me out of the blue like that. It's not like him at all.""",Аихи
Правильно,"Доброго дня! Я готов допомогти вам з перекладу. Будь ласка, надайте текст, який потрібно перекласти.",Нижняя Саксония
Тутуила,АМСА,Американская Самоа
Сардиния,я,Сардиния
Харков,Ярко,Фарс
Шикоку,"""I'm not sure what you mean,"" she replied, her eyes widening slightly at his tone. ""Of course I believe you—I would never doubt your word. But it's just so unexpected."" She paused for a moment, as if gathering her thoughts, before continuing in a softer voice. ""I don't know why he would say such a thing to me out of the blue like that. It's not like him at all.""",Кочи
Кюсю,"""I'm not sure what you mean,"" she replied, her eyes widening slightly at his tone. ""Of course I believe you—I would never doubt your word. But it's just so unexpected."" She paused for a moment, as if gathering her thoughts, before continuing in a softer voice. ""I don't know why he would say such a thing to me out of the blue like that. It's not like him at all.""",Миядзки
Пико,П,Азоры
Тайвань,КР,Тайвань
Ланаи,США,Гавайи
Лунди,"Добро пожаловать! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",Дэвон
Фуэртевентура,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",Канарские острова
Микелон-Лангладе,Спми,Святой-Пьер и Микильон
Хокону,"""I'm not sure what you mean,"" she replied, her eyes widening slightly at his tone. ""Of course I believe you—I would never doubt your word. But it's just so unexpected."" She paused for a moment, as if gathering her thoughts, before continuing in a softer voice. ""I don't know why he would say such a thing to me out of the blue like that. It's not like him at all.""",Акита
Великая Британия,"Добро пожаловать! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",Беркшир
