island,sea,lake,river
Санта-Мария,Атлантический океан,,
Усedom,Балтийское море,,
Бишоп-Рок,Атлантический океан,,
Джава,Понтик Коралловых островов,,
Сан-Хелена,Атлантический океан,,
Сент-Китс,Карибское море,,
Сент-Мартин,Атлантический океан,,
Монсеррат,Карибское море,,
Лампедуза,Средиземное море,,
Большой Тёрк,Атлантический океан,,
Тобаго,Атлантический океан,,
Ла-Пальма,Атлантический океан,,
Гранд-Терр,Карибское море,,
Встреча,Индийский океан,,
Стремой,Норвежское море,,
Ломбок,Понтик Коралловых островов,,
Харков,Персидский залив,,
Махэ,Индийский океан,,
Фого,Атлантический океан,,
Суматра,Понтик Коралловых островов,,
Остров Санта-Крус,Тихоокеанский океан,,
Кауай,Тихоокеанский океан,,
Ямайка,Карибское море,,
Англия,Ирландское море,,
Тенерифа,Атлантический океан,,
Бангка,Понтик Коралловых островов,,
Лузон,Южная Китайская затока,,
Миндоро,Южная Китайская затока,,
Маниторин,,Озеро Гурон,
Бэнкс-Ориент,Северный Ледовитый океан,,
Лангёог,Северное море,,
Куба,Гольфстрем,,
Минданао,Моро-Нуса-Тенгара,,
Форментера,Средиземное море,,
Майотта,Индийский океан,,
Ангилья,Атлантический океан,,
Стремой,Атлантический океан,,
Гуам,Тихоокеанский океан,,
Шереметевог,Северное море,,
Родос,Средиземное море,,
Тиниан,Тихоокеанский океан,,
Аруба,Карибское море,,
Раротонга,Тихоокеанский океан,,
Великая Британия,Ирландское море,,
Тристан да Куна,Атлантический океан,,
Сакая,Тихоокеанский океан,,
Южный Рональдси,Северное море,,
Встреча,Индийский океан,,
Хоккайдо,Тихоокеанский океан,,
Вангерооге,Северное море,,
Тершеллинг,Северное море,,
Лефкас,Средиземное море,,
Сан-Хелена,Атлантический океан,,
Сантьяго,Атлантический океан,,
Новая Гвинея,Тихоокеанский океан,,
Сама́р,Тихоокеанский океан,,
Сент-Томас,Атлантический океан,,
Лейте,Моро-Нуса-Тенгара,,
Ирландия,Атлантический океан,,
Харков,Арабское море,,
Молокаи,Тихоокеанский океан,,
Восточная Фолкленд,Атлантический океан,,
Сент-Мартин,Атлантический океан,,
Борнхольм,Балтийское море,,
Бали,Моро-Нуса-Тенгара,,
Гештальт,Арабское море,,
Сама́р,Моро-Нуса-Тенгара,,
Лампедуза,Средиземное море,,
Оаху,Тихоокеанский океан,,
Ланаи,Тихоокеанский океан,,
Большой Бермудский остров,Атлантический океан,,
Гренландия,Атлантический океан,,
Гвадалахара,Тихоокеанский океан,,
Монсеррат,Карибское море,,
Бахрейн,Персидский залив,,
Кос,Средиземное море,,
Острів Вікторія,Северный Ледовитый океан,,
Хайнань,Южная Китайская затока,,
Стремой,Атлантический океан,,
Бабельтуап,Тихоокеанский океан,,
Остров Принца Эдуарда,Атлантический океан,,
Бали,Понтик Коралловых островов,,
Пуэрто-Рико,Атлантический океан,,
Северный Никос,Атлантический океан,,
Фонофале,Тихоокеанский океан,,
Корор,Тихоокеанский океан,,
Тортола,Карибское море,,
Миндоро,Южная Китайская затока,,
Микелон-Лангладе,Атлантический океан,,
Суматра,Малаккский пролив,,
Сардиния,Средиземное море,,
Менорка,Средиземное море,,
Барбуда,Атлантический океан,,
Шри-Ланка,Гольф Бенгальский,,
Тобаго,Атлантический океан,,
Филичуди,Средиземное море,,
Суматра,Понтик Коралловых островов,,
Амбон,Понтик Коралловых островов,,
Гернси,Канал,,
Доминика,Атлантический океан,,
Остров Мэн,Ирландское море,,
Усedom,Балтийское море,,
Гран-Канария,Атлантический океан,,
Уполу,Тихоокеанский океан,,
Майотта,Индийский океан,,
Дагоэ,Балтийское море,,
Ниуэ,Тихоокеанский океан,,
Остров Котельник,Сибирское море,,
Ньюфаундленд,Атлантический океан,,
Тимор,Понтик Коралловых островов,,
Пулуг-Панджалан,Индийский океан,,
Марта-Винярдс-Айленд,Атлантический океан,,
Мартиника,Атлантический океан,,
Батам,Южная Китайская затока,,
Фохр,Северное море,,
Вангерооге,Северное море,,
Сент-Мартин,Атлантический океан,,
Аруба,Карибское море,,
Бишоп-Рок,Атлантический океан,,
Сент-Винсент,Атлантический океан,,
Остров Мэн,Ирландское море,,
Рюм,Атлантический океан,,
Остров Котельник,Сибирское море,,
Тринидад,Атлантический океан,,
Окинава,Восточное Китайское море,,
Остров Кангару,Индийский океан,,
Сент-Люсия,Карибское море,,
Южный Рональдси,Северное море,,
Хокону,Тихоокеанский океан,,
Аликауди,Средиземное море,,
Сент-Люсия,Атлантический океан,,
Ирландия,Атлантический океан,,
Доминика,Карибское море,,
Иерро,Атлантический океан,,
Палау,Моро-Нуса-Тенгара,,
Вангерооге,Северное море,,
Усedom,Балтийское море,,
Тобаго,Атлантический океан,,
Восточная Фолкленд,Атлантический океан,,
Эфате,Тихоокеанский океан,,
Руген,Северное море,,
Гуам,Тихоокеанский океан,,
Селянд,Балтийское море,,
Продивенциалес,Атлантический океан,,
Маниторин,,Озеро Гурон,
